"schoolName","stateAbb","locale","totalStudents"
"ALTA LOMA HIGH","CA ","21-Suburb: Large",2514
"PINE ISLAND SECONDARY","MN ","31-Town: Fringe",380
"WINNECONNE HIGH","WI ","31-Town: Fringe",486
"BEAVER DAM HIGH","WI ","32-Town: Distant",1042
"MARINER HIGH SCHOOL","FL ","12-City: Mid-size",1546
"MILWAUKIE HIGH SCHOOL","OR ","21-Suburb: Large",1051
"HOLCOMB HIGH","KS ","42-Rural: Distant",315
"CONVAL REGIONAL HIGH SCHOOL","NH ","41-Rural: Fringe",786
"GENEVA HIGH SCH","AL ","32-Town: Distant",342
"SALINA HS","OK ","42-Rural: Distant",307
"GILMER HIGH SCHOOL","GA ","32-Town: Distant",1217
"SAUK RAPIDS-RICE SENIOR HIGH","MN ","41-Rural: Fringe",1301
"BRADFORD AREA HS","PA ","33-Town: Remote",793
"NORTHLAND PINES HIGH","WI ","43-Rural: Remote",407
"MAHOPAC HIGH SCHOOL","NY ","21-Suburb: Large",1566
"ANACORTES HIGH SCHOOL","WA ","31-Town: Fringe",787
"LAPINE SENIOR HIGH SCHOOL","OR ","41-Rural: Fringe",424
"LYNNFIELD HIGH","MA ","21-Suburb: Large",646
"FAIRVIEW HS","PA ","41-Rural: Fringe",491
"HOUSATONIC VALLEY REGIONAL HIGH SCHOOL","CT ","42-Rural: Distant",430
"DANIEL HAND HIGH SCHOOL","CT ","21-Suburb: Large",1164
"CROSWELL-LEXINGTON HIGH SCHOOL","MI ","41-Rural: Fringe",700
"HORNELL SENIOR HIGH SCHOOL","NY ","33-Town: Remote",545
"NORTH FAYETTE HIGH SCHOOL","IA ","43-Rural: Remote",352
"THORP HIGH","WI ","42-Rural: Distant",184
"CENTERVILLE HIGH SCHOOL","IA ","33-Town: Remote",379
"CRESTON HIGH SCHOOL","IA ","33-Town: Remote",478
"BROOKFIELD HIGH SCHOOL","CT ","22-Suburb: Mid-size",880
"JOHN STARK REGIONAL HIGH SCHOOL","NH ","42-Rural: Distant",688
"MOUNT UNION AREA SHS","PA ","32-Town: Distant",457
"PRENTICE HIGH","WI ","43-Rural: Remote",128
"CHARLESTON HIGH","MO ","32-Town: Distant",273
"MOUNTAIN RANGE HIGH SCHOOL","CO ","21-Suburb: Large",1991
"JENKS HS","OK ","21-Suburb: Large",3334
"ALBERTON HIGH SCHOOL","MT ","42-Rural: Distant",32
"CONCORD HIGH","NC ","13-City: Small",1318
"CLINTON HIGH","WI ","42-Rural: Distant",382
"BETHEL PARK HS","PA ","21-Suburb: Large",1528
"POTOSI HIGH","WI ","42-Rural: Distant",116
"QUINCY HIGH SCHOOL","WA ","32-Town: Distant",830
"STRAFFORD HIGH","MO ","21-Suburb: Large",360
"SILVER VALLEY HIGH","CA ","42-Rural: Distant",378
"MASHPEE HIGH","MA ","22-Suburb: Mid-size",422
"EDISON ACADEMY","MA ","21-Suburb: Large",221
"RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS","CA ","11-City: Large",1527
"BURKBURNETT H S","TX ","31-Town: Fringe",901
"HENRY J. KAISER HIGH","CA ","21-Suburb: Large",2335
"MT. VERNON HIGH","MO ","32-Town: Distant",475
"FORSYTH HIGH","MO ","32-Town: Distant",409
"CLEAR CREEK HIGH SCHOOL","CO ","42-Rural: Distant",222
"ASSETS","TX ","21-Suburb: Large",228
"WASHTENAW INTERNATIONAL HIGH SCHOOL","MI ","21-Suburb: Large",395
