,site,bias,polarity,country_of_pub,monthly_visits,polarity_base,polarity_delta
86,livemint.com,0.16026807084729536,0.29715039221318573,India,20170000,0.1451373945939904,1.0473730636025187
87,mashable.com,0.15768310196266155,0.4900139266275406,USA,77403000,0.5234048062345866,-0.06379551584033494
88,oneindia.com,0.15548109143130684,0.5891259951140189,India,18680000,0.2975418654855137,0.979976814868432
89,cnbc.com,0.15059837242699856,0.400328552229099,USA,120213000,0.5173120856242623,-0.22613725185638056
90,vogue.com,0.1404499760651029,0.35132205554308626,USA,75107000,0.3843721399777836,-0.08598459929121706
91,style.yahoo.com,0.14035423647678313,0.5364775866521971,USA,8100000,,
92,scoopwhoop.com,0.13863092388702727,0.6057719505903768,India,2987000,0.570011597280927,0.06273618550926699
93,Ewn.co.za,0.13642891335567256,0.6799866663749055,South Africa,19000000,0.43478538043971876,0.5639593624035913
94,rollingstone.com,0.12714217328865485,0.30812508482528533,USA,126426000,0.42112539036028424,-0.2683293577675857
95,bleacherreport.com,0.12551460028721875,0.4721236152964452,USA,121958000,0.3527509920565612,0.33840478390701006
96,bloomberg.com,0.12044040210627094,0.3327695610563496,USA,208497000,0.3761740796948591,-0.11538412926727419
97,skysports.com,0.1192915270464337,0.41044330034373144,UK,65800000,0.40130783794546493,0.022764226198612056
98,finance.yahoo.com,0.11910004786979415,0.47578463953248584,USA,832602000,0.43885764119026033,0.08414345536304871
99,thebetterindia.com,0.11641933939684058,0.5590063117009212,India,1942000,0.4948888564801554,0.12955930282365702
100,sports.yahoo.com,0.11632359980852082,0.5913142986477969,USA,450697000,0.4298755543445945,0.37554762691574406
101,asianetnews.com,0.11488750598372427,0.4807697799948595,India,22780000,0.2974842283965711,0.6161185505066625
102,marketwatch.com,0.11038774533269506,0.45568651753842304,USA,68969000,0.5040627598035452,-0.09597265682546445
103,opindia.com,0.10770703685974149,0.9224959515248498,India,3616000,0.7665516690303695,0.2034361006502511
104,breitbart.com,0.10339875538535184,0.5784359077166282,USA,157473000,0.5644928460146577,0.0247001566103258
105,telegraphindia.com,0.10100526567735758,0.4053907426467981,UK,1933000,0.26671562908262686,0.5199362108667825
106,ksl.com,0.10071804691239827,0.8730719800462653,USA,153646000,0.5491661834466284,0.5898138056621912
107,Citizen.co.za,0.09928195308760172,0.6061116962490675,South Africa,14000000,0.47337100994152465,0.28041574899979665
108,theatlantic.com,0.09889899473432263,0.31334807133735554,USA,59450000,0.26660443025446484,0.17532957362439733
109,salon.com,0.09707994255624701,0.5478088279112389,USA,61778000,0.6579874089159337,-0.16744785616220131
110,tmz.com,0.09564384873145045,0.40833825280092806,USA,128771000,0.6029632013385777,-0.32278080669862186
111,gawker.com,0.09535662996649114,0.5458517439054684,USA,60686000,,
112,plymouthherald.co.uk,0.08769746290090952,0.7470931075721481,UK,6000000,0.5414596243459067,0.37977620856707556
113,rt.com,0.08128291048348492,0.6592653618936626,USA,64838000,0.6748630682492995,-0.02311240174410469
114,dispatchlive.co.za,0.08128291048348492,0.6984734822882047,South Africa,0,0.6298436986942582,0.108963197911203
115,thewire.in,0.07898516036381042,0.5899254256132646,India,3374000,0.4885103519704898,0.20760066441519562
116,Enca.com,0.07860220201053135,0.5646658383517621,South Africa,7000000,0.2773064441758596,1.036252132653894
117,gizmodo.com,0.07774054571565342,0.4364762723928096,USA,119947000,0.291529560258121,0.4971938763477448
118,espn.co.uk,0.0694112015318334,0.3679715062454174,UK,8300000,0.2731325583182545,0.3472268136435657
119,vogue.in,0.06807084729535663,0.44619277643031496,India,2753000,0.5524803160608369,-0.19238249135887403
120,mensxp.com,0.06720919100047869,0.6476653149686393,India,2353000,0.5872931177822647,0.10279738576599033
121,nbcsports.com,0.0646242221158449,0.40165339480993956,USA,57853000,0.3849847187820598,0.0432969809311208
122,heraldlive.co.za,0.06404978458592628,0.689477132222042,South Africa,0,0.5504726241293307,0.252518475941599
123,ign.com,0.06328386787936811,0.2843781801050501,USA,17800000,0.21972577942033777,0.2942413077576646
124,dailycaller.com,0.0620392532312111,0.548901378242695,USA,56344000,0.6666930108916631,-0.17668046720848118
125,swarajyamag.com,0.057443752991862135,0.7132855385590191,India,2106000,0.5843728386091649,0.22060008856105046
126,pitchfork.com,0.05543322163714696,0.318065925543386,USA,120596000,0.32326001488084816,-0.01606783733947638
127,espncricinfo.com,0.055050263283867876,0.0893775682065967,USA,75764000,0.16696744203106112,-0.4647006199569752
128,politico.com,0.05275251316419339,0.25942033983588825,USA,150216000,0.39399953115608927,-0.341571958030796
129,givemesport.com,0.05150789851603638,0.4661780685732776,UK,10400000,0.5530446792234016,-0.15706978823501958
130,cbssports.com,0.05007180469123983,0.44431796884338637,USA,87054000,0.4717763838141081,-0.058202182035336954
131,vox.com,0.04959310674964097,0.4047102087007678,USA,54965000,0.43989520321768866,-0.0799849470045461
132,cnet.com,0.04921014839636189,0.3279671535185812,USA,300126000,0.35724908653946924,-0.08196503258981168
133,si.com,0.04413595021541407,0.4119514626042551,USA,51126000,0.20506795936759875,1.0088533765813854
134,rawstory.com,0.04269985639061752,0.858479830878783,USA,141185000,0.597967459795042,0.43566312316231004
135,huffingtonpost.com,0.04202967927237913,0.5914111580279238,USA,466798000,,
136,mg.co.za,0.04126376256582096,0.41654083751578774,South Africa,10000000,0.38533756121757473,0.08097647216019664
137,Dailymaverick.co.za,0.040497845859262804,0.5221347630097,South Africa,12000000,0.40034962134179136,0.3041969697879062
138,Thesouthafrican.com,0.04001914791766395,0.6919353742505574,South Africa,16000000,0.27868733276511315,1.482837549110075
139,thisismoney.co.uk,0.03772139779798946,0.4322344430128855,UK,8800000,0.5197160325422499,-0.16832574723823363
140,theblaze.com,0.0359980852082336,0.8341059520903217,USA,73159000,0.7401851023844292,0.12688832753231075
141,msnbc.com,0.034274772618477736,0.3380812813219185,USA,56755000,0.5044932671341287,-0.3298596763392811
142,timeout.com,0.032742939205361414,0.3376842324151188,UK,15400000,0.32705685811495316,0.03249396561019477
143,mykhel.com,0.03235998085208233,0.4709388306332345,India,6103000,0.42155286543660947,0.11715248369970191
144,theverge.com,0.031594064145524174,0.3940787471461963,USA,60598000,0.20718336505637303,0.9020771626089307
145,edition.cnn.com,0.027285782671134514,0.45936021887891665,UK,2092000,0.31389158638227727,0.46343590847152677
146,wired.com,0.026807084729535663,0.36542121697370233,USA,58364000,0.38168240916045476,-0.04260398644653392
147,Businesslive.co.za,0.026615605552896122,0.41928755102407766,South Africa,8000000,0.29307979418319513,0.4306259228570154
148,health.com,0.024030636668262325,0.5101208504116973,USA,63505000,0.4238055149961227,0.20366732466037943
149,greaterkashmir.com,0.024030636668262325,0.5690304934596432,India,2015000,0.4127199815561317,0.3787326005253093
150,Capetownetc.com,0.018956438487314504,0.4458499619507388,South Africa,5000000,0.3374579511237486,0.3212015318235662
151,gamespot.com,0.01809478219243657,0.44130811735602105,USA,8200000,0.29592802699511656,0.4912684068390169
152,espn.go.com,0.01723312589755864,0.4066608797147717,USA,1121435000,,
153,prokerala.com,0.016179990426041166,0.1213669640052169,India,7193000,0.3865719555390988,-0.6860430192460208
154,littlethings.com,0.015797032072762087,0.48698114933470327,USA,56191000,0.5730807722671287,-0.15023994365019816
155,nationalgeographic.com,0.015414073719483005,0.24068867883713407,USA,78004000,0.3347321971258303,-0.28095151615589586
156,newsmax.com,0.014839636189564385,0.3999171008184892,USA,61549000,0.5140675978258591,-0.22205347602172448
157,Businessinsider.co.za,0.014360938247965534,0.4984419367652899,South Africa,15000000,0.21503197111857864,1.3179898978390792
158,bbc.com,0.01311632359980852,0.3485449653114324,UK,356300000,0.31018110423255635,0.1236821345832627
159,bbc.co.uk,0.01311632359980852,0.33784267540125357,UK,1765803000,0.3258921086092344,0.03667031657507444
160,lifehacker.com,0.01302058401148875,0.38189138963452374,USA,84727000,0.2572066395460705,0.48476489684909513
161,Msn.com,0.01244614648157013,0.7143365778096316,USA,29000000,,
162,fivethirtyeight.com,0.010148396361895642,0.2696484697745334,USA,97021000,0.4358098694763343,-0.3812703918372917
163,lowvelder.co.za,0.009956917185256103,0.5704218793417755,South Africa,0,0.44630799513752567,0.27809021025044656
164,digitaltrends.com,0.0089995213020584,0.3299865230075607,USA,77219000,0.5257703284266122,-0.37237515096171747
165,Iol.co.za,0.007180469123982767,0.47599786202843264,South Africa,31000000,,
166,zululandobserver.co.za,0.006701771182383916,0.6521130037222852,South Africa,0,0.4642907668876671,0.4045358000411428
167,pcmag.com,0.006127333652465294,0.294546043049037,USA,92003000,0.09390762870536623,2.136550747896859
168,techradar.com,0.004786979415988511,0.30254356152559725,UK,18600000,0.2876739155494386,0.05168923969960425
169,BusinessTech.co.za,0.0044997606510292,0.38488579095736863,South Africa,31000000,0.22230385050685708,0.7313500871884207
170,dailykos.com,0.003829583532790809,0.406335976695258,USA,66121000,,
171,aajtak.in,0.003350885591191958,0.8140718562874248,India,681400000,1.0,-0.18592814371257516
172,seekingalpha.com,0.003063666826232647,0.1530317742892594,USA,133640000,0.26266902512977075,-0.4173969533954201
173,nature.com,0.0028721876495931067,0.16587686114257966,UK,6000000,0.33921520265385013,-0.5109981514836539
174,ft.com,0.002776448061273336,0.3286459176242109,UK,19400000,0.34107467845490685,-0.0364399986741881
175,realsimple.com,0.002680708472953566,0.5290265154085899,USA,48756000,0.6009411001348359,-0.11966993888437687
176,Moneyweb.co.za,0.0015318334131163235,0.3182423296388913,South Africa,9000000,0.3122321185298002,0.019249176341598832
177,MyBroadband.co.za,0.0011488750598372425,0.4902573231914549,South Africa,9000000,0.30630510455018617,0.6005522464648619
178,which.co.uk,0.0009573958831977022,0.07142313147948931,UK,24000000,0.48432205684064905,-0.8525296742721159
179,cbn.co.za,0.0007659167065581618,0.5153584722446998,South Africa,0,0.22561735806131122,1.2842146396584069
180,autoexpress.co.uk,0.0005744375299186213,0.4198437102628718,UK,15800000,0.1071833715251822,2.9170601212542713
181,news.google.com,0.00028721876495931063,0.9002872633112152,USA,1298525000,,
182,makeuseof.com,0.00028721876495931063,0.0,UK,6200000,0.5446325609471254,-1.0
183,howtogeek.com,9.573958831977022e-05,0.27585369800938664,USA,62384000,0.0,inf
184,dailysun.co.za,9.573958831977022e-05,1.0,South Africa,0,,
185,pcadvisor.co.uk,0.0,0.6373199546852242,UK,10400000,,
