"Title","Author","AuthorMore","Remove","Pages","WorldCatLink","GoodreadsLink","GoodreadsRating","GoodreadsReviews","PubYear","BibNum","Subjects","Parent"
"Dead Ground","Kerrigan, Philip",,,163,"https://www.worldcat.org/title/lead-pencil-stories-and-sketches/oclc/644495072","https://www.goodreads.com/book/show/443866.Dead_Ground",3.6,5,1985,399123,,""
"Lead Pencil","Botwinik, Berl",,,163,"https://www.worldcat.org/title/lead-pencil-stories-and-sketches/oclc/644495072","https://www.goodreads.com/book/show/3836342-lead-pencil",2,1,1984,360632,"botwinik berl 1885 1945 translations into english, jews, social life, translation",""
"The Priestess of Henge","Burnett, David",,,434,"https://www.worldcat.org/title/priestess-of-henge-a-novel/oclc/1036802908","https://www.goodreads.com/book/show/3241109-the-priestess-of-henge",3.7,10,1982,357489,"children's stories","child"
"The Best of Thomas N. Scortia","Scortia, Thomas N.","(editor) Zebrowski, George",,244,"https://www.worldcat.org/title/best-of-thomas-n-scortia/oclc/463302764","https://www.goodreads.com/book/show/1965587.The_Best_of_Thomas_N_Scortia",0,0,1981,202364,"science fiction american, science fiction",""
"Waiting for Sheila","Braine, John",,,186,"https://www.worldcat.org/title/waiting-for-sheila/oclc/1075945304","https://www.goodreads.com/book/show/4437679-waiting-for-sheila",2.84,19,1980,159413,"mystery & detective, romance","romance"
"The 47th Snail","Hinterberger, John","(illustrator) Rupp, Jacques",,217,"https://www.worldcat.org/title/47th-snail/oclc/4884023","https://www.goodreads.com/book/show/11688576-the-47th-snail",0,0,1978,125751,"seattle, humor",""
"Promised Land","Belfrage, Cedric",,,349,"https://www.worldcat.org/title/promised-land-notes-for-a-history/oclc/471060286","https://www.goodreads.com/book/show/4772304-promised-land",3,1,1977,493509,,""
"George and Anna","Rees, Barbara",,,156,"https://www.worldcat.org/title/george-and-anna/oclc/740650868",,,,1976,23329,,""
"The Monarch","Vasilikos, Vasilēs",,TRUE,216,"https://www.worldcat.org/title/monarch/oclc/706859736","https://www.goodreads.com/book/show/4792353-the-monarch",3.5,4,1976,805687,,""
"Hear, ye sons","Fineman, Irving",,,306,"https://www.worldcat.org/title/hear-ye-sons-a-novel/oclc/729959502","https://www.goodreads.com/book/show/3908323-hear-ye-sons",0,0,1975,40234,"jews",""
"Coward’s Paradise","Elliston, Valerie",,,314,"https://www.worldcat.org/title/cowards-paradise/oclc/562090410","https://www.goodreads.com/book/show/4643299-coward-s-paradise",3,1,1975,38197,,""
"Solomon’s Folly","Croxford, Leslie",,,206,"https://www.worldcat.org/title/solomons-folly/oclc/9761573","https://www.goodreads.com/book/show/3737602-solomon-s-folly",0,0,1974,125417,,""
"Holiday for ding-a-lings","Ellis, Art",,TRUE,,,,,,1974,732586,,""
"American Voices, American Women","Edwards, Lee R. | Diamond, Arlyn",,,,,"https://www.goodreads.com/book/show/3417989-american-voices-american-women",4,2,1973,51678,"american literature, women authors",""
"No","Major, Clarence",,,207,"https://www.worldcat.org/title/no/oclc/894326361","https://www.goodreads.com/book/show/25957675-no",4,1,1973,60905,"african american",""
"Call the Beast Thy Brother","Turner, William",,,206,"https://www.worldcat.org/title/call-the-beast-thy-brother/oclc/752028","https://www.goodreads.com/book/show/4384026-call-the-beast-thy-brother",3,1,1973,51022,"haida indians fiction, hiada indians",""
"The knife edge","Ellis, William",,,223,"https://www.worldcat.org/title/knife-edge/oclc/748690","https://www.goodreads.com/book/show/3720894-the-knife-edge",0,0,1973,51634,"detective, mystery",""
"My Stillness","Griffith, Paul",,,180,"https://www.worldcat.org/title/my-stillness-a-novel/oclc/621997","https://www.goodreads.com/book/show/672759.My_Stillness",4.33,3,1972,59218,,""
"Don Juan’s Bar","Callado, Antônio",,TRUE,271,"https://www.worldcat.org/title/don-juans-bar-a-novel/oclc/292366","https://www.goodreads.com/book/show/1257701.Don_Juan_s_Bar",3.56,16,1972,8678,"brazil fiction, dictatorship, history, brazil","countries"
"The Time of Adam","Cullinan, Elizabeth",,,178,"https://www.worldcat.org/title/time-of-adam-stories/oclc/695832915",,,,1971,62657,,""
"Kotik Letaev","Bely, Andrei","(translator) Janecek, Gerald",,268,"https://www.worldcat.org/title/kotik-letaev/oclc/40783942","https://www.goodreads.com/book/show/184914.Kotik_Letaev",3.91,58,1971,40815,"children, russia","child, countries"
"Invisible Swords","Farrell, James",,,430,"https://www.worldcat.org/title/invisible-swords/oclc/904561413",,,,1971,21791,,""
"The Mad Dog Press Archives","Grendahl, J. Spencer",,,224,"https://www.worldcat.org/title/mad-dog-press-archives-a-novel/oclc/16198028","https://www.goodreads.com/book/show/2011160.The_Mad_Dog_Press_Archives_A_Novel",4,1,1970,706026,,""
"Daughters of the Sun","Egbuna, Obi",,,106,"https://www.worldcat.org/title/daughters-of-the-sun-and-other-stories/oclc/107625","https://www.goodreads.com/book/show/2391959.Daughters_Of_The_Sun_And_Other_Stories",4,1,1970,22688,"nigeria, social life, customs","countries"
"When Greek Meets Greek","Demetrios, George",,,245,"https://www.worldcat.org/title/when-greek-meets-greek/oclc/76429","https://www.goodreads.com/book/show/3556724-when-greek-meets-greek",0,0,1970,768598,,""
"When the Fire Reaches Us","Tinker, Barbara Wilson",,,,,"https://www.goodreads.com/book/show/2717804-when-the-fire-reaches-us",2.5,4,1970,11055,,""
"Contact","Finn, F. E. S.",,,174,"https://www.worldcat.org/title/contact-short-stories-of-the-1960s-in-2-vols/oclc/877523805",,,,1969,9628,"short stories","short"
"The Fanatics","Dunbar, Paul Laurence",,,312,"https://www.worldcat.org/title/fanatics/oclc/1072177385","https://www.goodreads.com/book/show/2046750.The_Fanatics_",3.33,3,1969,1359787,"american fiction, african american authors",""
"Aunt Sara’s Wooden God","Gilbert, Mercedes",,,271,"https://www.worldcat.org/title/aunt-saras-wooden-god/oclc/987283535","https://www.goodreads.com/book/show/35069983-aunt-sara-s-wooden-god",0,0,1969,3004213,"african americans fiction mason dixon line african americans fiction, country life fiction, mothers and sons fiction, poor fiction, male african people conduct of life fiction, african american fiction, country life, mothers and sons",""
"In the House of the Lord","Flynn, Robert",,,287,"https://www.worldcat.org/title/in-the-house-of-the-lord/oclc/22629551","https://www.goodreads.com/book/show/2665979-in-the-house-of-the-lord",4.09,11,1969,87847,"texas","states"
"Fractions","Field, Andrew",,,144,"https://www.worldcat.org/title/fractions/oclc/696493","https://www.goodreads.com/book/show/4333083-fractions",3,3,1969,24827,,""
"The Problem","Gilmore, F. Grant",,,,"https://www.worldcat.org/title/problem-a-military-novel/oclc/944194926","https://www.goodreads.com/book/show/25148361-the-problem-a-military-novel",0,0,1969,3004212,"military art and science fiction",""
"Julia Harrington","Bissell, Richard",,,,"https://www.worldcat.org/title/julia-harrington/oclc/69653004#borrow","https://www.goodreads.com/book/show/22892565-julia-harrington",3,10,1969,5550,"city and town life juvenile fiction","child"
"The Power Sellers","Hall, Patrick",,,252,"https://www.worldcat.org/title/power-sellers/oclc/435541",,,,1969,80549,,""
"Second Breath","Beneš, Jan","(translator) Montgomery, Michael",,161,"https://www.worldcat.org/title/second-breath/oclc/586732683",,,,1969,59774,"czechoslovakia fiction","countries"
"The Love of Landry","Dunbar, Paul Lawrence",,,,"https://www.worldcat.org/title/love-of-landry/oclc/944429112","https://www.goodreads.com/book/show/38692299-the-love-of-landry",4.33,6,1969,60175,,""
"The Shape of Fear","Peattie, Elia Wilkinson",,,,"https://www.worldcat.org/title/shape-of-fear/oclc/1078567287","https://www.goodreads.com/book/show/12959174-the-shape-of-fear",3.14,22,1969,62118,,""
"Peak and Prairie","Fuller, Anna",,,,"https://www.worldcat.org/title/peak-and-prairie-from-a-colorado-sketch-book/oclc/920921767","https://www.goodreads.com/book/show/20558044-peak-and-prairie-from-a-colorado-sketch-book",2,1,1969,25190,,""
"A Little Book of Profitable Tales","Field, Eugene",,,,"https://www.worldcat.org/title/little-book-of-profitable-tales/oclc/980223704","https://www.goodreads.com/book/show/9932367-a-little-book-of-profitable-tales",3.18,11,1969,594201,"short stories","short"
"The Thunder and the Shouting","Nicole, Christopher",,,281,"https://www.worldcat.org/title/thunder-and-the-shouting/oclc/16561968","https://www.goodreads.com/book/show/12216131-the-thunder-and-the-shouting",3.8,5,1969,10488,,""
"The Living is Easy","West, Dorothy",,,376,"https://www.worldcat.org/title/living-is-easy/oclc/858229215","https://www.goodreads.com/book/show/158371.The_Living_is_Easy",3.91,389,1969,3184362,"african americans fiction, boston mass fiction, african american fiction",""
"In the Days of the Councillor","Andersen, Tryggve","(translator) Stroup, Beatrice H. | (translator) Mathison, Stein",,262,"https://www.worldcat.org/title/in-the-days-of-the-councillor/oclc/467442742","https://www.goodreads.com/book/show/18283731-in-the-days-of-the-councillor",3.57,7,1969,420352,"norway fiction","countries"
"The Heart of Happy Hollow","Dunbar, Paul Lawrence","(illustrator) Kemble, E. W.",,,"https://www.worldcat.org/title/heart-of-happy-hollow-a-collection-of-stories/oclc/920913343","https://www.goodreads.com/book/show/29349353-the-heart-of-happy-hollow",3.96,26,1969,13390,,""
"Counter Paradise","Fleming, Nichol",,,191,"https://www.worldcat.org/title/counter-paradise/oclc/10530219","https://www.goodreads.com/book/show/11186094-counter-paradise",3,5,1968,700738,,""
"38 Short Stories","Timko, Michael | Oliver, Clinton",,,716,"https://www.worldcat.org/title/38-short-stories-an-introductory-anthology/oclc/21592927","https://www.goodreads.com/book/show/791750.38_Short_Stories",4.33,3,1968,81384,"short stories","short"
"The Conflagration","Fedin, Konstantin","(translator) Sharise, Olga | (editor) Bean, Bryan",,,"https://www.worldcat.org/title/conflagration/oclc/113750","https://www.goodreads.com/book/show/16114896-the-conflagration",3.67,3,1968,22370,"soviet union",""
"The Drowning, the Dancing","Nilssen, Jerome",,,165,"https://www.worldcat.org/title/drowning-the-dancing/oclc/424855",,,,1968,84535,,""
"The Second Inheritance","Bragg, Melvyn",,,266,"https://www.worldcat.org/title/second-inheritance/oclc/439830370","https://www.goodreads.com/book/show/20639920-the-second-inheritance",3,7,1967,178488,,""
"Promise Morning","Mercer, Charles",,,192,"https://www.worldcat.org/title/promise-morning/oclc/1007777943",,,,1966,144067,,""
"The Bright Feathers","Culp, John",,,320,"https://www.worldcat.org/title/bright-feathers/oclc/16891445","https://www.goodreads.com/book/show/42445756-the-bright-feathers",3,1,1965,128114,"western","frontier"
"The Travelers","Fetler, Andrew",,,273,"https://www.worldcat.org/title/travelers-a-novel/oclc/1166100",,,,1965,127392,,""
"Mr Capon","Hall, Jenni",,,125,"https://www.worldcat.org/title/mr-capon/oclc/30290719",,,,1965,287770,,""
"Famous Tales of the Fantastic","Van Thal, Herbert",,,140,"https://www.worldcat.org/title/famous-tales-of-the-fantastic/oclc/221417362","https://www.goodreads.com/book/show/12955828-famous-tales-of-the-fantastic",3.67,3,1965,178796,"fantasy fiction, short stories, fantasy","short"
"Falling Through the Night","Fedoroff, Alexander",,,237,"https://www.worldcat.org/title/falling-through-the-night/oclc/559869428",,,,1964,243947,,""
"What Time Collects","Farrell, James",,,421,"https://www.worldcat.org/title/what-time-collects/oclc/883562612",,,,1964,720308,,""
"Three Cheers for Nothing","Kinsley, Peter",,,158,"https://www.worldcat.org/title/three-cheers-for-nothing/oclc/561597881",,,,1964,187554,,""
"The Six Wounds","Cuddon, J. A.",,,264,"https://www.worldcat.org/title/six-wounds/oclc/1590963",,,,1964,211021,"brazil, stigmatization","countries"
"The Second Stone","Fiedler, Leslie",,,,"https://www.worldcat.org/title/second-stone-a-love-story/oclc/752838662",,,,1963,582248,,""
"Young Crankshaw","Hemley, Cecil",,,319,"https://www.worldcat.org/title/young-crankshaw/oclc/559423568",,,,1963,174441,,""
"Northern Affair","Findley, D. K.",,,224,"https://www.worldcat.org/title/northern-affair/oclc/13385881","https://www.goodreads.com/book/show/13560857-northern-affair",3,1,1963,70119,"adventure, canada, arctic, inuit","countries"
"Harvest on the Don","Sholokhov, Mikhail","(translator) Stevens, H. C.",,399,"https://www.worldcat.org/title/harvest-on-the-don/oclc/12501023","https://www.goodreads.com/book/show/626402.Harvest_on_the_Don",3.98,343,1961,426914,"russia","countries"
"So Was Alaska","Snider, Gerritt","(illustrator) Hafling, Jane",,95,"https://www.worldcat.org/title/so-was-alaska/oclc/8991906",,,,1961,69403,"frontier and pioneer life alaska, alaska, frontier and pioneer life","frontier, states"
"The Benefactor","Flores, María",,,280,"https://www.worldcat.org/title/benefactor/oclc/563673667",,,,1960,171005,,""
"The Good Light","Bjarnhof, Karl","(translator) Walford, Naomi",,272,"https://www.worldcat.org/title/good-light/oclc/252674812","https://www.goodreads.com/book/show/21527363-the-good-light",4,4,1960,128298,,""
"Mrs. Sherman’s Summer","Fischer, Marjorie",,,254,"https://www.worldcat.org/title/mrs-shermans-summer/oclc/154633370","https://www.goodreads.com/book/show/10843829-mrs-sherman-s-summer",0,0,1960,170962,,""
"The Winter Rider","Fleming, Berry",,,,"https://www.worldcat.org/title/winter-rider/oclc/928884925","https://www.goodreads.com/book/show/25212367-the-winter-rider",3,1,1960,171120,"suspense, relationships","romance"
"One Star General","Morgan, Al",,,,"https://www.worldcat.org/title/one-star-general/oclc/1026247133","https://www.goodreads.com/book/show/17664003-one-star-general",4.33,3,1959,306502,,""
"Tell Me, Stranger","Flood, Charles Bracelen",,,188,"https://www.worldcat.org/title/tell-me-stranger/oclc/225028970","https://www.goodreads.com/book/show/6387096-tell-me-stranger",5,3,1959,302681,"romance","romance"
"The Reunion","Molloy, Robert",,,331,"https://www.worldcat.org/title/reunion/oclc/926799878","https://www.goodreads.com/book/show/40548219-the-reunion",0,0,1959,720274,"south carolina","states"
"The Constant Star","Foote, Dorothy Norris",,,,"https://www.worldcat.org/title/constant-star/oclc/752872117",,,,1959,185739,"somerset frances howard carr countess of 1593 1632 fiction, sidney philip sir 1554 1586 fiction, essex robert devereux earl of 1566 1601 in literature","countries"
"No Love for Johnnie","Feinburgh, Wilfred",,,232,"https://www.worldcat.org/title/no-love-for-johnnie/oclc/30257140","https://www.goodreads.com/book/show/43840539-no-love-for-johnnie",2.5,2,1959,185686,,""
"But Will They Get It in Des Moines?","Flink, Stanley",,,310,"https://www.worldcat.org/title/but-will-they-get-it-in-des-moines-a-novel/oclc/3065811","https://www.goodreads.com/book/show/18857248-but-will-they-get-it-in-des-moines",3,1,1959,213026,,""
"The Brooks Legend","Ellis, William Donohue",,,352,"https://www.worldcat.org/title/brooks-legend/oclc/12409648","https://www.goodreads.com/book/show/15815984-the-brooks-legend",0,0,1958,126470,"historical",""
"The Madstone","Faralla, Dana",,,,"https://www.worldcat.org/title/madstone/oclc/810765383",,,,1958,427345,,""
"The Running Iron","Fish, Rachel Ann",,TRUE,,,,,,1957,167846,,""
"A Man to Ride With","Farris, Jack",,,222,"https://www.worldcat.org/title/man-to-ride-with/oclc/1036641512",,,,1957,168631,,""
"Silver Spoon","Gilbert, Edwin",,,,"https://www.worldcat.org/title/silver-spoon/oclc/175072348","https://www.goodreads.com/book/show/9218802-silver-spoon",3,1,1957,136792,,""
"The Hon. Rocky Slade","Haines, William Wister",,,204,"https://www.worldcat.org/title/hon-rocky-slade/oclc/5176092",,,,1957,139587,,""
"War Country","Turner, William O.",,,172,"https://www.worldcat.org/title/war-country/oclc/9477683","https://www.goodreads.com/book/show/10574012-war-country",3,1,1957,715759,,""
"Alie Dear","Barry, Arthur",,,175,"https://www.worldcat.org/title/alie-dear/oclc/13106693",,,,1956,227224,"barry alice julia ryan",""
"The Hardhats","Newell, H. M.",,,338,"https://www.worldcat.org/title/hardhats/oclc/2961634","https://www.goodreads.com/book/show/3397850-the-hardhats",2.67,3,1956,144282,"dams, northwest, labor camps, widowers, engineers, pacific northwest","pnw"
"The Frozen Jungle","Lawrence, Earl",,,182,"https://www.worldcat.org/title/frozen-jungle/oclc/1007827586",,,,1956,708859,,""
"The Seed is Sown","Boetzkes, Ottilie",,,152,"https://www.worldcat.org/title/seed-is-sown-a-historical-novel-of-life-in-revolutionary-south-america-a-century-ago/oclc/10342917",,,,1956,230659,"pedro ii emperor of brazil 1825 1891 fiction","countries"
"Murder is Insane","Barns, Glenn",,,184,"https://www.worldcat.org/title/murder-is-insane/oclc/30220846",,,,1956,130676,,""
"The Plums Hang High","Finney, Gertrude E.",,,245,"https://www.worldcat.org/title/plums-hang-high/oclc/980824430","https://www.goodreads.com/book/show/3921549-the-plums-hang-high",4.3,27,1955,126789,,""
"A German Officer","Groussard, Serge","(translator) White, Antonia",,218,"https://www.worldcat.org/title/german-officer/oclc/1901511",,,,1955,266886,,""
"The Golden Witch","Ross, Zola",,,,"https://www.worldcat.org/title/golden-witch/oclc/503715686",,,,1955,145325,,""
"A Circle of Trees","Faralla, Dana",,,221,"https://www.worldcat.org/title/circle-of-trees-a-novel/oclc/314501143",,,,1955,126522,,""
"Not the Glory","Boulle, Pierre","(translator) Fielding, Xan",,235,"https://www.worldcat.org/title/not-the-glory/oclc/271390519","https://www.goodreads.com/book/show/22589098-not-the-glory",3.4,15,1955,128457,,""
"The Seagull on the Step","Boyle, Kay",,,247,"https://www.worldcat.org/title/seagull-on-the-step/oclc/10732197","https://www.goodreads.com/book/show/25233470-the-seagull-on-the-step",3,2,1955,420954,"france","countries"
"Korean Boy","Pak, Chong-Yŏng | Carroll, Jock",,,184,"https://www.worldcat.org/title/korean-boy/oclc/835854617",,,,1955,184193,,""
"The Twelfth Physician","Gibbs, Willa",,,319,"https://www.worldcat.org/title/twelfth-physician/oclc/4768104","https://www.goodreads.com/book/show/12409939-the-twelfth-physician",4.5,2,1954,109409,"france history 1789 1815 fiction, france, historical","countries"
"Yakima","Johnson, Inez Noelle",,,322,"https://www.worldcat.org/title/yakima-a-novel/oclc/10033953",,,,1954,184072,"yakima, washington","pnw"
"The Quiet Woman","Fisher, Agnes Adams",,,,"https://www.worldcat.org/title/quiet-woman/oclc/936607406",,,,1954,183817,,""
"The Golden Fool","Divine, David",,,,"https://www.worldcat.org/title/golden-fool/oclc/752608628","https://www.goodreads.com/book/show/36305115-the-golden-fool",4,1,1954,132052,,""
"Jonathan Blair","Ellis, William Donohue",,,462,"https://www.worldcat.org/title/jonathan-blair-bounty-lands-lawyer/oclc/41211521","https://www.goodreads.com/book/show/17159257-jonathan-blair",0,0,1954,126471,"frontier and pioneer life","frontier"
"The Cave and the Rock","Faure, Raoul C.",,,276,"https://www.worldcat.org/title/cave-and-the-rock/oclc/1683669","https://www.goodreads.com/book/show/32617269-the-cave-and-the-rock",0,0,1953,615554,"godiva lady active 1040 1080",""
"Love is a Bridge","Flood, Charles Bracelen",,,349,"https://www.worldcat.org/title/love-is-a-bridge/oclc/786870","https://www.goodreads.com/book/show/11898544-love-is-a-bridge",4.5,4,1953,430993,"romance, divorce","romance"
"The Trouble at Hungerfords","Harris, Cyril",,,274,"https://www.worldcat.org/title/trouble-at-hungerfords/oclc/1084040887",,,,1953,183386,,""
"The Secret Masters","Kersh, Gerald",,,196,"https://www.worldcat.org/title/secret-masters/oclc/462914648","https://www.goodreads.com/book/show/9990623-the-secret-masters",3.7,23,1953,280920,"adventure",""
"To Follow a Flag","Henry, Will",,,165,"https://www.worldcat.org/title/to-follow-a-flag/oclc/865238837","https://www.goodreads.com/book/show/1966447.To_Follow_a_Flag",4,7,1953,166372,"yakama, indians of north america, northwest","pnw"
"My Uncle Louis","Fontaine, Robert Louis",,,294,"https://www.worldcat.org/title/my-uncle-louis/oclc/561322739",,,,1953,126933,,""
"The Naked Risk","Demarest, Phyllis Gordon",,,383,"https://www.worldcat.org/title/naked-risk/oclc/632433033",,,,1953,265962,,""
"In the Bright April Weather","Mitchell, Susanna Valentine",,,172,"https://www.worldcat.org/title/in-the-bright-april-weather/oclc/1739115",,,,1952,586208,,""
"Gateway to Fortune","Bourne, Peter",,,348,"https://www.worldcat.org/title/gateway-to-fortune/oclc/607590446",,,,1952,142084,"panama history fiction, panama","countries"
"Monkey Shines","Miers, Earl Schenck","(illustrator) Galdone, Paul",,207,"https://www.worldcat.org/title/monkey-shines-a-baseball-story/oclc/1036742377",,,,1952,314473,,""
"Yet Other Waters","James Farrell",,,319,"https://www.worldcat.org/title/yet-other-waters/oclc/63546836","https://www.goodreads.com/book/show/6891038-yet-other-waters",3.5,2,1952,165939,,""
"Splint Road","Mellinger, May",,,277,"https://www.worldcat.org/title/splint-road-a-novel/oclc/1376969",,,,1952,183174,"rural poor, working class, southern states",""
"The Citadel of the Lakes","Orr, Myron David",,,,"https://www.worldcat.org/title/citadel-of-the-lakes/oclc/964351962","https://www.goodreads.com/book/show/23704075-the-citadel-of-the-lakes",3.4,5,1952,101162,,""
"Boy at the Window","Dodson, Owen",,,211,"https://www.worldcat.org/title/boy-at-the-window-a-novel/oclc/507410547","https://www.goodreads.com/book/show/4190463-boy-at-the-window",5,4,1951,123911,,""
"Doctor in Buckskin","Allen, T. D.",,,314,"https://www.worldcat.org/title/doctor-in-buckskin/oclc/17361341","https://www.goodreads.com/book/show/3274011-doctor-in-buckskin",4,5,1951,702398,"whitman marcus 1802 1847 juvenile fiction, whitman narcissa prentiss 1808 1847 juvenile fiction","child"
