,Ingredient,Text,Recipe_Index,Rating,Quantity,Unit
36,all purpose flour,7.0 cups all purpose flour,AR_256,0.870253181,7,cup
37,all purpose flour,2.5 cups all purpose flour,AR_26,0.9,2.5,cup
38,all purpose flour,4.333333333333333 cups all purpose flour,AR_27,0.876923084,4.333333333,cup
39,all purpose flour,4.5 cups all purpose flour,AR_28,0.873333359,4.5,cup
40,all purpose flour,1.5 cups all purpose flour,AR_280,NA,1.5,cup
41,all purpose flour,2.25 cups all purpose flour,AR_3,0.917986774,2.25,cup
42,all purpose flour,1.125 cups all purpose flour,AR_30,0.859829044,1.125,cup
43,all purpose flour,3.6 cups all purpose flour,AR_32,0.830769253,3.6,cup
44,all purpose flour,3.333333333333333 cups all purpose flour,AR_33,0.826666641,3.333333333,cup
45,all purpose flour,4.0 cup all purpose flour,AR_35,0.843636322,4,cup
46,all purpose flour,5.333333333333333 cups all purpose flour,AR_37,0.8,5.333333333,cup
47,all purpose flour,2.0 cups all purpose flour,AR_39,0.6,2,cup
48,all purpose flour,2.5 cups all purpose flour,AR_4,0.922985077,2.5,cup
49,all purpose flour,5.0 cups all purpose flour,AR_43,0.828866005,5,cup
50,all purpose flour,2.75 cups all purpose flour,AR_45,0.821052647,2.75,cup
51,all purpose flour,8.0 cups all purpose flour,AR_47,0.7125,8,cup
52,all purpose flour,5.0 cups all purpose flour,AR_48,0.677777767,5,cup
53,all purpose flour,2.333333333333333 cups all purpose flour,AR_49,0.592592573,2.333333333,cup
54,all purpose flour,2.25 cups all purpose flour,AR_5,0.937341785,2.25,cup
55,all purpose flour,6.0 cups all purpose flour,AR_50,0.66500001,6,cup
56,all purpose flour,4.0 cups all purpose flour,AR_53,0.692473125,4,cup
57,all purpose flour,2.0 cup all purpose flour,AR_54,0.723741007,2,cup
58,all purpose flour,3.5 cups all purpose flour,AR_55,0.385714293,3.5,cup
59,all purpose flour,2.0 cups all purpose flour,AR_57,0.595505619,2,cup
60,all purpose flour,4.5 cups all purpose flour,AR_66,0.902002907,4.5,cup
61,all purpose flour,3.375 cups all purpose flour,AR_67,0.939130402,3.375,cup
62,all purpose flour,3.375 cups all purpose flour,AR_69,0.920792103,3.375,cup
63,all purpose flour,2.2222222222222223 cups all purpose flour,AR_7,0.896335125,2.222222222,cup
64,all purpose flour,1.6 cups all purpose flour,AR_70,0.91003809,1.6,cup
65,all purpose flour,2.5 cups all purpose flour,AR_78,0.915186214,2.5,cup
66,all purpose flour,5.0 cups all purpose flour,AR_79,0.633333349,5,cup
67,all purpose flour,4.5 cups all purpose flour,AR_8,0.942446041,4.5,cup
68,all purpose flour,7.0 cups all purpose flour,AR_84,0.905737686,7,cup
69,all purpose flour,2.5 cups all purpose flour,AR_88,0.955555534,2.5,cup
70,all purpose flour,1.8 cups all purpose flour,AR_89,0.909890079,1.8,cup
71,all purpose flour,5.0 cups all purpose flour,AR_90,0.902608681,5,cup
72,all purpose flour,4.0 cups all purpose flour,AR_91,0.928301907,4,cup
73,all purpose flour,4.0 cups all purpose flour,AR_95,0.844067764,4,cup
74,all purpose flour,2.333333333333333 cups all purpose flour,AR_96,0.818181801,2.333333333,cup
75,all purpose flour,1.8 cups all purpose flour,AR_97,0.933333302,1.8,cup
76,all purpose flour,5.8133333333333335 cups all purpose flour,AR_98,0.90666666,5.813333333,cup
77,all purpose flour,1.0 cup plus 2 tablespoons all purpose flour,E_133,0.75,1,cup
78,all purpose flour,192.0 tablespoons plain all purpose flour,E_169,0.5,12,cup
79,all purpose flour,2.4 cup plus 2 tablespoons all purpose flour,E_21,0.75,2.4,cup
80,all purpose flour,3.0 cups all purpose flour,E_215,0.875,3,cup
81,all purpose flour,2.0 cups all purpose flour,E_220,0.75,2,cup
82,all purpose flour,5.14285714286 cups all purpose flour,E_230,0.875,5.142857143,cup
83,all purpose flour,3.5 cups all purpose flour,E_258,0.75,3.5,cup
84,all purpose flour,5.4 cups all purpose flour,E_26,0.875,5.4,cup
85,all purpose flour,2.0 cups all purpose flour,E_362,0.625,2,cup
86,all purpose flour,3.42857142857 cups all purpose flour,E_375,0.75,3.428571429,cup
87,all purpose flour,4.36363636364 cups plain all purpose flour,E_399,1,4.363636364,cup
88,all purpose flour,0.32 cup all purpose flour,E_509,0.75,0.32,cup
89,all purpose flour,2.4 cups all purpose flour,E_79,0.75,2.4,cup
90,all purpose flour,2.88 cups all purpose flour,E_87,0.75,2.88,cup
91,all purpose flour,16.0 cups all purpose flour,E_88,0.375,16,cup
92,all purpose flour,2.5 cups all purpose flour,E_89,0.875,2.5,cup
93,all purpose flour,1.8 cups all purpose flour,E_91,1,1.8,cup
94,all purpose flour,3.6 cups all purpose flour,Misc_10,NA,3.6,cup
95,all purpose flour,6.0 cups of all purpose flour,Misc_101,NA,6,cup
96,all purpose flour,7.0 cup 210 g flour,Misc_102,NA,7,cup
97,all purpose flour,3.33333333333 ⁄2 cups all purpose flour,Misc_103,NA,3.333333333,cup
98,all purpose flour,2.0 cups 6 1/2 oz./200 g unbleached all purpose flour,Misc_104,NA,2,cup
99,all purpose flour,8.0 cup plus 2 tbs. all purpose flour,Misc_105,NA,8,cup
100,all purpose flour,3.0 cups all purpose flour,Misc_106,NA,3,cup
101,all purpose flour,2.0 cups 6 1/2 oz./200 g unbleached all purpose flour,Misc_107,NA,2,cup
102,all purpose flour,2.5 cups all purpose flour,Misc_108,NA,2.5,cup
103,all purpose flour,4.0 cups flour,Misc_109,NA,4,cup
104,all purpose flour,1.8 cups all purpose flour,Misc_11,NA,1.8,cup
105,all purpose flour,"18.75 ounces all purpose flour, such as gold medal",Misc_110,NA,2.34375,cup
106,all purpose flour,2.93333333333 cups all purpose flour 350g,Misc_111,NA,2.933333333,cup
107,all purpose flour,5.33333333333 cups plus 3 tablespoons all purpose flour,Misc_112,NA,5.333333333,cup
108,all purpose flour,2.85714285714 cups all purpose flour do not sift,Misc_113,NA,2.857142857,cup
109,all purpose flour,3.6 cups all purpose flour,Misc_114,NA,3.6,cup
110,all purpose flour,3.0 cups all purpose flour see notes below,Misc_12,NA,3,cup
111,all purpose flour,3.0 cups all purpose flour,Misc_13,NA,3,cup
112,all purpose flour,5.53846153846 cups 380 grams all purpose flour,Misc_14,NA,5.538461538,cup
113,all purpose flour,2.93333333333 cups all purpose flour 350g,Misc_15,NA,2.933333333,cup
114,all purpose flour,2.83333333333 cups all purpose flour,Misc_16,NA,2.833333333,cup
115,all purpose flour,4.25 cups all purpose flour,Misc_17,NA,4.25,cup
116,all purpose flour,2.66666666667 cups king arthur unbleached all purpose flour,Misc_18,NA,2.666666667,cup
117,all purpose flour,4.875 cups all purpose flour 415g,Misc_19,NA,4.875,cup
118,all purpose flour,1.5 cups all purpose flour 1.5 cups,Misc_2,NA,1.5,cup
119,all purpose flour,5.0 cups all purpose flour,Misc_20,NA,5,cup
120,all purpose flour,2.33333333333 cups plus 1 tablespoon all purpose flour,Misc_22,NA,2.333333333,cup
121,all purpose flour,4.0 cups plus 3 tablespoons all purpose flour,Misc_23,NA,4,cup
122,all purpose flour,2.0 cups all purpose flour,Misc_24,NA,2,cup
123,all purpose flour,5.33333333333 cups all purpose flour,Misc_26,NA,5.333333333,cup
124,all purpose flour,5.0 cups 325 grams all purpose flour,Misc_27,NA,5,cup
125,all purpose flour,5.0 cups all purpose flour,Misc_28,NA,5,cup
126,all purpose flour,2.66666666667 cups plus 2.66666666667 tablespoons flour,Misc_29,NA,2.666666667,cup
127,all purpose flour,0.0 cup/50.0 grams all purpose flour,Misc_3,NA,0,cup
128,all purpose flour,5.4 cups all purpose flour,Misc_30,NA,5.4,cup
129,all purpose flour,2.0 cups all purpose flour,Misc_31,NA,2,cup
130,all purpose flour,6.0 cups flour,Misc_32,NA,6,cup
131,all purpose flour,2.64 cup all purpose flour,Misc_33,NA,2.64,cup
132,all purpose flour,8.57142857143 cups 12 1/2oz/375g all purpose flour/plain flour,Misc_34,NA,8.571428571,cup
133,all purpose flour,2.46153846154 cups all purpose flour,Misc_35,NA,2.461538462,cup
134,all purpose flour,5.25 cups flour,Misc_36,NA,5.25,cup
135,all purpose flour,4.0 cups all purpose flour,Misc_37,NA,4,cup
136,all purpose flour,5.2 cups flour,Misc_38,NA,5.2,cup
137,all purpose flour,1.6  1/4 cups all purpose flour,Misc_39,NA,1.6,cup
138,all purpose flour,9.6 cups/256 grams all purpose flour,Misc_4,NA,9.6,cup
139,all purpose flour,2.25 cups 295 grams all purpose flour,Misc_40,NA,2.25,cup
140,all purpose flour,2.7 cups all purpose flour,Misc_41,NA,2.7,cup
141,all purpose flour,4.8 cups flour,Misc_42,NA,4.8,cup
142,all purpose flour,2.52631578947 and  3/4 cups 345 grams all purpose flour spooned & leveled,Misc_43,NA,2.526315789,cup
143,all purpose flour,4.0 cups plus 4.0 tbsp all purpose flour,Misc_44,NA,4,cup
144,all purpose flour,2.66666666667 cups baker’s corner all purpose flour,Misc_45,NA,2.666666667,cup
145,all purpose flour,3.5 cup all purpose flour,Misc_46,NA,3.5,cup
146,all purpose flour,1.42857142857 cups unsifted all purpose flour,Misc_47,NA,1.428571429,cup
147,all purpose flour,2.66666666667 cups king arthur unbleached all purpose flour,Misc_48,NA,2.666666667,cup
148,all purpose flour,2.90909090909 cups all purpose flour,Misc_5,NA,2.909090909,cup
149,all purpose flour,"4.25 	cups all purpose flour",Misc_50,NA,4.25,cup
150,all purpose flour,"2.13333333333 	cups all purpose flour",Misc_51,NA,2.133333333,cup
151,all purpose flour,"1.68 	cups 238 grams all purpose flour",Misc_52,NA,1.68,cup
152,all purpose flour,"5.25 	cups unbleached all purpose flour",Misc_53,NA,5.25,cup
153,all purpose flour,2.66666666667 cups pillsbury best™ all purpose flour,Misc_54,NA,2.666666667,cup
154,all purpose flour,2.85714285714 cups unbleached all purpose flour,Misc_55,NA,2.857142857,cup
155,all purpose flour,4.0 cups 250g all purpose flour spoon & leveled,Misc_56,NA,4,cup
156,all purpose flour,3.5 cups all purpose flour,Misc_6,NA,3.5,cup
157,all purpose flour,4.0 cups all purpose flour,Misc_60,NA,4,cup
158,all purpose flour,2.25 cups unsifted flour,Misc_61,NA,2.25,cup
159,all purpose flour,3.0 cup all purpose flour,Misc_62,NA,3,cup
160,all purpose flour,4.0 cups flour,Misc_63,NA,4,cup
161,all purpose flour,"2.4 cups unbleached, all purpose flour",Misc_64,NA,2.4,cup
162,all purpose flour,2.25 cups all purpose flour,Misc_65,NA,2.25,cup
163,all purpose flour,2.0 cup flour,Misc_67,NA,2,cup
164,all purpose flour,3.5 cups 210 g all purpose flour*,Misc_68,NA,3.5,cup
165,all purpose flour,6.0 cups all purpose flour more as needed – see video,Misc_69,NA,6,cup
166,all purpose flour,4.0 cups all purpose flour,Misc_7,NA,4,cup
167,all purpose flour,3.33333333333 cups all purpose flour see note,Misc_70,NA,3.333333333,cup
168,all purpose flour,9.6 cups 284 g all purpose flour,Misc_72,NA,9.6,cup
169,all purpose flour,"3.0 ¹⁄₃ cups unbleached, all purpose flour",Misc_73,NA,3,cup
170,all purpose flour,4.0 cups flour,Misc_74,NA,4,cup
171,all purpose flour,5.92592592593 cups all purpose flour,Misc_75,NA,5.925925926,cup
172,all purpose flour,7.0 cups all purpose flour,Misc_76,NA,7,cup
173,all purpose flour,4.57142857143 cups all purpose flour,Misc_77,NA,4.571428571,cup
174,all purpose flour,4.0 cup | 200g all purpose flour,Misc_78,NA,4,cup
175,all purpose flour,6.85714285714 cups all purpose flour,Misc_79,NA,6.857142857,cup
176,all purpose flour,1.74545454545 cups flour,Misc_8,NA,1.745454545,cup
177,all purpose flour,6.0 cups all purpose flour use the spoon and level method,Misc_80,NA,6,cup
178,all purpose flour,5.33333333333 cups all purpose flour,Misc_81,NA,5.333333333,cup
179,all purpose flour,5.14285714286  1 2/3 cup all purpose flour use more if needed see post for details,Misc_82,NA,5.142857143,cup
180,all purpose flour,6.46153846154 cups all purpose flour,Misc_84,NA,6.461538462,cup
181,all purpose flour,2.66666666667 cups king arthur unbleached all purpose flour,Misc_85,NA,2.666666667,cup
182,all purpose flour,6.0 cup all purpose flour,Misc_86,NA,6,cup
183,all purpose flour,8.0 cups all purpose flour,Misc_87,NA,8,cup
184,all purpose flour,5.14285714286 cups all purpose flour,Misc_89,NA,5.142857143,cup
185,all purpose flour,2.25 cups gold medal™ all purpose flour,Misc_9,NA,2.25,cup
186,all purpose flour,12.0 ⁄4 cups flour,Misc_90,NA,12,cup
187,all purpose flour,"2.0  1/4 cups all purpose flour, spooned and leveled",Misc_91,NA,2,cup
188,all purpose flour,4.66666666667 cups all purpose flour,Misc_92,NA,4.666666667,cup
189,all purpose flour,4.0 cups flour,Misc_93,NA,4,cup
190,all purpose flour,4.2 cup 220 g all purpose flour,Misc_96,NA,4.2,cup
191,all purpose flour,5.14285714286 cup unbleached all purpose flour,Misc_97,NA,5.142857143,cup
192,all purpose flour,4.5 cup all purpose flour,Misc_98,NA,4.5,cup
193,all purpose flour,7.33333333333 cups all purpose flour* plus a tablespoon or two if needed,Misc_99,NA,7.333333333,cup
194,almond extract,2.0 teaspoon almond extract,AR_43,0.828866005,2,teaspoon
195,almond extract,"0.333333333333 teaspoon almond extract, optional",Misc_18,NA,0.333333333,teaspoon
196,almond extract,"0.333333333333 teaspoon almond extract, optional",Misc_48,NA,0.333333333,teaspoon
197,almond extract,0.333333333333 teaspoon almond extract,Misc_85,NA,0.333333333,teaspoon
198,almonds,0.3333333333333333 cup chopped almonds,AR_4,0.922985077,0.333333333,cup
199,almonds,2.0 cup sliced almonds,AR_99,0.858333302,2,cup
200,applesauce,0.5 cup applesauce,AR_54,0.723741007,0.5,cup
201,baking powder,0.7384615384615385 teaspoons baking powder,AR_101,0.6,0.738461538,teaspoon
202,baking powder,1.0 teaspoon baking powder,AR_119,0.845714283,1,teaspoon
203,baking powder,0.6666666666666666 teaspoon baking powder,AR_14,0.90666666,0.666666667,teaspoon
204,baking powder,1.1428571428571428 teaspoons baking powder,AR_16,0.85882349,1.142857143,teaspoon
205,baking powder,1.3333333333333333 teaspoon baking powder,AR_169,0.873728848,1.333333333,teaspoon
206,baking powder,2.0 teaspoon baking powder,AR_256,0.870253181,2,teaspoon
207,baking powder,0.5 teaspoon baking powder,AR_26,0.9,0.5,teaspoon
208,baking powder,2.6666666666666665 teaspoons baking powder,AR_27,0.876923084,2.666666667,teaspoon
209,baking powder,0.25 teaspoon baking powder,AR_280,NA,0.25,teaspoon
210,baking powder,0.8 teaspoon baking powder,AR_32,0.830769253,0.8,teaspoon
211,baking powder,1.0 teaspoon baking powder,AR_39,0.6,1,teaspoon
212,baking powder,1.0 teaspoon baking powder,AR_4,0.922985077,1,teaspoon
213,baking powder,2.0 teaspoon baking powder,AR_47,0.7125,2,teaspoon
214,baking powder,2.0 teaspoon baking powder,AR_48,0.677777767,2,teaspoon
215,baking powder,2.0 teaspoons baking powder,AR_50,0.66500001,2,teaspoon
216,baking powder,1.0 teaspoon baking powder,AR_57,0.595505619,1,teaspoon
217,baking powder,1.0 teaspoon baking powder,AR_7,0.896335125,1,teaspoon
218,baking powder,0.8 teaspoon baking powder,AR_70,0.91003809,0.8,teaspoon
219,baking powder,0.5 teaspoon baking powder,AR_78,0.915186214,0.5,teaspoon
220,baking powder,2.0 teaspoon baking powder,AR_79,0.633333349,2,teaspoon
221,baking powder,2.0 teaspoon baking powder,AR_84,0.905737686,2,teaspoon
222,baking powder,1.6 teaspoon baking powder,AR_95,0.844067764,1.6,teaspoon
223,baking powder,1.2 teaspoon baking powder,E_21,0.75,1.2,teaspoon
224,baking powder,2.0 teaspoon baking powder,E_215,0.875,2,teaspoon
225,baking powder,1.33333333333 teaspoon baking powder,E_362,0.625,1.333333333,teaspoon
226,baking powder,0.545454545455 teaspoon baking powder,E_399,1,0.545454545,teaspoon
227,baking powder,6.0 teaspoons baking powder,Misc_1,NA,6,teaspoon
228,baking powder,4.0 teaspoons baking powder,Misc_100,NA,4,teaspoon
229,baking powder,4.0 teaspoons baking powder,Misc_109,NA,4,teaspoon
230,baking powder,0.75 teaspoon baking powder,Misc_110,NA,0.75,teaspoon
231,baking powder,1.0 teaspoon baking powder,Misc_17,NA,1,teaspoon
232,baking powder,1.5 teaspoon baking powder,Misc_19,NA,1.5,teaspoon
233,baking powder,2.0 teaspoon baking powder,Misc_20,NA,2,teaspoon
234,baking powder,2.0 teaspoon baking powder,Misc_32,NA,2,teaspoon
235,baking powder,2.25 tsp baking powder,Misc_36,NA,2.25,teaspoon
236,baking powder,"2.4 	teaspoons baking powder",Misc_49,NA,2.4,teaspoon
237,baking powder,0.571428571429 teaspoon baking powder,Misc_55,NA,0.571428571,teaspoon
238,baking powder,2.0 tsp baking powder,Misc_60,NA,2,teaspoon
239,baking powder,2.0 teaspoon baking powder,Misc_62,NA,2,teaspoon
240,baking powder,1.77777777778 teaspoon baking powder,Misc_63,NA,1.777777778,teaspoon
241,baking powder,1.6 teaspoon baking powder,Misc_7,NA,1.6,teaspoon
242,baking powder,0.666666666667 teaspoon baking powder,Misc_70,NA,0.666666667,teaspoon
243,baking powder,3.69230769231 teaspoon baking powder,Misc_71,NA,3.692307692,teaspoon
244,baking powder,1.0 tsp baking powder,Misc_73,NA,1,teaspoon
245,baking powder,1.33333333333 tsp. baking powder,Misc_74,NA,1.333333333,teaspoon
246,baking powder,2.66666666667 teaspoons baking powder,Misc_75,NA,2.666666667,teaspoon
247,baking powder,2.0 teaspoon baking powder,Misc_76,NA,2,teaspoon
248,baking powder,1.14285714286 teaspoon baking powder,Misc_77,NA,1.142857143,teaspoon
249,baking powder,0.872727272727 teaspoon baking powder,Misc_8,NA,0.872727273,teaspoon
250,baking powder,2.0 teaspoons baking powder,Misc_94,NA,2,teaspoon
251,baking soda,1.0 teaspoon baking soda,AR_1,0.920724583,1,teaspoon
252,baking soda,0.8 teaspoon baking soda,AR_10,0.905162048,0.8,teaspoon
253,baking soda,0.7384615384615385 teaspoons baking soda,AR_101,0.6,0.738461538,teaspoon
254,baking soda,1.3333333333333333 teaspoon baking soda,AR_102,0.9375,1.333333333,teaspoon
255,baking soda,0.9 teaspoons baking soda,AR_103,0.88125,0.9,teaspoon
256,baking soda,4.0 teaspoon baking soda,AR_107,0.927272701,4,teaspoon
257,baking soda,0.5714285714285714 teaspoon baking soda,AR_108,0.867741966,0.571428571,teaspoon
258,baking soda,1.3333333333333333 teaspoons baking soda,AR_109,0.871794891,1.333333333,teaspoon
259,baking soda,1.3333333333333333 teaspoon baking soda,AR_11,0.902891922,1.333333333,teaspoon
260,baking soda,1.0 teaspoon baking soda,AR_110,0.868292713,1,teaspoon
261,baking soda,1.0 teaspoon baking soda,AR_111,1,1,teaspoon
262,baking soda,0.25 teaspoon baking soda,AR_116,0.847999954,0.25,teaspoon
263,baking soda,0.8 teaspoon baking soda,AR_118,0.830769253,0.8,teaspoon
264,baking soda,1.0 teaspoon baking soda,AR_119,0.845714283,1,teaspoon
265,baking soda,1.0 teaspoon baking soda,AR_12,0.873469353,1,teaspoon
266,baking soda,2.0 teaspoon baking soda,AR_128,0.714285707,2,teaspoon
267,baking soda,2.0 teaspoon baking soda,AR_13,0.909016418,2,teaspoon
268,baking soda,0.6666666666666666 teaspoon baking soda,AR_14,0.90666666,0.666666667,teaspoon
269,baking soda,1.3333333333333333 teaspoon baking soda,AR_140,0.584615374,1.333333333,teaspoon
270,baking soda,1.3333333333333333 teaspoon baking soda,AR_141,0.784615374,1.333333333,teaspoon
271,baking soda,2.0 teaspoon baking soda,AR_142,0.671428585,2,teaspoon
272,baking soda,1.0 teaspoon baking soda,AR_144,0.442857122,1,teaspoon
273,baking soda,1.0 teaspoon baking soda,AR_15,0.924302769,1,teaspoon
274,baking soda,1.3333333333333333 teaspoons baking soda,AR_155,0.931135178,1.333333333,teaspoon
275,baking soda,2.0 teaspoon baking soda,AR_156,0.924294472,2,teaspoon
276,baking soda,1.1428571428571428 teaspoons baking soda,AR_16,0.85882349,1.142857143,teaspoon
277,baking soda,1.0 teaspoon baking soda,AR_164,0.917012405,1,teaspoon
278,baking soda,1.3333333333333333 teaspoon baking soda,AR_169,0.873728848,1.333333333,teaspoon
279,baking soda,1.3333333333333333 teaspoon baking soda,AR_19,0.880000019,1.333333333,teaspoon
280,baking soda,1.3333333333333333 teaspoon baking soda,AR_196,0.785929632,1.333333333,teaspoon
281,baking soda,2.0 teaspoon baking soda,AR_197,0.706521749,2,teaspoon
282,baking soda,1.3333333333333333 teaspoon baking soda,AR_2,0.937981987,1.333333333,teaspoon
283,baking soda,2.0 teaspoons baking soda,AR_21,0.881944466,2,teaspoon
284,baking soda,1.3333333333333333 teaspoon baking soda,AR_218,0.877419376,1.333333333,teaspoon
285,baking soda,2.0 teaspoon baking soda,AR_256,0.870253181,2,teaspoon
286,baking soda,0.5 teaspoon baking soda,AR_26,0.9,0.5,teaspoon
287,baking soda,2.0 teaspoons baking soda,AR_28,0.873333359,2,teaspoon
288,baking soda,0.75 teaspoon baking soda,AR_280,NA,0.75,teaspoon
289,baking soda,1.0 teaspoon baking soda,AR_3,0.917986774,1,teaspoon
290,baking soda,0.5 teaspoon baking soda,AR_30,0.859829044,0.5,teaspoon
291,baking soda,0.8 teaspoon baking soda,AR_32,0.830769253,0.8,teaspoon
292,baking soda,1.3333333333333333 teaspoon baking soda,AR_33,0.826666641,1.333333333,teaspoon
293,baking soda,2.0 teaspoon baking soda,AR_35,0.843636322,2,teaspoon
294,baking soda,2.6666666666666665 teaspoons baking soda,AR_37,0.8,2.666666667,teaspoon
295,baking soda,1.0 teaspoon baking soda,AR_39,0.6,1,teaspoon
296,baking soda,1.0 teaspoon baking soda,AR_4,0.922985077,1,teaspoon
297,baking soda,2.0 teaspoon baking soda,AR_43,0.828866005,2,teaspoon
298,baking soda,1.0 teaspoon baking soda,AR_45,0.821052647,1,teaspoon
299,baking soda,1.3333333333333333 teaspoon baking soda,AR_49,0.592592573,1.333333333,teaspoon
300,baking soda,1.0 teaspoon baking soda,AR_5,0.937341785,1,teaspoon
301,baking soda,2.0 teaspoons baking soda,AR_50,0.66500001,2,teaspoon
302,baking soda,2.0 teaspoon baking soda,AR_53,0.692473125,2,teaspoon
303,baking soda,1.0 teaspoon baking soda,AR_54,0.723741007,1,teaspoon
304,baking soda,2.0 teaspoon baking soda,AR_55,0.385714293,2,teaspoon
305,baking soda,1.0 teaspoon baking soda,AR_57,0.595505619,1,teaspoon
306,baking soda,2.0 teaspoon baking soda,AR_66,0.902002907,2,teaspoon
307,baking soda,1.5 teaspoon baking soda,AR_67,0.939130402,1.5,teaspoon
308,baking soda,1.5 teaspoon baking soda,AR_69,0.920792103,1.5,teaspoon
309,baking soda,0.6666666666666666 teaspoon baking soda,AR_7,0.896335125,0.666666667,teaspoon
310,baking soda,0.8 teaspoon baking soda,AR_70,0.91003809,0.8,teaspoon
311,baking soda,1.0 teaspoon baking soda,AR_78,0.915186214,1,teaspoon
312,baking soda,2.0 teaspoon baking soda,AR_8,0.942446041,2,teaspoon
313,baking soda,2.0 teaspoon baking soda,AR_84,0.905737686,2,teaspoon
314,baking soda,1.0 teaspoon baking soda,AR_88,0.955555534,1,teaspoon
315,baking soda,0.8 teaspoon baking soda,AR_89,0.909890079,0.8,teaspoon
316,baking soda,2.0 teaspoon baking soda,AR_90,0.902608681,2,teaspoon
317,baking soda,2.0 teaspoon baking soda,AR_91,0.928301907,2,teaspoon
318,baking soda,1.6 teaspoon baking soda,AR_95,0.844067764,1.6,teaspoon
319,baking soda,1.3333333333333333 teaspoon baking soda,AR_96,0.818181801,1.333333333,teaspoon
320,baking soda,0.8 teaspoon baking soda,AR_97,0.933333302,0.8,teaspoon
321,baking soda,0.04 cup baking soda,AR_98,0.90666666,1.920003072,teaspoon
322,baking soda,0.5 teaspoon baking soda,E_133,0.75,0.5,teaspoon
323,baking soda,0.0888888888889 teaspoon baking soda,E_146,0.5,0.088888889,teaspoon
324,baking soda,1.0 teaspoons baking soda,E_197,0.875,1,teaspoon
325,baking soda,0.5 teaspoon baking soda,E_215,0.875,0.5,teaspoon
326,baking soda,1.33333333333 teaspoon baking soda,E_220,0.75,1.333333333,teaspoon
327,baking soda,2.57142857143 teaspoons baking soda,E_230,0.875,2.571428571,teaspoon
328,baking soda,2.0 teaspoon baking soda,E_258,0.75,2,teaspoon
329,baking soda,2.4 teaspoon baking soda,E_26,0.875,2.4,teaspoon
330,baking soda,0.333333333333 teaspoon baking soda,E_362,0.625,0.333333333,teaspoon
331,baking soda,1.14285714286 teaspoon baking soda,E_375,0.75,1.142857143,teaspoon
332,baking soda,0.545454545455 teaspoon baking soda,E_399,1,0.545454545,teaspoon
333,baking soda,0.16 teaspoon baking soda,E_509,0.75,0.16,teaspoon
