"artist","name","song","person","sentence","year","highestRank"
"Drake","Will","8 Out Of 10",TRUE,"Helipad from Will Smith crib straight to the stage","2018","21"
"Post Malone","Bentley","92 Explorer",FALSE,"Used to mock him, now his cars some Bentley mock-ups","2018","40"
"Post Malone","London","92 Explorer",TRUE,"We got London On Da Track","2018","40"
"Post Malone","Roseanne","92 Explorer",TRUE,"Bought the bar, Roseanne","2018","40"
"French Montana Featuring The Weeknd & Max B","Karl","A Lie",TRUE,"Me and Max hit the block like Karl Malone, Stockton","2017","75"
"French Montana Featuring The Weeknd & Max B","Max","A Lie",TRUE,"Me and Max hit the block like Karl Malone, Stockton","2017","75"
"French Montana Featuring The Weeknd & Max B","Montana","A Lie",TRUE,"Montana, Montana, ow","2017","75"
"21 Savage","Cole","A Lot",TRUE,"Cole on a mission","2019","12"
"21 Savage","Dennis","A Lot",TRUE,"Dennis Smith Jr., stay solid, my nigga","2019","12"
"City Girls","Ford","Act Up",TRUE,"Ford","2019","43"
"City Girls","Tom","Act Up",TRUE,"He'll curse a nigga rockin' Tom","2019","43"
"Drake Featuring Static Major & Ty Dolla $ign","Al","After Dark",TRUE,"It's Al Wood and you are safe, soft, and warm","2018","41"
"Drake Featuring Static Major & Ty Dolla $ign","Jill","After Dark",TRUE,"My Funny Valentine, Jill Scott","2018","41"
"Drake Featuring Static Major & Ty Dolla $ign","Luther","After Dark",TRUE,"the selected music of Mr Luther Van Dross","2018","41"
"Drake Featuring Static Major & Ty Dolla $ign","Scott","After Dark",TRUE,"My Funny Valentine, Jill Scott","2018","41"
"J. Cole","Billy","Album Of The Year (Freestyle)",TRUE,"Now we push pills and sell heroin to Billy","2018","87"
"J. Cole","Dallas","Album Of The Year (Freestyle)",FALSE,"Shout out Oak Cliff, I'm 'bout to fly to Dallas","2018","87"
"J. Cole","Mark","Album Of The Year (Freestyle)",TRUE,"What up, Mark Cuban?","2018","87"
"Future & Young Thug","Barry","All Da Smoke",TRUE,"I got Barry Bonds on my wrist","2017","77"
"Future & Young Thug","Bentley","All Da Smoke",FALSE,"300 racks on a Bentley truck, yeah yeah","2017","77"
"Future & Young Thug","Chanel","All Da Smoke",FALSE,"I got pom-poms in my rear, Chanel CoCo in my kill","2017","77"
"Juice WRLD","Carlo","All Girls Are The Same",FALSE,"Wake up the next day in the Monte Carlo","2018","41"
"Juice WRLD","John","All Girls Are The Same",TRUE,"I'm a jealous boy, really feel like John Lennon","2018","41"
"Juice WRLD","Monte","All Girls Are The Same",FALSE,"Wake up the next day in the Monte Carlo","2018","41"
"Kanye West","Christian","All Mine",FALSE,"All these thots on Christian Mingle","2018","11"
"Kanye West","Corey","All Mine",TRUE,"I call that taking Corey Gambles","2018","11"
"Kanye West","Kerry","All Mine",TRUE,"If I pull up with a Kerry Washington","2018","11"
"Kanye West","Kobe","All Mine",TRUE,"If you don't ball like him or Kobe","2018","11"
"Kanye West","Naomi","All Mine",TRUE,"I could have Naomi Campbell","2018","11"
"Kanye West","Stormy","All Mine",TRUE,"And still might want me a Stormy Daniels","2018","11"
"Kanye West","Tristan","All Mine",TRUE,"Almost what got Tristan single","2018","11"
"21 Savage","Bentley","All My Friends",FALSE,"I lost all my friends countin' bands in the Bentley coupe","2019","67"
"Devin Dawson","Baby","All On Me",TRUE,"Baby put it all on me","2017","52"
"Billie Eilish","Peter","All The Good Girls Go To Hell",TRUE,"Peter's on vacation, an open invitation","2019","46"
"Halsey Featuring Big Sean & Stefflon Don","Baby","Alone",TRUE,"Baby, as soon as you meet me","2018","100"
"Halsey Featuring Big Sean & Stefflon Don","Cali","Alone",FALSE,"I got a new place in Cali","2018","100"
"Halsey Featuring Big Sean & Stefflon Don","Paris","Alone",FALSE,"I stayed a night out in Paris","2018","100"
"Lady Gaga","Baby","Always Remember Us This Way",TRUE,"Baby, it hurts","2018","100"
"Young Thug Featuring Nicki Minaj","Chanel","Anybody",FALSE,"Lady Chanel for the luggage","2018","89"
"XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee","Chanel","Arms Around You",FALSE,"Y conmingo estàs vestida de Chanel","2018","28"
"XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee","Mercedes","Arms Around You",FALSE,"Pull out the Rollie in a Mercedes","2018","28"
"21 Savage","Becky","ASMR",TRUE,"I still call her Becky","2019","95"
"21 Savage","Chanel","ASMR",FALSE,"She don't get no new Chanel, she gon' throw a fit","2019","95"
"21 Savage","Richard","ASMR",TRUE,"Richard Mille cost so much I could push","2019","95"
"Future & Juice WRLD","Al","Astronauts",TRUE,"I be with my Chi town brothers, Al Capone","2018","82"
"Future & Juice WRLD","Chanel","Astronauts",FALSE,"Blow my head off she deserve Chanel coco","2018","82"
"Future & Juice WRLD","Emilio","Astronauts",TRUE,"Emilio Pucci, not regular fly","2018","82"
"Future & Juice WRLD","Louis","Astronauts",FALSE,"Louis Vuitton bandana, too many shopping bags","2018","82"
"Future & Juice WRLD","Richard","Astronauts",TRUE,"Richard Mille or the Rollie it don't tick tock","2018","82"
"Future & Juice WRLD","Riley","Astronauts",TRUE,"I grew up a bad kid, 'coulda been Riley on the Boondocks","2018","82"
"Future & Juice WRLD","Susie","Astronauts",TRUE,"White bitch nerdy, her name Susie, uh","2018","82"
"J. Cole","Cole","ATM",TRUE,"Now Cole, he important","2018","42"
"J. Cole","Martin","ATM",TRUE,"My niggas beside me like Tommy and Martin","2018","42"
"J. Cole","Tommy","ATM",TRUE,"My niggas beside me like Tommy and Martin","2018","42"
"Migos","Barry","Auto Pilot",TRUE,"Birds singing like Barry","2018","85"
"Migos","Mary","Auto Pilot",TRUE,"Skeletons singing like Mary","2018","85"
"Migos","Nick","Auto Pilot",TRUE,"Chopper ring, drumline, Nick Cannon","2018","85"
"Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals","Baby","Back To You",TRUE,"Baby, here we go again","2017","40"
"Halsey","London","Bad At Love",FALSE,"London girl with an attitude","2017","5"
"Selena Gomez","Troy","Bad Liar",FALSE,"But just like the battle of Troy","2017","20"
"Post Malone Featuring Nicki Minaj","Baby","Ball For Me",TRUE,"Baby, gonna take the charge and take the fall for me","2018","16"
"Post Malone Featuring Nicki Minaj","James","Ball For Me",TRUE,"Got 'em lookin' like James Harden at the awards","2018","16"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bobby","Bam",TRUE,"I'll Bobby Shmurda anybody you heard of","2017","47"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Emory","Bam",TRUE,"Emory passed you niggas and he did a bid","2017","47"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Shawn","Bam",TRUE,"Fuck all this pretty Shawn Carter shit nigga, HOV","2017","47"
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Ty","Bam",TRUE,"Ty","2017","47"
"21 Savage","Bentley","Bank Account",FALSE,"Rari matte black and I got a Bentley with me","2017","12"
"21 Savage","Harley","Bank Account",FALSE,"I pull up in 'rari's and shit, with choppers and Harley's and shit","2017","12"
"21 Savage","Marcus","Bank Account",FALSE,"Walk in Neiman Marcus and I spend a light fifty","2017","12"
"21 Savage","Max","Bank Account",TRUE,"Bitch, I'm Mad Max, you know I got Ziggy with me","2017","12"
"21 Savage","Reggie","Bank Account",TRUE,"I shoot like Reggie Mill', dog","2017","12"
"Nicki Minaj","Dave","Barbie Dreams",TRUE,"A hand full of Weezy, sprinkle of Dave East","2018","18"
"Nicki Minaj","Ed","Barbie Dreams",TRUE,"I remember when I used to have a crush on Special Ed","2018","18"
"Nicki Minaj","Kim","Barbie Dreams",TRUE,"Curved him and went the Kim and Kanye way","2018","18"
"Nicki Minaj","Mike","Barbie Dreams",TRUE,"Like Mike Tyson, he was biting my shit","2018","18"
"Nicki Minaj","Odell","Barbie Dreams",TRUE,"And I would've had Odell Beckham banging the cake","2018","18"
"Nicki Minaj","Rick","Barbie Dreams",TRUE,"Shoutout to my Jews, l'chaim, Rick Rubin","2018","18"
"Nicki Minaj","Ruben","Barbie Dreams",TRUE,"No I ain't Studdard and no I ain't Ruben","2018","18"
"Nicki Minaj","Scottie","Barbie Dreams",TRUE,"I'ma do that nigga Future dirty, word to Scottie","2018","18"
"Nicki Minaj","Stefan","Barbie Dreams",TRUE,"I turn Stefan into Urkel","2018","18"
"Nicki Minaj","Tyson","Barbie Dreams",TRUE,"Like Mike Tyson, he was biting my shit","2018","18"
"Nicki Minaj","Drake","Barbie Tingz",TRUE,"That's Lil Weezy, the Barbie and Drizzy Drake","2018","25"
"Nicki Minaj","Guy","Barbie Tingz",TRUE,"Ritchie like Guy and I still eat Thai","2018","25"
"Nicki Minaj","Jay","Barbie Tingz",TRUE,"I spoke to Jay the other day, he's still the kingpin","2018","25"
"Nicki Minaj","Nicki","Barbie Tingz",TRUE,"Want the Nicki cheat code?","2018","25"
"Nicki Minaj","Wayne","Barbie Tingz",TRUE,"If I ain't sign to Wayne's perfectly designed crew","2018","25"
"Cardi B Featuring 21 Savage","Bentley","Bartier Cardi",FALSE,"Bentley truck lane to lane","2018","14"
"Cardi B Featuring 21 Savage","Molly","Bartier Cardi",FALSE,"Put that bitch on Molly","2018","14"
"Migos Featuring 21 Savage","Houston","BBO (Bad Bitches Only)",FALSE,"Houston Texas, no who trilla?","2018","48"
"Migos Featuring 21 Savage","Quincy","BBO (Bad Bitches Only)",TRUE,"All these Jones soldier fuck it they call me Quincy","2018","48"
"Migos Featuring 21 Savage","Reggie","BBO (Bad Bitches Only)",TRUE,"Reggie Miller shoot 'em bill up","2018","48"
"Cardi B","Keisha","Be Careful",TRUE,"But we more like Belly; Tommy and Keisha shit","2018","11"
"Cardi B","Tommy","Be Careful",TRUE,"But we more like Belly; Tommy and Keisha shit","2018","11"
"Lil Pump Featuring Lil Wayne","Billie Jean","Be Like Me",TRUE,"But the kid is not my son, shout out Billie Jean","2019","72"
"Lil Pump Featuring Lil Wayne","Dwayne","Be Like Me",TRUE,"Mr. Dwayne Carter, only got one ID, yerr","2019","72"
"Lil Pump Featuring Lil Wayne","Kim","Be Like Me",TRUE,"Everybody wanna go and smash Kim K","2019","72"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Bentley","Beast Mode",FALSE,"I gotta keep a pistol in my Bentley coupe, yeah","2017","86"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Louis","Beast Mode",FALSE,"I mix the Louis and Supreme that's limited edition","2017","86"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Mike","Beast Mode",TRUE,"Those is Mike Amiri jeans though","2017","86"
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Rico","Beast Mode",FALSE,"Yeah, bad little bitch, yeah she came from Puerto Rico","2017","86"
"Bazzi Featuring Camila Cabello","Baby","Beautiful",TRUE,"Baby come a little closer let me taste it","2018","26"
"6ix9ine Featuring Anuel AA","Baby","BEBE",TRUE,"Baby, con ra-ta-ta-ta-ta","2018","30"
"6ix9ine Featuring Anuel AA","Ella","BEBE",FALSE,"Ella se pone pornográfica en la intimidad","2018","30"
"Jacquees","Billie Jean","B.E.D.",TRUE,"Know she think I'm Michael Jackson, Billie Jean moon walk","2017","69"
"Jacquees","Michael","B.E.D.",TRUE,"Know she think I'm Michael Jackson, Billie Jean moon walk","2017","69"
"Nicki Minaj Featuring Ariana Grande","Carter","Bed",TRUE,"I got Carter III on repeat","2018","42"
"Liam Payne","Baby","Bedroom Floor",TRUE,"Baby","2017","98"
"Eminem","America","Believe",FALSE,"Point it towards corporate America","2018","92"
"Eminem","Bruce","Believe",TRUE,"To go through and deal with that Bruce Willis","2018","92"
"Romeo Santos Featuring Nicky Jam & Daddy Yankee","Nicky","Bella y Sensual",TRUE,"Nicky, Nicky, Nicky Jam","2017","95"
"Romeo Santos Featuring Nicky Jam & Daddy Yankee","Romeo","Bella y Sensual",TRUE,"Romeo te habla bonito y","2017","95"
"Lil Baby & Gunna","Jordan","Belly",TRUE,"How foreign my tint is, I still rock the Jordan","2018","80"
"Lil Baby & Gunna","Keisha","Belly",TRUE,"I got a bitch like Keisha off of Belly","2018","80"
"Cardi B Featuring Chance The Rapper","Andre","Best Life",TRUE,"Police, no Andre, G like 'Venchy","2018","100"
"Cardi B Featuring Chance The Rapper","Dante","Best Life",TRUE,"Now they hold cash, won't peak like Dante","2018","100"
"Cardi B Featuring Chance The Rapper","Jamie","Best Life",TRUE,"Skrrt skrrt, Jamie Foxx in your town, like","2018","100"
"Cardi B Featuring Chance The Rapper","Jerry","Best Life",TRUE,"Nigga, you a pussy and a rat, you like Tom & Jerry","2018","100"
"Cardi B Featuring Chance The Rapper","Tom","Best Life",TRUE,"Nigga, you a pussy and a rat, you like Tom & Jerry","2018","100"
"Post Malone","Jonas","Better Now",TRUE,"With my brothers like it's Jonas, Jonas","2018","10"
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj","Bentley","Big Bank",FALSE,"I can buy a Bentley, don't talk to me","2018","16"
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj","Chanel","Big Bank",FALSE,"Yes I cop mad Chanel and mad Given'","2018","16"
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj","Colin","Big Bank",TRUE,"I'm more Colin Kaepernick","2018","16"
"Kendrick Lamar & Travis Scott","Kenny","Big Shot",TRUE,"Kenny","2018","71"
"Kendrick Lamar & Travis Scott","Moses","Big Shot",TRUE,"Runnin' through these waves, like I'm Moses, out the booth","2018","71"
"Kendrick Lamar & Travis Scott","Steve","Big Shot",TRUE,"Forget your name like I'm Steve","2018","71"
"Quavo","Bill","Biggest Alley Oop",TRUE,"Thinkin' about wrappin' a Benz yellow, Kill Bill","2018","86"
"Quavo","Billy","Biggest Alley Oop",TRUE,"Thinkin' 'bout gettin' a big Billy","2018","86"
"Quavo","Jay","Biggest Alley Oop",TRUE,"It's bigger than Jay","2018","86"
"Quavo","Shaquille","Biggest Alley Oop",TRUE,"And callin' it Shaquille O'Neal","2018","86"
"Nicki Minaj X Mike WiLL Made-It","Christian","Black Barbies",FALSE,"Usually I'm a Christian but this peace is Buddhist","2017","97"
"Nicki Minaj X Mike WiLL Made-It","Donald","Black Barbies",TRUE,"Island girl, Donald Trump want me go home","2017","97"
"Nicki Minaj X Mike WiLL Made-It","Joan","Black Barbies",TRUE,"You gon' be floatin' in dem rivers like you know Joan","2017","97"
"Nicki Minaj X Mike WiLL Made-It","Mike","Black Barbies",TRUE,"Mike Will Made","2017","97"
"Nicki Minaj X Mike WiLL Made-It","Peter","Black Barbies",TRUE,"Peter piper picked a pepper","2017","97"
"Nicki Minaj X Mike WiLL Made-It","Will","Black Barbies",TRUE,"Mike Will Made","2017","97"
"Kendrick Lamar","Kendrick","Black Panther",TRUE,"King's vision, Black Panther, King Kendrick, all hail the king!","2018","91"
"Kendrick Lamar","King","Black Panther",TRUE,"King's vision, Black Panther, King Kendrick, all hail the king!","2018","91"
"Logic Featuring Damian Lemar Hudson","Christian","Black SpiderMan",FALSE,"I don't wanna be a Christian, Muslim, gay, straight, or bi, see you later, bye","2017","87"
"Logic Featuring Damian Lemar Hudson","Felicia","Black SpiderMan",TRUE,"I'm biracial so bye Felicia","2017","87"
"Logic Featuring Damian Lemar Hudson","Jesus","Black SpiderMan",TRUE,"Jesus, Black Jesus","2017","87"
"Logic Featuring Damian Lemar Hudson","Keisha","Black SpiderMan",TRUE,"I'm just as black as my cousin Keisha","2017","87"
"Logic Featuring Damian Lemar Hudson","Mona Lisa","Black SpiderMan",TRUE,"I'm just as white as that Mona Lisa","2017","87"
"Logic Featuring Damian Lemar Hudson","Martin","Black SpiderMan",TRUE,"Nigga, that's Martin!","2017","87"
"Drake","Virginia","Blem",TRUE,"This Virginia done me off already","2017","38"
"Drake","Mario","Blue Tint",TRUE,"Mario!","2018","30"
"Cardi B","Mona","Bodak Yellow (Money Moves)",TRUE,"Another check from Mona Scott","2017","1"
"Katy Perry Featuring Migos","Katy","Bon Appetit",TRUE,"Katy Perry, Migos, ay","2017","59"
"Katy Perry Featuring Migos","Kobe","Bon Appetit",TRUE,"A Kobe flown in","2017","59"
"Blac Youngsta","Mike","Booty",TRUE,"Mike","2018","73"
"Blac Youngsta","Tyson","Booty",TRUE,"Tyson on the booty","2018","73"
"J. Cole","Jerome","Brackets",TRUE,"Jerome Lewis didn't make that much money","2018","30"
"J. Cole","Sam","Brackets",TRUE,"Uncle Sam and shit","2018","30"
"21 Savage","Daisy","Break Da Law",TRUE,"Ride me slow like you drivin' Miss Daisy","2019","70"
"21 Savage","Keisha","Break Da Law",TRUE,"Need me a Keisha like Belly","2019","70"
"Chris Stapleton","Jesus","Broken Halos",TRUE,"Don't go asking Jesus why","2017","45"
"lovelytheband","Brooklyn","Broken",FALSE,"Some trust fund baby's Brooklyn loft","2018","29"
"Dierks Bentley Featuring Brothers Osborne","Joshua","Burning Man",FALSE,"Find myself in the Joshua Trees","2018","100"
"Lil Baby & Gunna","Marlo","Business Is Business",TRUE,"I stay with that .9, they should call me Marlo","2018","61"
"Lil Baby & Gunna","Mercedes","Business Is Business",FALSE,"Puttin' Ms in all the Mercedes","2018","61"
"Travis Scott","Santana","Butterfly Effect",TRUE,"Never go, never go dip on the set, stayed Santana","2017","50"
"Future","Curtis","Call The Coroner",TRUE,"Now I got power, I feel like Curtis","2019","100"
"Future","Goldie","Call The Coroner",TRUE,"Super like Goldie Mack, ho caught an asthma attack","2019","100"
"Post Malone","Michael","Candy Paint",TRUE,"God damn I love paper, like I'm Michael Scott","2017","34"
"Post Malone","Tony","Candy Paint",TRUE,"Baby I'm the boss like I'm Tony Danza","2017","34"
"Lil Wayne","Ricky","Can't Be Broken",TRUE,"I'm smoking icky and watching Ricky Lake","2018","17"
"Drake","America","Can't Have Everything",FALSE,"All that's in my account at the Bank of America","2017","82"
"Drake","Drake","Can't Have Everything",TRUE,"All that Drake hysteria","2017","82"
"Drake","Russ","Can't Have Everything",TRUE,"Damn, oh, triple double, Russ face","2017","82"
"21 Savage","Baby","Can't Leave Without It",TRUE,"I'm with 'Set and Lil Baby","2019","58"
"Amine","Baby","Caroline",TRUE,"Baby give me kitty kitty","2017","11"
"Amine","Caroline","Caroline",TRUE,"Caroline, you divine","2017","11"
"Amine","Meagan","Caroline",TRUE,"One of them Beyoncé, Meagan Good types, man","2017","11"
"JAY-Z Featuring Frank Ocean","Lisa","Caught Their Eyes",TRUE,"Nigga with that Lisa","2017","63"
"JAY-Z Featuring Frank Ocean","Paris","Caught Their Eyes",FALSE,"I've been to Paris at least two times","2017","63"
"JAY-Z Featuring Frank Ocean","Prince","Caught Their Eyes",TRUE,"I sat down with Prince, eye to eye","2017","63"
"Migos Featuring Gucci Mane","Chanel","CC",FALSE,"Chanel like CC","2018","96"
"Migos Featuring Gucci Mane","Emerald","CC",FALSE,"Put Emerald sets in my links","2018","96"
"Migos Featuring Gucci Mane","Jane","CC",TRUE,"Plain Jane rollin' with the bust AP","2018","96"
"Meek Mill","Christian","Championships",FALSE,"We went Old Navy it felt like Christian Dior","2018","70"
"Meek Mill","Max","Championships",FALSE,"He had on Air Max 93s but was","2018","70"
"Young Thug Featuring Gunna & Lil Baby","Bentley","Chanel (Go Get It)",FALSE,"Bentley sedan, she get it","2018","78"
"Young Thug Featuring Gunna & Lil Baby","Chanel","Chanel (Go Get It)",FALSE,"She want Chanel, go get it","2018","78"
"Young Thug Featuring Gunna & Lil Baby","Louis","Chanel (Go Get It)",FALSE,"She want this Louis, go get it","2018","78"
"Young Thug Featuring Gunna & Lil Baby","Marc","Chanel (Go Get It)",TRUE,"Got Marc Jacob's, they cover my eyes","2018","78"
"Frank Ocean","Chanel","Chanel",FALSE,"I see both sides like Chanel","2017","72"
"Frank Ocean","Mike","Chanel",TRUE,"Clips on clips like Mike","2017","72"
"Kevin Gates","Jane","Change Lanes",TRUE,"Plain Jane, I done changed lanes, Plain Jane I done changed lanes","2018","68"
"Kevin Gates","Royce","Change Lanes",FALSE,"Goin' hard Rolls Royce, R&R","2018","68"
"Darlene Love","Baby","Christmas (Baby Please Come Home)",TRUE,"Baby, please come home","2018","43"
"Nicki Minaj","Lara","Chun-Li",TRUE,"Ayo, I been off, Lara been Croft","2018","10"
"Nicki Minaj","Mai","Chun-Li",FALSE,"I need a Mai Tai, so fuckin' sci-fi","2018","10"
"Nicki Minaj","Nicki","Chun-Li",TRUE,"He keep on dialin' Nicki like the Prince song","2018","10"
"Nicki Minaj","Prince","Chun-Li",TRUE,"He keep on dialin' Nicki like the Prince song","2018","10"
"Rae Sremmurd & Travis Scott","Mike","Close",TRUE,"Mike WiLL Made-It","2018","98"
"Offset Featuring Cardi B","Brandy","Clout",TRUE,"Bitches is Brandy, they wanna be down","2019","64"
"Offset Featuring Cardi B","Elvis","Clout",TRUE,"Oh, I took the crown off the king like Mike did Elvis","2019","64"
"Offset Featuring Cardi B","Jason","Clout",TRUE,"Mask on her face, Jason","2019","64"
"Offset Featuring Cardi B","Kim","Clout",TRUE,"My bitch on your ass, Kim K","2019","64"
"Offset Featuring Cardi B","Mike","Clout",TRUE,"Oh, I took the crown off the king like Mike did Elvis","2019","64"
"Kodak Black Featuring Lil Wayne","Christian","Codeine Dreaming",FALSE,"I'm moonwalking but my Christian Loubotin's bleeding","2017","52"
"Kodak Black Featuring Lil Wayne","Jackson","Codeine Dreaming",FALSE,"Bout to leave these peons behind like the Jackson 4","2017","52"
"Kodak Black Featuring Lil Wayne","Jimmy","Codeine Dreaming",TRUE,"I'm feeling Jimmy Neutron, how I blast off on a verse","2017","52"
"Kodak Black Featuring Lil Wayne","Venus","Codeine Dreaming",FALSE,"I might take off on you peons and go away to Venus","2017","52"
"Logic","Cole","Confessions Of A Dangerous Mind",TRUE,"\You'll never be better than Drizzy or Cole\""""","2019","78"
"Logic","Kenny","Confessions Of A Dangerous Mind",TRUE,"\'Cause you'll never be Kenny\""""","2019","78"
"Kodak Black Featuring Future","Baby","Conscience",TRUE,"Yeah, Project Baby","2017","93"
"Kodak Black Featuring Future","Bentley","Conscience",FALSE,"Before I had that Bentley truck, I was saucing","2017","93"
"Kodak Black Featuring Future","Chanel","Conscience",FALSE,"I kick lil' dumbass out my crib, say she want Chanel","2017","93"
"Kodak Black Featuring Future","Chase","Conscience",FALSE,"I'm credit card swipin' at the Chase Bank","2017","93"
"Kodak Black Featuring Future","Chris","Conscience",TRUE,"Chris Johnson, I swear for God I drop the twenty-eight","2017","93"
"Kodak Black Featuring Future","James","Conscience",TRUE,"Thirteen strippers, James Harden","2017","93"
"Kodak Black Featuring Future","Jane","Conscience",TRUE,"Real talk, 150 when it's plain Jane","2017","93"
"Kodak Black Featuring Future","Johnson","Conscience",TRUE,"Chris Johnson, I swear for God I drop the twenty-eight","2017","93"
"Kodak Black Featuring Future","Levi","Conscience",TRUE,"I know my Levi got love for me","2017","93"
"Kodak Black Featuring Future","Stephen","Conscience",TRUE,"Thirty golds in my mouth like I'm Stephen Curry","2017","93"
"Logic","Bobby","Contra",TRUE,"Bobby, tell me who really 'bout it","2018","60"
"Katy Perry","Chanel","Cozy Little Christmas",FALSE,"Well, can I keep that Chanel?","2018","53"
"Katy Perry","Tiffany","Cozy Little Christmas",FALSE,"Take back all the Cartier, and the Tiffany's and the Chanel","2018","53"
"GoldLink Featuring Brent Faiyaz & Shy Glizzy","Ray","Crew",TRUE,"Girl, you can't tie me down like Ray J said","2017","45"
"Natti Natasha x Ozuna","Baby","Criminal",TRUE,"Baby muy criminal, criminal, uh criminal ahh","2017","95"
