"name","college","link","smallMult","rank","draft_year","draft_rd","draft_pk","recruit_year","avgRank","top","highSchool","coll","draft","rookie","valid_seasons","allstar","bad","good","great","highest"
"Corey Maggette","Duke University","/players/m/maggeco01.html",1,16,1999,1,13,1998,76.7,1,1,1,1,1,8,,,1,,"good"
"Corey Hightower","Indian Hills Community College","",0,18,,,,1998,,1,1,0,,,,,,,,"college"
"Keyon Dooling","University of Missouri","/players/d/doolike01.html",0,19,2000,1,10,1998,151.75,1,1,1,1,1,2,,1,,,"bad"
"Teddy Dupay","University of Florida","https://www.sports-reference.com/cbb/players/teddy-dupay-1.html",1,20,,,,1998,,1,1,0,,,,,,,,"college"
"Frank Williams","University of Illinois at Urbana-Champaign","/players/w/willifr02.html",0,21,2002,1,25,1998,,1,1,1,1,1,0,,1,,,"bad"
"Kris Lang","University of North Carolina","https://www.sports-reference.com/cbb/players/kris-lang-1.html",1,22,,,,1998,,1,1,0,,,,,,,,"college"
"Anthony Glover","St. John's University","https://www.sports-reference.com/cbb/players/anthony-glover-1.html",0,23,,,,1998,,1,1,0,,,,,,,,"college"
"Lance Williams","DePaul University","https://www.sports-reference.com/cbb/players/lance-williams-1.html",0,24,,,,1998,,1,1,0,,,,,,,,"college"
"Adam Harrington","Auburn University","/players/h/harriad01.html",0,25,,,,1998,,1,1,0,,,0,,,,,"college"
"Bobby Simmons","DePaul University","/players/s/simmobo01.html",0,26,2001,2,42,1998,93.25,1,1,1,1,1,4,,,1,,"good"
"Dan Miller","University of Notre Dame","https://www.sports-reference.com/cbb/players/dan-miller-1.html",0,27,,,,1998,,1,1,0,,,,,,,,"college"
"Lloyd Price","Xavier University","https://www.sports-reference.com/cbb/players/lloyd-price-1.html",0,28,,,,1998,,1,1,0,,,,,,,,"college"
"Michael Wright","University of Arizona","https://www.sports-reference.com/cbb/players/michael-wright-1.html",1,29,2001,,,1998,,1,1,1,0,,,,,,,"draft"
"Erick Barkley","St. John's University","/players/b/barkler01.html",0,29,2000,1,28,1998,,1,1,1,1,1,0,,1,,,"bad"
"Jules Camara","University of Kentucky","https://www.sports-reference.com/cbb/players/jules-camara-1.html",1,31,,,,1998,,1,1,0,,,,,,,,"college"
"Antonio Latimer","","",0,32,,,,1998,,1,0,,,,,,,,,"highSchool"
"Robert Jackson","Marquette University","https://www.sports-reference.com/cbb/players/robert-jackson-1.html",0,33,,,,1998,,1,1,0,,,,,,,,"college"
"Richard Jefferson","University of Arizona","/players/j/jefferi01.html",1,33,2001,1,13,1998,40.2,1,1,1,1,1,12,,,,1,"great"
"B.B. Waldon","University of South Florida","https://www.sports-reference.com/cbb/players/bb-waldon-1.html",0,35,,,,1998,,1,1,0,,,,,,,,"college"
"Doug Wrenn","University of Washington","https://www.sports-reference.com/cbb/players/doug-wrenn-1.html",0,36,,,,1998,,1,1,0,,,,,,,,"college"
"Ronald Blackshear","Marshall University","https://www.sports-reference.com/cbb/players/ronald-blackshear-1.html",0,37,,,,1998,,1,1,0,,,,,,,,"college"
"Rasual Butler","La Salle University","/players/b/butlera01.html",0,37,2002,2,53,1998,146.3,1,1,1,1,1,6,,1,,,"bad"
"Tony Bland","San Diego State University","https://www.sports-reference.com/cbb/players/tony-bland-1.html",0,39,,,,1998,,1,1,0,,,,,,,,"college"
"Jeff Boschee","University of Kansas","https://www.sports-reference.com/cbb/players/jeff-boschee-1.html",1,40,,,,1998,,1,1,0,,,,,,,,"college"
"Travis Robinson","Jacksonville University","https://www.sports-reference.com/cbb/players/travis-robinson-1.html",0,41,,,,1998,,1,1,0,,,,,,,,"college"
"Tony Kitchings","University of South Carolina","https://www.sports-reference.com/cbb/players/tony-kitchings-1.html",0,42,,,,1998,,1,1,0,,,,,,,,"college"
"Ruben Douglas","University of New Mexico","https://www.sports-reference.com/cbb/players/ruben-douglas-1.html",0,43,,,,1998,,1,1,0,,,,,,,,"college"
"Paris London","Arkansas State University","https://www.sports-reference.com/cbb/players/paris-london-1.html",0,43,,,,1998,,1,1,0,,,,,,,,"college"
"Joey Range","University of Iowa","https://www.sports-reference.com/cbb/players/joey-range-1.html",0,45,,,,1998,,1,1,0,,,,,,,,"college"
"Fred Primus","East Carolina University","https://www.sports-reference.com/cbb/players/fred-primus-1.html",0,46,,,,1998,,1,1,0,,,,,,,,"college"
"Troy Murphy","University of Notre Dame","/players/m/murphtr01.html",0,46,2001,1,14,1998,85.9,1,1,1,1,1,7,,,1,,"good"
"Jose Winston","University of Colorado","https://www.sports-reference.com/cbb/players/jose-winston-1.html",0,48,,,,1998,,1,1,0,,,,,,,,"college"
"Sam Clancy","University of Southern California","https://www.sports-reference.com/cbb/players/sam-clancy-1.html",1,49,2002,,,1998,,1,1,1,0,,,,,,,"draft"
"Brandon Dean","University of Arkansas","https://www.sports-reference.com/cbb/players/brandon-dean-1.html",0,50,,,,1998,,1,1,0,,,,,,,,"college"
"Eugene Land","University of Cincinnati","https://www.sports-reference.com/cbb/players/eugene-land-1.html",0,51,,,,1998,,1,1,0,,,,,,,,"college"
"Chris Richardson","University of Nevada, Las Vegas","https://www.sports-reference.com/cbb/players/chris-richardson-1.html",0,52,,,,1998,,1,1,0,,,,,,,,"college"
"Ladarius Halton","University of Florida","https://www.sports-reference.com/cbb/players/ladarius-halton-1.html",1,53,,,,1998,,1,1,0,,,,,,,,"college"
"Matt Barnes","University of California, Los Angeles","/players/b/barnema02.html",1,54,2002,2,46,1998,,1,1,1,1,1,0,,1,,,"bad"
"Fred Jones","University of Oregon","/players/j/jonesfr01.html",0,54,2002,1,14,1998,137.375,1,1,1,1,1,4,,1,,,"bad"
"Tony Akins","Georgia Institute of Technology","https://www.sports-reference.com/cbb/players/tony-akins-1.html",1,56,,,,1998,,1,1,0,,,,,,,,"college"
"Broderick Hicks","Wake Forest University","https://www.sports-reference.com/cbb/players/broderick-hicks-1.html",0,57,,,,1998,,1,1,0,,,,,,,,"college"
"Darius Songaila","Wake Forest University","/players/s/songada01.html",0,58,2002,2,50,1998,139,1,1,1,1,1,3,,1,,,"bad"
"Kevin Braswell","Georgetown University","https://www.sports-reference.com/cbb/players/kevin-braswell-1.html",1,59,,,,1998,,1,1,0,,,,,,,,"college"
"De Angelo McDaniel","University of Tulsa","https://www.sports-reference.com/cbb/players/de-angelo-mcdaniel-1.html",0,60,,,,1998,,1,1,0,,,,,,,,"college"
"Desmond Allison","University of Kentucky","https://www.sports-reference.com/cbb/players/desmond-allison-1.html",1,61,,,,1998,,1,1,0,,,,,,,,"college"
"Clarence Gilbert","University of Missouri","https://www.sports-reference.com/cbb/players/clarence-gilbert-1.html",0,62,,,,1998,,1,1,0,,,,,,,,"college"
"D.A. Layne","University of Georgia","https://www.sports-reference.com/cbb/players/da-layne-1.html",0,63,,,,1998,,1,1,0,,,,,,,,"college"
"Keith Bean","Texas A&M University","https://www.sports-reference.com/cbb/players/keith-bean-1.html",0,64,,,,1998,,1,1,0,,,,,,,,"college"
"Bobby Smith","Villanova University","https://www.sports-reference.com/cbb/players/bobby-smith-2.html",1,64,,,,1998,,1,1,0,,,,,,,,"college"
"Ernest Brown","Indian Hills Community College","/players/b/browner01.html",0,66,2000,2,52,1998,,1,1,1,1,0,0,,,,,"rookie"
"Cedric Taylor","","",0,67,,,,1998,,1,0,,,,,,,,,"highSchool"
"Rick Anderson","University of Arizona","https://www.sports-reference.com/cbb/players/rick-anderson-1.html",1,67,,,,1998,,1,1,0,,,,,,,,"college"
"Louis Truscott","University of Houston","https://www.sports-reference.com/cbb/players/louis-truscott-1.html",0,69,,,,1998,,1,1,0,,,,,,,,"college"
"Craig Dawson","Wake Forest University","https://www.sports-reference.com/cbb/players/craig-dawson-1.html",0,70,,,,1998,,1,1,0,,,,,,,,"college"
"Luke Walton","University of Arizona","/players/w/waltolu01.html",1,71,2003,2,32,1998,119,1,1,1,1,1,2,,,1,,"good"
"Desmond Herod","Seton Hall University","https://www.sports-reference.com/cbb/players/desmond-herod-1.html",0,72,,,,1998,,1,1,0,,,,,,,,"college"
"Udonis Haslem","University of Florida","/players/h/hasleud01.html",1,72,,,,1998,96.6,1,1,1,1,1,8,,,1,,"good"
"Scott Clark","","",0,74,,,,1998,,1,0,,,,,,,,,"highSchool"
"Jerome Moiso","University of California, Los Angeles","/players/m/moisoje01.html",1,75,2000,1,11,1998,,1,1,1,1,1,0,,1,,,"bad"
"Antwan Scott","Wake Forest University","https://www.sports-reference.com/cbb/players/antwan-scott-1.html",0,76,,,,1998,,1,1,0,,,,,,,,"college"
"J.R. Vanhoose","Marshall University","https://www.sports-reference.com/cbb/players/jr-vanhoose-1.html",0,77,,,,1998,,1,1,0,,,,,,,,"college"
"Schea Cotton","University of Alabama","https://www.sports-reference.com/cbb/players/schea-cotton-1.html",1,78,,,,1998,,1,1,0,,,,,,,,"college"
"David Hamilton","Auburn University","https://www.sports-reference.com/cbb/players/david-hamilton-1.html",0,79,,,,1998,,1,1,0,,,,,,,,"college"
"Lonny Baxter","University of Maryland","/players/b/baxtelo01.html",0,80,2002,2,44,1998,,1,1,1,1,1,0,,1,,,"bad"
"Kueth Duany","Syracuse University","https://www.sports-reference.com/cbb/players/kueth-duany-1.html",1,81,,,,1998,,1,1,0,,,,,,,,"college"
"Steve Bynes","","",0,82,,,,1998,,1,0,,,,,,,,,"highSchool"
"John Salmons","University of Miami","/players/s/salmojo01.html",0,82,2002,1,26,1998,100.1,1,1,1,1,1,10,,,1,,"good"
"Traves Wilson","Illinois State University","https://www.sports-reference.com/cbb/players/traves-wilson-1.html",0,82,,,,1998,,1,1,0,,,,,,,,"college"
"Ajou Deng","University of Connecticut","https://www.sports-reference.com/cbb/players/ajou-deng-1.html",1,85,,,,1998,,1,1,0,,,,,,,,"college"
"Tyrus Boswell","Mississippi State University","https://www.sports-reference.com/cbb/players/tyrus-boswell-1.html",0,86,,,,1998,,1,1,0,,,,,,,,"college"
"Chris Jefferies","California State University, Fresno","/players/j/jeffech01.html",0,87,2002,1,27,1998,,1,1,1,1,1,0,,1,,,"bad"
"Marqus Ledoux","University of Tulsa","https://www.sports-reference.com/cbb/players/marqus-ledoux-1.html",0,88,,,,1998,,1,1,0,,,,,,,,"college"
"David Graves","University of Notre Dame","https://www.sports-reference.com/cbb/players/david-graves-1.html",0,88,,,,1998,,1,1,0,,,,,,,,"college"
"Damon Hancock","Southern Methodist University","https://www.sports-reference.com/cbb/players/damon-hancock-1.html",0,90,,,,1998,,1,1,0,,,,,,,,"college"
"Dahntay Jones","Duke University","/players/j/jonesda02.html",1,91,2003,1,20,1998,181.75,1,1,1,1,1,2,,1,,,"bad"
"Dennis Gates","University of California","https://www.sports-reference.com/cbb/players/dennis-gates-1.html",0,92,,,,1998,,1,1,0,,,,,,,,"college"
"Mack McGadney","Auburn University","https://www.sports-reference.com/cbb/players/mack-mcgadney-1.html",0,93,,,,1998,,1,1,0,,,,,,,,"college"
"Jermaine Williams","Louisiana State University","https://www.sports-reference.com/cbb/players/jermaine-williams-1.html",0,94,,,,1998,,1,1,0,,,,,,,,"college"
"Kyle Hornsby","Indiana University","https://www.sports-reference.com/cbb/players/kyle-hornsby-1.html",0,95,,,,1998,,1,1,0,,,,,,,,"college"
"Donte Smith","University of California","https://www.sports-reference.com/cbb/players/donte-smith-1.html",0,96,,,,1998,,1,1,0,,,,,,,,"college"
"Dennis Nathan","California State University, Fresno","https://www.sports-reference.com/cbb/players/dennis-nathan-1.html",0,97,,,,1998,,1,1,0,,,,,,,,"college"
"Aaron Matthews","Delaware State University","https://www.sports-reference.com/cbb/players/aaron-matthews-1.html",0,98,,,,1998,,1,1,0,,,,,,,,"college"
"Sam Haginas","University of Alabama","https://www.sports-reference.com/cbb/players/sam-haginas-1.html",1,98,,,,1998,,1,1,0,,,,,,,,"college"
"Brian Brown","Ohio State University","https://www.sports-reference.com/cbb/players/brian-brown-2.html",1,100,,,,1998,,1,1,0,,,,,,,,"college"
"Donnell Harvey","University of Florida","/players/h/harvedo01.html",1,1,2000,1,22,1999,153,1,1,1,1,1,1,,1,,,"bad"
"Keith Bogans","University of Kentucky","/players/b/boganke01.html",1,2,2003,2,43,1999,137.1,1,1,1,1,1,5,,1,,,"bad"
"Jay Williams","Duke University","/players/w/willija03.html",1,3,2002,1,2,1999,153,1,1,1,1,0,1,,,,,"rookie"
"Joseph Forte","University of North Carolina","/players/f/fortejo01.html",1,4,2001,1,21,1999,,1,1,1,1,1,0,,1,,,"bad"
"Marvin Stone","University of Louisville","https://www.sports-reference.com/cbb/players/marvin-stone-1.html",1,5,,,,1999,,1,1,0,,,,,,,,"college"
"LaVell Blanchard","University of Michigan","https://www.sports-reference.com/cbb/players/lavell-blanchard-1.html",0,6,,,,1999,,1,1,0,,,,,,,,"college"
"Brett Nelson","University of Florida","https://www.sports-reference.com/cbb/players/brett-nelson-1.html",1,7,,,,1999,,1,1,0,,,,,,,,"college"
"Jonathan Bender","","/players/b/bendejo01.html",0,8,1999,1,5,1999,150,1,1,2,1,1,1,,1,,,"bad"
"Carlos Boozer","Duke University","/players/b/boozeca01.html",1,8,2002,2,35,1999,37.6,1,1,1,1,1,11,,,,1,"great"
"Jason Kapono","University of California, Los Angeles","/players/k/kaponja01.html",1,10,2003,2,31,1999,158.166666666667,1,1,1,1,1,3,,1,,,"bad"
"Damien Wilkins","University of Georgia","/players/w/wilkida02.html",0,11,,,,1999,156.875,1,1,1,1,1,4,,1,,,"bad"
"Leon Smith","","/players/s/smithle01.html",0,12,1999,1,29,1999,,1,1,2,1,1,0,,1,,,"bad"
"Kenny Satterfield","University of Cincinnati","/players/s/satteke01.html",0,13,2001,2,54,1999,,1,1,1,1,1,0,,1,,,"bad"
"Jason Richardson","Michigan State University","/players/r/richaja01.html",1,14,2001,1,5,1999,39.2,1,1,1,1,1,11,,,,1,"great"
"Jason Parker","University of Kentucky","https://www.sports-reference.com/cbb/players/jason-parker-1.html",1,15,,,,1999,,1,1,0,,,,,,,,"college"
"Casey Sanders","Duke University","https://www.sports-reference.com/cbb/players/casey-sanders-1.html",1,16,,,,1999,,1,1,0,,,,,,,,"college"
"DerMarr Johnson","University of Cincinnati","/players/j/johnsde03.html",0,17,2000,1,6,1999,118,1,1,1,1,1,1,,,1,,"good"
"Jason Gardner","University of Arizona","https://www.sports-reference.com/cbb/players/jason-gardner-1.html",1,18,,,,1999,,1,1,0,,,,,,,,"college"
"Casey Jacobsen","Stanford University","/players/j/jacobca01.html",0,18,2002,1,22,1999,144.75,1,1,1,1,1,2,,1,,,"bad"
"Brian Cook","University of Illinois at Urbana-Champaign","/players/c/cookbr01.html",0,20,2003,1,24,1999,123.5,1,1,1,1,1,1,,1,,,"bad"
"Drew Gooden","University of Kansas","/players/g/goodedr01.html",1,21,2002,1,4,1999,110.6,1,1,1,1,1,8,,,1,,"good"
"Nick Collison","University of Kansas","/players/c/collini01.html",1,22,2003,1,12,1999,88.8,1,1,1,1,1,7,,,1,,"good"
"Majestic Mapp","University of Virginia","https://www.sports-reference.com/cbb/players/majestic-mapp-1.html",0,23,,,,1999,,1,1,0,,,,,,,,"college"
"Kevin Gaines","University of Houston","https://www.sports-reference.com/cbb/players/kevin-gaines-1.html",0,24,,,,1999,,1,1,0,,,,,,,,"college"
"Joe Johnson","University of Arkansas","/players/j/johnsjo02.html",0,25,2001,1,10,1999,28.7,1,1,1,1,1,16,1,,,,"allstar"
"Mike Dunleavy","Duke University","/players/d/dunlemi02.html",1,26,2002,1,3,1999,58.8,1,1,1,1,1,10,,,,1,"great"
"Rod Grizzard","University of Alabama","https://www.sports-reference.com/cbb/players/rod-grizzard-1.html",1,27,2002,,,1999,,1,1,1,0,,,,,,,"draft"
"Travis Watson","University of Virginia","https://www.sports-reference.com/cbb/players/travis-watson-1.html",0,28,,,,1999,,1,1,0,,,,,,,,"college"
"Samuel Dalembert","Seton Hall University","/players/d/dalemsa01.html",0,29,2001,1,26,1999,79.6,1,1,1,1,1,10,,,1,,"good"
"George Williams","University of Houston","https://www.sports-reference.com/cbb/players/george-williams-1.html",0,30,,,,1999,,1,1,0,,,,,,,,"college"
"Donnell Knight","Arizona State University","https://www.sports-reference.com/cbb/players/donnell-knight-1.html",0,30,,,,1999,,1,1,0,,,,,,,,"college"
"Tony Robertson","University of Connecticut","https://www.sports-reference.com/cbb/players/tony-robertson-1.html",1,32,,,,1999,,1,1,0,,,,,,,,"college"
"Marshall Williams","North Carolina State University","https://www.sports-reference.com/cbb/players/marshall-williams-1.html",1,33,,,,1999,,1,1,0,,,,,,,,"college"
"Kareem Rush","University of Missouri","/players/r/rushka01.html",0,34,2002,1,20,1999,169.5,1,1,1,1,1,1,,1,,,"bad"
"Chuck Eidson","University of South Carolina","https://www.sports-reference.com/cbb/players/chuck-eidson-1.html",0,35,,,,1999,,1,1,0,,,,,,,,"college"
"Steven Hunter","DePaul University","/players/h/huntest01.html",0,36,2001,1,15,1999,170.5,1,1,1,1,1,1,,1,,,"bad"
"Roger Mason","University of Virginia","/players/m/masonro01.html",0,37,2002,2,31,1999,134.833333333333,1,1,1,1,1,3,,1,,,"bad"
"Matt Bonner","University of Florida","/players/b/bonnema01.html",1,38,2003,2,45,1999,89.625,1,1,1,1,1,4,,,1,,"good"
"Reece Gaines","University of Louisville","/players/g/gainere01.html",1,39,2003,1,15,1999,,1,1,1,1,1,0,,1,,,"bad"
"Matt Carroll","University of Notre Dame","/players/c/carroma01.html",0,40,,,,1999,134.75,1,1,1,1,1,2,,1,,,"bad"
"Todd Billet","Rutgers University","https://www.sports-reference.com/cbb/players/todd-billet-2.html",0,41,,,,1999,,1,1,0,,,,,,,,"college"
"Tito Maddox","California State University, Fresno","/players/m/maddoti01.html",0,42,2002,2,38,1999,,1,1,1,1,0,0,,,,,"rookie"
"Derrick Payne","","",0,43,,,,1999,,1,0,,,,,,,,,"highSchool"
"Antonio Falu","Valparaiso University","https://www.sports-reference.com/cbb/players/antonio-falu-1.html",0,44,,,,1999,,1,1,0,,,,,,,,"college"
"Marcus Cox","University of Connecticut","https://www.sports-reference.com/cbb/players/marcus-cox-1.html",1,45,,,,1999,,1,1,0,,,,,,,,"college"
"Jamal Crawford","University of Michigan","/players/c/crawfja01.html",0,46,2000,1,8,1999,77.9,1,1,1,1,1,16,,,1,,"good"
"DeShaun Williams","Iona College","https://www.sports-reference.com/cbb/players/deshaun-williams-1.html",0,46,,,,1999,,1,1,0,,,,,,,,"college"
"Brent Darby","Ohio State University","https://www.sports-reference.com/cbb/players/brent-darby-1.html",1,48,,,,1999,,1,1,0,,,,,,,,"college"
"Mike Bauer","University of Minnesota","https://www.sports-reference.com/cbb/players/mike-bauer-1.html",0,49,,,,1999,,1,1,0,,,,,,,,"college"
"Brian Wethers","University of California","https://www.sports-reference.com/cbb/players/brian-wethers-1.html",0,50,,,,1999,,1,1,0,,,,,,,,"college"
"Ron Slay","University of Tennessee","https://www.sports-reference.com/cbb/players/ron-slay-1.html",1,51,,,,1999,,1,1,0,,,,,,,,"college"
"Kenny Walker","University of Alabama","https://www.sports-reference.com/cbb/players/kenny-walker-2.html",1,52,,,,1999,,1,1,0,,,,,,,,"college"
"Hollis Price","University of Oklahoma","https://www.sports-reference.com/cbb/players/hollis-price-1.html",0,53,,,,1999,,1,1,0,,,,,,,,"college"
"Josh Moore","University of Michigan","https://www.sports-reference.com/cbb/players/josh-moore-1.html",0,54,,,,1999,,1,1,0,,,,,,,,"college"
"Steve Blake","University of Maryland","/players/b/blakest01.html",0,55,2003,2,38,1999,115.4,1,1,1,1,1,8,,,1,,"good"
"Andrew Sullivan","Villanova University","https://www.sports-reference.com/cbb/players/andrew-sullivan-1.html",1,56,,,,1999,,1,1,0,,,,,,,,"college"
"Tony Bobbitt","University of Cincinnati","/players/b/bobbito01.html",0,57,,,,1999,,1,1,0,,,0,,,,,"college"
"Bernard King","Texas A&M University","https://www.sports-reference.com/cbb/players/bernard-king-2.html",0,57,,,,1999,,1,1,0,,,,,,,,"college"
"Jamison Brewer","Auburn University","/players/b/breweja01.html",0,59,2001,2,41,1999,,1,1,1,1,1,0,,1,,,"bad"
"Ezra Williams","University of Georgia","https://www.sports-reference.com/cbb/players/ezra-williams-1.html",0,60,,,,1999,,1,1,0,,,,,,,,"college"
"Caron Butler","University of Connecticut","/players/b/butleca01.html",1,60,2002,1,10,1999,53.8,1,1,1,1,1,11,,,,1,"great"
"Kirk Hinrich","University of Kansas","/players/h/hinriki01.html",1,62,2003,1,7,1999,57.4,1,1,1,1,1,11,,,,1,"great"
"Curtis Borchardt","Stanford University","/players/b/borchcu01.html",0,63,2002,1,18,1999,,1,1,1,1,1,0,,1,,,"bad"
"Stephane Pelle","University of Colorado","https://www.sports-reference.com/cbb/players/stephane-pelle-1.html",0,64,,,,1999,,1,1,0,,,,,,,,"college"
"Brian Woodward","University of Rhode Island","https://www.sports-reference.com/cbb/players/brian-woodward-1.html",0,65,,,,1999,,1,1,0,,,,,,,,"college"
"Erwin Dudley","University of Alabama","https://www.sports-reference.com/cbb/players/erwin-dudley-1.html",1,66,,,,1999,,1,1,0,,,,,,,,"college"
"Aloysius Anagonye","Michigan State University","https://www.sports-reference.com/cbb/players/aloysius-anagonye-1.html",1,68,,,,1999,,1,1,0,,,,,,,,"college"
"Ronald Dupree","Louisiana State University","/players/d/duprero01.html",0,69,,,,1999,,1,1,0,,,0,,,,,"college"
"Brian Jackson","Oregon State University","https://www.sports-reference.com/cbb/players/brian-jackson-2.html",0,71,,,,1999,,1,1,0,,,,,,,,"college"
"George Leach","Indiana University","https://www.sports-reference.com/cbb/players/george-leach-1.html",0,72,,,,1999,,1,1,0,,,,,,,,"college"
"Justin Davis","Stanford University","https://www.sports-reference.com/cbb/players/justin-davis-2.html",0,73,,,,1999,,1,1,0,,,,,,,,"college"
"Courtland Freeman","Georgetown University","https://www.sports-reference.com/cbb/players/courtland-freeman-1.html",1,74,,,,1999,,1,1,0,,,,,,,,"college"
"Tahj Holden","University of Maryland","https://www.sports-reference.com/cbb/players/tahj-holden-1.html",0,75,,,,1999,,1,1,0,,,,,,,,"college"
"Ricky Wright","Villanova University","https://www.sports-reference.com/cbb/players/ricky-wright-1.html",1,75,,,,1999,,1,1,0,,,,,,,,"college"
"Rodney White","University of North Carolina at Charlotte","/players/w/whitero02.html",0,77,2001,1,9,1999,163.5,1,1,1,1,1,1,,1,,,"bad"
"Jon Oden","DePaul University","https://www.sports-reference.com/cbb/players/jon-oden-1.html",0,78,,,,1999,,1,1,0,,,,,,,,"college"
"Ray Henderson","Clemson University","https://www.sports-reference.com/cbb/players/ray-henderson-1.html",0,79,,,,1999,,1,1,0,,,,,,,,"college"
"Jamario Moon","Meridian Community College","/players/m/moonja01.html",0,79,,,,1999,57,1,1,1,1,1,2,,,,1,"great"
"Cliff Crawford","North Carolina State University","https://www.sports-reference.com/cbb/players/cliff-crawford-1.html",1,81,,,,1999,,1,1,0,,,,,,,,"college"
"Jon Higgins","University of Tennessee","https://www.sports-reference.com/cbb/players/jon-higgins-1.html",1,82,,,,1999,,1,1,0,,,,,,,,"college"
"Carlton Baker","","",0,82,,,,1999,,1,0,,,,,,,,,"highSchool"
"Marquis Daniels","Auburn University","/players/d/daniema01.html",0,84,,,,1999,135,1,1,1,1,1,3,,1,,,"bad"
"Zach Johnson","Louisiana Tech University","https://www.sports-reference.com/cbb/players/zach-johnson-1.html",0,85,,,,1999,,1,1,0,,,,,,,,"college"
"Shawnson Johnson","University of North Texas","https://www.sports-reference.com/cbb/players/shawnson-johnson-1.html",0,85,,,,1999,,1,1,0,,,,,,,,"college"
"John Stewart","","",0,87,,,,1999,,1,0,,,,,,,,,"highSchool"
"Adam Wolfe","Michigan State University","https://www.sports-reference.com/cbb/players/adam-wolfe-1.html",1,88,,,,1999,,1,1,0,,,,,,,,"college"
"Marque Perry","Saint Louis University","https://www.sports-reference.com/cbb/players/marque-perry-1.html",0,89,,,,1999,,1,1,0,,,,,,,,"college"
"Nate Hair","University of Southern California","https://www.sports-reference.com/cbb/players/nate-hair-1.html",1,89,,,,1999,,1,1,0,,,,,,,,"college"
"Jarrett Hart","University of Oklahoma","https://www.sports-reference.com/cbb/players/jarrett-hart-2.html",0,91,,,,1999,,1,1,0,,,,,,,,"college"
"Marquis Estill","University of Kentucky","https://www.sports-reference.com/cbb/players/marquis-estill-1.html",1,92,,,,1999,,1,1,0,,,,,,,,"college"
"Julian Swartz","University of Wisconsin","https://www.sports-reference.com/cbb/players/julian-swartz-1.html",0,92,,,,1999,,1,1,0,,,,,,,,"college"
"Rafael Berumen","University of Miami","https://www.sports-reference.com/cbb/players/rafael-berumen-1.html",0,94,,,,1999,,1,1,0,,,,,,,,"college"
"Chris Monroe","George Washington University","https://www.sports-reference.com/cbb/players/chris-monroe-1.html",0,95,,,,1999,,1,1,0,,,,,,,,"college"
"Derrick Zimmerman","Mississippi State University","/players/z/zimmede01.html",0,96,2003,2,40,1999,,1,1,1,1,0,0,,,,,"rookie"
"Wesley Wilson","Georgetown University","https://www.sports-reference.com/cbb/players/wesley-wilson-1.html",1,97,,,,1999,,1,1,0,,,,,,,,"college"
"Demetrius Hunter","Georgetown University","https://www.sports-reference.com/cbb/players/demetrius-hunter-1.html",1,98,,,,1999,,1,1,0,,,,,,,,"college"
"Greg Morton","Seton Hall University","https://www.sports-reference.com/cbb/players/greg-morton-1.html",0,99,,,,1999,,1,1,0,,,,,,,,"college"
