"schoolName","state","item","type","prohibited"
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","NY","tube strapless","shirt","none"
"ARCADIA HIGH SCHOOL","NY","tube strapless","shirt","none"
"DEL MAR HIGH","CA","tube strapless","shirt","none"
"ANAMOSA HIGH SCHOOL","IA","tube strapless","shirt","none"
"RIO RANCHO HIGH","NM","tube strapless","shirt","none"
"JULIAN HIGH","CA","tube strapless","shirt","none"
"ROBERTSDALE HIGH SCH","AL","tube strapless","shirt","none"
"MILTON HIGH","WI","tube strapless","shirt","none"
"ELSBERRY HIGH","MO","tube strapless","shirt","none"
"PORT JERVIS SENIOR HIGH SCHOOL","NY","tube strapless","shirt","none"
"ELKO HIGH SCHOOL","NV","tube strapless","shirt","none"
"SOUTH JEFFERSON HIGH SCHOOL","NY","tube strapless","shirt","none"
"SIMSBURY HIGH SCHOOL","CT","tube strapless","shirt","none"
"NORTHBRIDGE HIGH","MA","tube strapless","shirt","none"
"BARBERS HILL H S","TX","tube strapless","shirt","female"
"GATEWAY HIGH SCHOOL","CO","tube strapless","shirt","none"
"DAWSON HIGH SCHOOL","MT","tube strapless","shirt","none"
"HINTON HS","OK","tube strapless","shirt","none"
"HUNTLEY PROJECT HIGH SCHL","MT","tube strapless","shirt","none"
"FRUITVALE H S","TX","tube strapless","shirt","none"
"MCLOUTH HIGH","KS","tube strapless","shirt","none"
"TATUM H S","TX","tube strapless","shirt","none"
"RICE LAKE HIGH","WI","tube strapless","shirt","none"
"ELGIN HS","OK","tube strapless","shirt","none"
"FLOYD HIGH","NM","tube strapless","shirt","none"
"BERRYVILLE HIGH SCHOOL","AR","tube strapless","shirt","none"
"RAINIER SENIOR HIGH SCHOOL","WA","tube strapless","shirt","none"
"NORTH ANDREW HIGH","MO","tube strapless","shirt","none"
"CORNWALL CENTRAL HIGH SCHOOL","NY","tube strapless","shirt","none"
"CENTRAL HIGH SCHOOL","IA","tube strapless","shirt","none"
"LEVERETTS CHAPEL H S","TX","tube strapless","shirt","none"
"WEST STOKES HIGH","NC","tube strapless","shirt","none"
"NANTUCKET HIGH","MA","tube strapless","shirt","none"
"MIDLAND H S","TX","tube strapless","shirt","none"
"PELLA HIGH SCHOOL","IA","tube strapless","shirt","none"
"CURRITUCK COUNTY HIGH","NC","tube strapless","shirt","none"
"NEVADA HIGH SCHOOL","IA","tube strapless","shirt","none"
"ADM SENIOR HIGH SCHOOL","IA","tube strapless","shirt","none"
"PORTSMOUTH HIGH SCHOOL","NH","tube strapless","shirt","none"
"BORGER H S","TX","tube strapless","shirt","none"
"SHADOW HILLS HIGH","CA","tube strapless","shirt","none"
"COLUMBIA HIGH SCHOOL","NY","tube strapless","shirt","none"
"TWIN VALLEY HIGH SCHOOL","VT","tube strapless","shirt","none"
"SHAWANO HIGH","WI","tube strapless","shirt","none"
"HALLSVILLE H S","TX","tube strapless","shirt","none"
"LAUREL HIGH SCHOOL","MT","tube strapless","shirt","none"
"HART HIGH SCHOOL","MI","tube strapless","shirt","none"
"PLYMOUTH-WHITEMARSH SHS","PA","tube strapless","shirt","none"
"SALIDA HIGH SCHOOL","CO","tube strapless","shirt","none"
"THOMAS JEFFERSON HIGH SCHOOL","CO","tube strapless","shirt","none"
"SHERIDAN HIGH SCHOOL","WY","tube strapless","shirt","none"
"NELSON COUNTY HIGH","VA","tube strapless","shirt","none"
"CREEKVIEW H S","TX","tube strapless","shirt","none"
"HUDSON HIGH","WI","tube strapless","shirt","none"
"MORENCI HIGH SCHOOL","AZ","tube strapless","shirt","none"
"WESTON RANCH HIGH","CA","tube strapless","shirt","none"
"SKIATOOK HS","OK","tube strapless","shirt","none"
"HORLICK HIGH","WI","tube strapless","shirt","none"
"WEST DELAWARE HIGH SCHOOL","IA","tube strapless","shirt","none"
"EAST COWETA HIGH SCHOOL","GA","tube strapless","shirt","none"
"JACKSON HOLE HIGH SCHOOL","WY","tube strapless","shirt","none"
"BELLPORT SENIOR HIGH SCHOOL","NY","tube strapless","shirt","none"
"PLATTE CANYON HIGH SCHOOL","CO","tube strapless","shirt","none"
"ROSEMONT HIGH","CA","tube strapless","shirt","none"
"PIEDMONT HS","OK","tube strapless","shirt","none"
"RIVERDALE HIGH SCHOOL","FL","tube strapless","shirt","none"
"PITTSFIELD HIGH SCHOOL","NH","tube strapless","shirt","none"
"KENYON-WANAMINGO SENIOR HIGH","MN","tube strapless","shirt","none"
"CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES","OR","tube strapless","shirt","none"
"GRAND LEDGE HIGH SCHOOL","MI","tube strapless","shirt","none"
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","NY","tube strapless","shirt","none"
"AZLE H S","TX","tube strapless","shirt","none"
"LURAY HIGH","VA","tube strapless","shirt","none"
"LEBANON SR. HIGH","MO","tube strapless","shirt","none"
"LYNNVILLE-SULLY HIGH SCHOOL","IA","tube strapless","shirt","none"
"FONTANA HIGH","CA","tube strapless","shirt","none"
"WHITMAN HANSON REGIONAL","MA","tube strapless","shirt","none"
"MARATHON HIGH","WI","tube strapless","shirt","none"
"ROGERS H S","TX","tube strapless","shirt","none"
"EXCELSIOR SPRINGS HIGH","MO","tube strapless","shirt","none"
"BYRON NELSON H S","TX","tube strapless","shirt","none"
"CELINA H S","TX","tube strapless","shirt","none"
"QUEEN CITY H S","TX","tube strapless","shirt","none"
"MACON SR. HIGH","MO","tube strapless","shirt","none"
"ATASCADERO HIGH","CA","tube strapless","shirt","none"
"RANCHO VERDE HIGH","CA","tube strapless","shirt","none"
"LOMPOC HIGH","CA","tube strapless","shirt","none"
"EASTERN HIGH SCHOOL","MI","tube strapless","shirt","none"
"CALHOUN HIGH SCHOOL","GA","tube strapless","shirt","none"
"MIRA MESA HIGH","CA","tube strapless","shirt","none"
"KALKASKA HIGH SCHOOL","MI","tube strapless","shirt","none"
"LA JOLLA HIGH","CA","tube strapless","shirt","none"
"PARK HILL HIGH","MO","tube strapless","shirt","none"
"NORTH HS","OK","tube strapless","shirt","none"
"THUNDER RIDGE HIGH SCHOOL","KS","tube strapless","shirt","none"
"PEKIN COMMUNITY HIGH SCHOOL","IA","tube strapless","shirt","none"
"BRINDLEE MT HIGH SCH","AL","tube strapless","shirt","none"
"WESTON HIGH","MA","tube strapless","shirt","none"
"SAN JON HIGH","NM","tube strapless","shirt","none"
"JOSEPH CASE HIGH","MA","tube strapless","shirt","none"
"WHARTON H S","TX","tube strapless","shirt","none"
"LEAVENWORTH SR HIGH","KS","tube strapless","shirt","none"
"ILLINOIS VALLEY HIGH SCHOOL","OR","tube strapless","shirt","none"
"WEST HEMPSTEAD HIGH SCHOOL","NY","tube strapless","shirt","none"
"OLTON H S","TX","tube strapless","shirt","female"
"LITTLE MIAMI HIGH SCHOOL","OH","tube strapless","shirt","none"
"JEFFERSON HIGH","WI","tube strapless","shirt","none"
"MONROE-WOODBURY HIGH SCHOOL","NY","tube strapless","shirt","none"
"LEOMINSTER HIGH SCHOOL","MA","tube strapless","shirt","none"
"MADRAS HIGH SCHOOL","OR","tube strapless","shirt","none"
"CHRISTIANSBURG HIGH","VA","tube strapless","shirt","none"
"MILLER PLACE HIGH SCHOOL","NY","tube strapless","shirt","none"
"LEHIGH SENIOR HIGH SCHOOL","FL","tube strapless","shirt","none"
"ALVARADO H S","TX","tube strapless","shirt","none"
"SAYRE HS","OK","tube strapless","shirt","none"
"CHASE HIGH","KS","tube strapless","shirt","none"
"PLAINWELL HIGH SCHOOL","MI","tube strapless","shirt","none"
"HAMILTON HIGH SCHOOL","AZ","tube strapless","shirt","none"
"PALACIOS H S","TX","tube strapless","shirt","none"
"PENTUCKET REGIONAL SR HIGH","MA","tube strapless","shirt","none"
"GRANTSBURG HIGH","WI","tube strapless","shirt","none"
"OMRO HIGH","WI","tube strapless","shirt","none"
"PIERCE COUNTY HIGH SCHOOL","GA","tube strapless","shirt","female"
"SOUTH ALBANY HIGH SCHOOL","OR","tube strapless","shirt","female"
"CONNALLY HIGH SCHOOL","TX","tube strapless","shirt","none"
"MIDDLE CREEK HIGH","NC","tube strapless","shirt","none"
"FONTANA A. B. MILLER HIGH","CA","tube strapless","shirt","none"
"TEXAS H S","TX","tube strapless","shirt","none"
"CLEAR BROOK H S","TX","tube strapless","shirt","none"
"MEMORIAL HS","OK","tube strapless","shirt","none"
"EAST HAMPTON HIGH SCHOOL","NY","tube strapless","shirt","none"
"IRVINE HIGH","CA","tube strapless","shirt","none"
"HILLIARD BRADLEY HIGH SCHOOL","OH","tube strapless","shirt","none"
"SENIOR HS","OK","tube strapless","shirt","none"
"CARTER COUNTY HIGH SCHOOL","MT ","tube strapless","shirt","none"
"HOBBS HIGH","NM","tube strapless","shirt","none"
"HUNTINGTON HIGH SCHOOL","NY","tube strapless","shirt","none"
"LOMIRA HIGH","WI","tube strapless","shirt","none"
"SARATOGA SPRINGS HIGH SCHOOL","NY","tube strapless","shirt","none"
"KELSO HIGH SCHOOL","WA","tube strapless","shirt","none"
"LODI HIGH","WI","tube strapless","shirt","none"
"ASSETS","TX","tube strapless","shirt","none"
"CLEAR CREEK HIGH SCHOOL","CO","tube strapless","shirt","none"
"HENRY J. KAISER HIGH","CA","tube strapless","shirt","none"
"BURKBURNETT H S","TX","tube strapless","shirt","none"
"RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS","CA","tube strapless","shirt","none"
"EDISON ACADEMY","MA","tube strapless","shirt","none"
"TAFT UNION HIGH","CA","tube strapless","shirt","none"
"QUARTZ HILL HIGH","CA","tube strapless","shirt","none"
"WRAY HIGH SCHOOL","CO","tube strapless","shirt","none"
"PONCA CITY HS","OK","tube strapless","shirt","none"
"HILTON HIGH SCHOOL","NY","tube strapless","shirt","none"
"SCOTTS VALLEY HIGH","CA","tube strapless","shirt","none"
"HICKORY RIDGE HIGH","NC","tube strapless","shirt","none"
"BAY SHORE SENIOR HIGH SCHOOL","NY","tube strapless","shirt","none"
"REEDS SPRING HIGH","MO","tube strapless","shirt","none"
"CONNETQUOT HIGH SCHOOL","NY","tube strapless","shirt","none"
"BONDUEL HIGH","WI","tube strapless","shirt","none"
"FARMINGTON HIGH","NM","tube strapless","shirt","none"
"MOUNT PLEASANT HIGH","NC","tube strapless","shirt","none"
"MENCHVILLE HIGH","VA","tube strapless","shirt","none"
"ELKHORN AREA HIGH","WI","tube strapless","shirt","none"
"WASHBURN RURAL HIGH","KS","tube strapless","shirt","none"
"TALIHINA HS","OK","tube strapless","shirt","none"
"VINTON-SHELLSBURG HIGH SCHOOL","IA","tube strapless","shirt","female"
"CONCORD HIGH","NC","tube strapless","shirt","none"
"MOUNTAIN RANGE HIGH SCHOOL","CO","tube strapless","shirt","none"
"MOUNT UNION AREA SHS","PA","tube strapless","shirt","none"
"BROOKFIELD HIGH SCHOOL","CT","tube strapless","shirt","none"
"NORTH FAYETTE HIGH SCHOOL","IA","tube strapless","shirt","none"
"CROSWELL-LEXINGTON HIGH SCHOOL","MI","tube strapless","shirt","none"
"DANIEL HAND HIGH SCHOOL","CT","tube strapless","shirt","none"
"HOUSATONIC VALLEY REGIONAL HIGH SCHOOL","CT","tube strapless","shirt","none"
"LYNNFIELD HIGH","MA","tube strapless","shirt","none"
"LAPINE SENIOR HIGH SCHOOL","OR","tube strapless","shirt","none"
"MAHOPAC HIGH SCHOOL","NY","tube strapless","shirt","none"
"BRADFORD AREA HS","PA","tube strapless","shirt","none"
"BEAVER DAM HIGH","WI","tube strapless","shirt","none"
"ALTA LOMA HIGH","CA","tube strapless","shirt","none"
"PLEVNA HIGH SCHOOL","MT","tube strapless","shirt","none"
"SHELBY HIGH SCHOOL","MT","tube strapless","shirt","none"
"HUDSON'S BAY HIGH SCHOOL","WA","tube strapless","shirt","none"
"MARLIN H S","TX","tube strapless","shirt","none"
"MENOMONIE HIGH","WI","tube strapless","shirt","none"
"NEW PRAGUE SENIOR HIGH","MN","tube strapless","shirt","none"
"LA FERIA H S","TX","undershirts","shirt","none"
"JULIAN HIGH","CA","undershirts","shirt","male"
"SAVAGE HIGH SCHOOL","MT","undershirts","shirt","none"
"SOUTHERN COLUMBIA HS","PA","undershirts","shirt","none"
"TATUM H S","TX","undershirts","shirt","none"
"DAPHNE HIGH SCH","AL","undershirts","shirt","none"
"GRANBURY H S","TX","undershirts","shirt","none"
"RAINIER SENIOR HIGH SCHOOL","WA","undershirts","shirt","none"
"NORTH ANDREW HIGH","MO","undershirts","shirt","none"
"LEVERETTS CHAPEL H S","TX","undershirts","shirt","none"
"THOMAS JEFFERSON HIGH SCHOOL","CO","undershirts","shirt","none"
"IRAAN H S","TX","undershirts","shirt","none"
"TURPIN HS","OK","undershirts","shirt","none"
"FONTANA HIGH","CA","undershirts","shirt","none"
"EASTERN HIGH SCHOOL","MI","undershirts","shirt","none"
"BRINDLEE MT HIGH SCH","AL","undershirts","shirt","none"
"KETCHUM HS","OK","undershirts","shirt","none"
"CHASE HIGH","KS","undershirts","shirt","none"
"MIDDLE CREEK HIGH","NC","undershirts","shirt","none"
"FONTANA A. B. MILLER HIGH","CA","undershirts","shirt","none"
"HAVERLING SENIOR HIGH SCHOOL","NY","undershirts","shirt","none"
"ASSETS","TX","undershirts","shirt","none"
"HENRY J. KAISER HIGH","CA","undershirts","shirt","none"
"ANDREWS H S","TX","undershirts","shirt","none"
"TALIHINA HS","OK","undershirts","shirt","none"
"VINTON-SHELLSBURG HIGH SCHOOL","IA","undershirts","shirt","male"
"MOUNT UNION AREA SHS","PA","undershirts","shirt","none"
"CRESTON HIGH SCHOOL","IA","undershirts","shirt","none"
"NORTH FAYETTE HIGH SCHOOL","IA","undershirts","shirt","none"
"SEQUOYAH HS","OK","undershirts","shirt","none"
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","NY","halter tops","shirt","none"
"ARCADIA HIGH SCHOOL","NY","halter tops","shirt","none"
"NORTHGLENN HIGH SCHOOL","CO","halter tops","shirt","none"
"LATHROP HIGH","CA","halter tops","shirt","none"
"ANAMOSA HIGH SCHOOL","IA","halter tops","shirt","none"
"RIO RANCHO HIGH","NM","halter tops","shirt","none"
"LATTA HS","OK","halter tops","shirt","none"
"BROOKFIELD HIGH","MO","halter tops","shirt","none"
"BREMOND H S","TX","halter tops","shirt","none"
"JULIAN HIGH","CA","halter tops","shirt","none"
"LATHROP HIGH SCHOOL","AK","halter tops","shirt","none"
"BEGGS HS","OK","halter tops","shirt","none"
"BELTON H S","TX","halter tops","shirt","none"
"SOUTHERN COLUMBIA HS","PA","halter tops","shirt","none"
"ELSBERRY HIGH","MO","halter tops","shirt","none"
"PORT JERVIS SENIOR HIGH SCHOOL","NY","halter tops","shirt","none"
"IRONTON HIGH SCHOOL","OH","halter tops","shirt","none"
"SOUTH JEFFERSON HIGH SCHOOL","NY","halter tops","shirt","none"
"NORTHBRIDGE HIGH","MA","halter tops","shirt","none"
"LOUISIANA HIGH","MO","halter tops","shirt","none"
"GATEWAY HIGH SCHOOL","CO","halter tops","shirt","none"
"HINTON HS","OK","halter tops","shirt","none"
"GIRARD HS","PA","halter tops","shirt","none"
"HUNTLEY PROJECT HIGH SCHL","MT","halter tops","shirt","none"
"FRUITVALE H S","TX","halter tops","shirt","none"
"MCLOUTH HIGH","KS","halter tops","shirt","none"
"TATUM H S","TX","halter tops","shirt","none"
"HANOVER HIGH","KS","halter tops","shirt","none"
"ELGIN HS","OK","halter tops","shirt","none"
"AKRON WESTFIELD SENIOR HIGH SCHOOL","IA","halter tops","shirt","none"
"CHILLICOTHE HIGH","MO","halter tops","shirt","none"
"HENRIETTA H S","TX","halter tops","shirt","female"
"GRANBURY H S","TX","halter tops","shirt","none"
"CORNWALL CENTRAL HIGH SCHOOL","NY","halter tops","shirt","none"
"CENTRAL HIGH SCHOOL","IA","halter tops","shirt","none"
"WEST STOKES HIGH","NC","halter tops","shirt","none"
"NANTUCKET HIGH","MA","halter tops","shirt","none"
"CURRITUCK COUNTY HIGH","NC","halter tops","shirt","none"
"NEVADA HIGH SCHOOL","IA","halter tops","shirt","none"
"PLEASANT GROVE H S","TX","halter tops","shirt","none"
"PORTSMOUTH HIGH SCHOOL","NH","halter tops","shirt","none"
"BORGER H S","TX","halter tops","shirt","none"
"SYMMES VALLEY HIGH SCHOOL","OH","halter tops","shirt","none"
"SHADOW HILLS HIGH","CA","halter tops","shirt","none"
"COLUMBIA HIGH SCHOOL","NY","halter tops","shirt","none"
"TWIN VALLEY HIGH SCHOOL","VT","halter tops","shirt","none"
"SHAWANO HIGH","WI","halter tops","shirt","none"
"LAUREL HIGH SCHOOL","MT","halter tops","shirt","none"
"HART HIGH SCHOOL","MI","halter tops","shirt","female"
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","NY","halter tops","shirt","none"
"POWDER RIVER CO DIST HIGH","MT","halter tops","shirt","none"
"SALIDA HIGH SCHOOL","CO","halter tops","shirt","none"
"SHERIDAN HIGH SCHOOL","WY","halter tops","shirt","none"
"CREEKVIEW H S","TX","halter tops","shirt","none"
"MORENCI HIGH SCHOOL","AZ","halter tops","shirt","none"
"HORLICK HIGH","WI","halter tops","shirt","none"
"WEST DELAWARE HIGH SCHOOL","IA","halter tops","shirt","none"
"JACKSON HOLE HIGH SCHOOL","WY","halter tops","shirt","none"
"BELLPORT SENIOR HIGH SCHOOL","NY","halter tops","shirt","none"
"PLATTE CANYON HIGH SCHOOL","CO","halter tops","shirt","none"
"ROSEMONT HIGH","CA","halter tops","shirt","none"
"PIEDMONT HS","OK","halter tops","shirt","none"
"RIVERDALE HIGH SCHOOL","FL","halter tops","shirt","none"
"PITTSFIELD HIGH SCHOOL","NH","halter tops","shirt","none"
"CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES","OR","halter tops","shirt","none"
"GRAND LEDGE HIGH SCHOOL","MI","halter tops","shirt","none"
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","NY","halter tops","shirt","none"
"AZLE H S","TX","halter tops","shirt","none"
"LYNNVILLE-SULLY HIGH SCHOOL","IA","halter tops","shirt","none"
"GRANDVIEW SR. HIGH","MO","halter tops","shirt","none"
"FONTANA HIGH","CA","halter tops","shirt","none"
"WHITMAN HANSON REGIONAL","MA","halter tops","shirt","none"
"ROGERS H S","TX","halter tops","shirt","none"
"ATHENS HIGH","WI","halter tops","shirt","none"
"EXCELSIOR SPRINGS HIGH","MO","halter tops","shirt","none"
"CELINA H S","TX","halter tops","shirt","none"
"QUEEN CITY H S","TX","halter tops","shirt","none"
"MACON SR. HIGH","MO","halter tops","shirt","none"
"AGWSR HIGH SCHOOL","IA","halter tops","shirt","none"
"RANCHO VERDE HIGH","CA","halter tops","shirt","none"
"LOMPOC HIGH","CA","halter tops","shirt","none"
"EASTERN HIGH SCHOOL","MI","halter tops","shirt","none"
"PARK HILL HIGH","MO","halter tops","shirt","none"
"NORTH HS","OK","halter tops","shirt","none"
"PEKIN COMMUNITY HIGH SCHOOL","IA","halter tops","shirt","none"
"BRINDLEE MT HIGH SCH","AL","halter tops","shirt","none"
"WHARTON H S","TX","halter tops","shirt","none"
"LEAVENWORTH SR HIGH","KS","halter tops","shirt","none"
"ILLINOIS VALLEY HIGH SCHOOL","OR","halter tops","shirt","none"
"GRIFFIN HIGH SCHOOL","GA","halter tops","shirt","none"
"WEST HEMPSTEAD HIGH SCHOOL","NY","halter tops","shirt","none"
"OLTON H S","TX","halter tops","shirt","female"
"LITTLE MIAMI HIGH SCHOOL","OH","halter tops","shirt","none"
"JEFFERSON HIGH","WI","halter tops","shirt","none"
"HOMINY HS","OK","halter tops","shirt","none"
"MONROE-WOODBURY HIGH SCHOOL","NY","halter tops","shirt","none"
"LOVELL HIGH SCHOOL","WY","halter tops","shirt","none"
"LEOMINSTER HIGH SCHOOL","MA","halter tops","shirt","none"
"MADRAS HIGH SCHOOL","OR","halter tops","shirt","none"
"MILLER PLACE HIGH SCHOOL","NY","halter tops","shirt","none"
"LEHIGH SENIOR HIGH SCHOOL","FL","halter tops","shirt","none"
"BIG PINEY HIGH SCHOOL","WY","halter tops","shirt","none"
"HILLDALE HS","OK","halter tops","shirt","none"
"SAYRE HS","OK","halter tops","shirt","none"
"CHASE HIGH","KS","halter tops","shirt","none"
"HAMILTON HIGH SCHOOL","AZ","halter tops","shirt","none"
"PALACIOS H S","TX","halter tops","shirt","none"
"PENTUCKET REGIONAL SR HIGH","MA","halter tops","shirt","none"
"GRANTSBURG HIGH","WI","halter tops","shirt","none"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","halter tops","shirt","none"
"SOUTH ALBANY HIGH SCHOOL","OR","halter tops","shirt","none"
"FONTANA A. B. MILLER HIGH","CA","halter tops","shirt","none"
"TEXAS H S","TX","halter tops","shirt","none"
"MOORE HS","OK","halter tops","shirt","none"
"CLEAR BROOK H S","TX","halter tops","shirt","none"
"MEMORIAL HS","OK","halter tops","shirt","none"
"EAST HAMPTON HIGH SCHOOL","NY","halter tops","shirt","none"
"IRVINE HIGH","CA","halter tops","shirt","none"
"HILLIARD BRADLEY HIGH SCHOOL","OH","halter tops","shirt","none"
"SENIOR HS","OK","halter tops","shirt","none"
"MONROE CITY R-I HIGH","MO","halter tops","shirt","none"
"NEWTON SENIOR HIGH SCHOOL","IA","halter tops","shirt","none"
"CARTER COUNTY HIGH SCHOOL","MT ","halter tops","shirt","none"
"HOBBS HIGH","NM","halter tops","shirt","none"
"HUNTINGTON HIGH SCHOOL","NY","halter tops","shirt","none"
"KELSO HIGH SCHOOL","WA","halter tops","shirt","none"
"CHIRENO H S","TX","halter tops","shirt","none"
"NETTLETON HIGH SCHOOL","MS","halter tops","shirt","none"
"LODI HIGH","WI","halter tops","shirt","none"
"MORRISON HS","OK","halter tops","shirt","none"
"ASSETS","TX","halter tops","shirt","none"
"CLEAR CREEK HIGH SCHOOL","CO","halter tops","shirt","none"
"MT. VERNON HIGH","MO","halter tops","shirt","none"
"HENRY J. KAISER HIGH","CA","halter tops","shirt","none"
"BURKBURNETT H S","TX","halter tops","shirt","none"
"RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS","CA","halter tops","shirt","none"
"EDISON ACADEMY","MA","halter tops","shirt","none"
"SILVER VALLEY HIGH","CA","halter tops","shirt","none"
"CALIFORNIA HIGH","MO","halter tops","shirt","none"
"TAFT UNION HIGH","CA","halter tops","shirt","none"
"SWEETWATER H S","TX","halter tops","shirt","none"
"WRAY HIGH SCHOOL","CO","halter tops","shirt","none"
"HILTON HIGH SCHOOL","NY","halter tops","shirt","none"
"AUBURN HIGH","VA","halter tops","shirt","none"
"HICKORY RIDGE HIGH","NC","halter tops","shirt","none"
"BAY SHORE SENIOR HIGH SCHOOL","NY","halter tops","shirt","none"
"SAINT HELENA HIGH","CA","halter tops","shirt","none"
"REEDS SPRING HIGH","MO","halter tops","shirt","none"
"CONNETQUOT HIGH SCHOOL","NY","halter tops","shirt","none"
"BONDUEL HIGH","WI","halter tops","shirt","none"
"FARMINGTON HIGH","NM","halter tops","shirt","none"
"MENCHVILLE HIGH","VA","halter tops","shirt","none"
"WEST PLAINS SR. HIGH","MO","halter tops","shirt","none"
"MERRILL HIGH","WI","halter tops","shirt","none"
"NORTHWEST CABARRUS HIGH","NC","halter tops","shirt","none"
"ALMONT HIGH SCHOOL","MI","halter tops","shirt","none"
"WASHINGTON HS","OK","halter tops","shirt","none"
"WASHBURN RURAL HIGH","KS","halter tops","shirt","none"
"EDGEWOOD H S","TX","halter tops","shirt","none"
"VINTON-SHELLSBURG HIGH SCHOOL","IA","halter tops","shirt","female"
"STRAFFORD HIGH","MO","halter tops","shirt","none"
"BETHEL PARK HS","PA","halter tops","shirt","none"
"CLINTON HIGH","WI","halter tops","shirt","none"
"JENKS HS","OK","halter tops","shirt","none"
"MOUNTAIN RANGE HIGH SCHOOL","CO","halter tops","shirt","none"
"MOUNT UNION AREA SHS","PA","halter tops","shirt","none"
"BROOKFIELD HIGH SCHOOL","CT","halter tops","shirt","none"
"CRESTON HIGH SCHOOL","IA","halter tops","shirt","none"
"CENTERVILLE HIGH SCHOOL","IA","halter tops","shirt","none"
"NORTH FAYETTE HIGH SCHOOL","IA","halter tops","shirt","none"
"LYNNFIELD HIGH","MA","halter tops","shirt","none"
"LAPINE SENIOR HIGH SCHOOL","OR","halter tops","shirt","none"
"ANACORTES HIGH SCHOOL","WA","halter tops","shirt","none"
"MAHOPAC HIGH SCHOOL","NY","halter tops","shirt","none"
"BRADFORD AREA HS","PA","halter tops","shirt","none"
"SAUK RAPIDS-RICE SENIOR HIGH","MN","halter tops","shirt","none"
"PLEVNA HIGH SCHOOL","MT","halter tops","shirt","none"
"UNIVERSITY CITY HIGH","CA","halter tops","shirt","none"
"SHELBY HIGH SCHOOL","MT","halter tops","shirt","none"
"HUDSON'S BAY HIGH SCHOOL","WA","halter tops","shirt","none"
"MARLIN H S","TX","halter tops","shirt","none"
"MENOMONIE HIGH","WI","halter tops","shirt","none"
"RUSK H S","TX","strapless dresses","skirt.dress","none"
"RUSK H S","TX","sundresses","skirt.dress","none"
"GLASGOW HIGH SCHOOL","MT","strapless dresses","skirt.dress","none"
"BREMOND H S","TX","strapless dresses","skirt.dress","none"
"SIMSBURY HIGH SCHOOL","CT","strapless dresses","skirt.dress","none"
"BARBERS HILL H S","TX","skirts","skirt.dress","male"
"BARBERS HILL H S","TX","dresses","skirt.dress","male"
"COE-BROWN NORTHWOOD ACADEMY","NH","halter dresses","skirt.dress","none"
"HINTON HS","OK","strapless dresses","skirt.dress","none"
"FRUITVALE H S","TX","cheerleading skirt without sweatpants","skirt.dress","none"
"RICE LAKE HIGH","WI","strapless dresses","skirt.dress","none"
"AKRON WESTFIELD SENIOR HIGH SCHOOL","IA","low-riding","skirt.dress","none"
"BANKS COUNTY HIGH SCHOOL","GA","spaghetti strap dresses","skirt.dress","none"
"MIDLAND H S","TX","strapless dresses","skirt.dress","none"
"SHADOW HILLS HIGH","CA","halter dresses","skirt.dress","none"
"DOVER HS","OK","sleeveless dresses","skirt.dress","none"
"DOVER HS","OK","rolled at the waist","skirt.dress","none"
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","NY","rompers","skirt.dress","none"
"THOMAS JEFFERSON HIGH SCHOOL","CO","strapless dresses","skirt.dress","none"
"THOMAS JEFFERSON HIGH SCHOOL","CO","spaghetti strapped dresses","skirt.dress","none"
"EAST COWETA HIGH SCHOOL","GA","sleeveless dresses","skirt.dress","none"
"TURPIN HS","OK","strapless dresses","skirt.dress","none"
"TURPIN HS","OK","sundresses","skirt.dress","none"
"ROSEMONT HIGH","CA","strapless dresses","skirt.dress","none"
"PIEDMONT HS","OK","spaghetti strap dresses","skirt.dress","none"
"AZLE H S","TX","strapless dresses","skirt.dress","none"
"LURAY HIGH","VA","strapless dresses","skirt.dress","none"
"HARLOWTON HIGH SCHOOL","MT","distasteful","skirt.dress","none"
"HARLOWTON HIGH SCHOOL","MT","causes undue attention","skirt.dress","none"
"HARLOWTON HIGH SCHOOL","MT","spaghetti strap dresses","skirt.dress","none"
"CELINA H S","TX","inappropriate dresses","skirt.dress","female"
"KALKASKA HIGH SCHOOL","MI","strapless dresses","skirt.dress","none"
"GRIFFIN HIGH SCHOOL","GA","spaghetti strap dresses","skirt.dress","none"
"GRIFFIN HIGH SCHOOL","GA","strapless dresses","skirt.dress","none"
"OLTON H S","TX","strapless dresses","skirt.dress","female"
"OLTON H S","TX","spaghetti strap dresses","skirt.dress","female"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","tank top dresses","skirt.dress","none"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","halter dresses","skirt.dress","none"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","spaghetti strapped dresses","skirt.dress","none"
