School.Name,School.State.Abbreviation,limits,length,inches
RANCHO VERDE HIGH,CA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SINTON H S,TX,dresses,shorter than x inches from knee,4
SINTON H S,TX,skirts,shorter than x inches from knee,4
SINTON H S,TX,shorts,shorter than x inches from knee,4
LOMPOC HIGH,CA,dresses,shorter than x inches from knee,6
LOMPOC HIGH,CA,skirts,shorter than x inches from knee,6
LOMPOC HIGH,CA,shorts,shorter than x inches from knee,6
EASTERN HIGH SCHOOL,MI,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
EASTERN HIGH SCHOOL,MI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SHELBY CO HIGH SCH,AL,dresses,shorter than mid-thigh,
SHELBY CO HIGH SCH,AL,skirts,shorter than mid-thigh,
SHELBY CO HIGH SCH,AL,shorts,shorter than mid-thigh,
CALHOUN HIGH SCHOOL,GA,shorts,shorter than x inches from knee,6
INDEPENDENCE HIGH SCHOOL,MS,dresses,shorter than the knee,
INDEPENDENCE HIGH SCHOOL,MS,skirts,shorter than the knee,
INDEPENDENCE HIGH SCHOOL,MS,shorts,shorter than the knee,
INDEPENDENCE HIGH SCHOOL,MS,skorts,shorter than the knee,
SOMERSET HIGH,WI,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
SOMERSET HIGH,WI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
BLUE RIDGE H S,TX,dresses,shorter than mid-thigh,
BLUE RIDGE H S,TX,pants,shorter than mid-thigh,
BLUE RIDGE H S,TX,skirts,shorter than mid-thigh,
BLUE RIDGE H S,TX,shorts,shorter than mid-thigh,
KALKASKA HIGH SCHOOL,MI,skirts,shorter than fingertips,
KALKASKA HIGH SCHOOL,MI,shorts,shorter than fingertips,
LA JOLLA HIGH,CA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
LA JOLLA HIGH,CA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
NORTH HS,OK,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
NORTH HS,OK,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
THUNDER RIDGE HIGH SCHOOL,KS,dresses,shorter than mid-thigh,
THUNDER RIDGE HIGH SCHOOL,KS,skirts,shorter than mid-thigh,
THUNDER RIDGE HIGH SCHOOL,KS,shorts,shorter than x inch inseam,3
CALERA HIGH SCH,AL,dresses,shorter than mid-thigh,
CALERA HIGH SCH,AL,skirts,shorter than mid-thigh,
CALERA HIGH SCH,AL,shorts,shorter than mid-thigh,
PEKIN COMMUNITY HIGH SCHOOL,IA,dresses,shorter than fingertips,
PEKIN COMMUNITY HIGH SCHOOL,IA,skirts,shorter than fingertips,
PEKIN COMMUNITY HIGH SCHOOL,IA,shorts,shorter than fingertips,
BRINDLEE MT HIGH SCH,AL,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
BRINDLEE MT HIGH SCH,AL,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
BRINDLEE MT HIGH SCH,AL,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SOROCO HIGH SCHOOL,CO,skirts,shorter than fingertips,
SOROCO HIGH SCHOOL,CO,shorts,shorter than fingertips,
WACONIA SENIOR HIGH,MN,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
WACONIA SENIOR HIGH,MN,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SAN JON HIGH,NM,dresses,shorter than mid-thigh,
SAN JON HIGH,NM,skirts,shorter than mid-thigh,
JOSEPH CASE HIGH,MA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
JOSEPH CASE HIGH,MA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
WHARTON H S,TX,dresses,shorter than x inches from knee,2
WHARTON H S,TX,skirts,shorter than x inches from knee,
WHARTON H S,TX,shorts,shorter than x inches from knee,
WHARTON H S,TX,jumpers,shorter than x inches from knee,
WHARTON H S,TX,capris,shorter than x inches from knee,
LEAVENWORTH SR HIGH,KS,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
LEAVENWORTH SR HIGH,KS,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
ILLINOIS VALLEY HIGH SCHOOL,OR,skirts,shorter than mid-thigh,
ILLINOIS VALLEY HIGH SCHOOL,OR,shorts,shorter than mid-thigh,
GRIFFIN HIGH SCHOOL,GA,dresses,shorter than fingertips,
GRIFFIN HIGH SCHOOL,GA,skirts,shorter than fingertips,
GRIFFIN HIGH SCHOOL,GA,shorts,shorter than fingertips,
GRIFFIN HIGH SCHOOL,GA,skorts,shorter than fingertips,
MONTE VISTA HIGH,CA,skirts,shorter than thumb knuckle,
MONTE VISTA HIGH,CA,shorts,shorter than thumb knuckle,
OLTON H S,TX,dresses,shorter than x inches from knee,3
OLTON H S,TX,skirts,shorter than x inches from knee,3
OLTON H S,TX,shorts,shorter than x inches from knee,3
JEFFERSON HIGH,WI,dresses,shorter than fingertips,
JEFFERSON HIGH,WI,skirts,shorter than fingertips,
JEFFERSON HIGH,WI,shorts,shorter than fingertips,
HOMINY HS,OK,shorts,shorter than x inches from knee,6
GLEN ROSE H S,TX,skirts,shorter than mid-thigh,
GLEN ROSE H S,TX,shorts,shorter than fingertips,
MONROE-WOODBURY HIGH SCHOOL,NY,shorts,shorter than x inch inseam,4
LOVELL HIGH SCHOOL,WY,clothing,shorter than mid-thigh,
SAUK PRAIRIE HIGH,WI,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
SAUK PRAIRIE HIGH,WI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
PERRY CENTRAL HIGH SCHOOL,MS,dresses,shorter than x inches from knee,4
PERRY CENTRAL HIGH SCHOOL,MS,skirts,shorter than x inches from knee,4
PERRY CENTRAL HIGH SCHOOL,MS,shorts,shorter than x inches from knee,4
KETCHUM HS,OK,dresses,shorter than the knee,
KETCHUM HS,OK,skirts,shorter than the knee,
KETCHUM HS,OK,shorts,shorter than x inch inseam,5
LEOMINSTER HIGH SCHOOL,MA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
LEOMINSTER HIGH SCHOOL,MA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
MADRAS HIGH SCHOOL,OR,dresses,shorter than fingertips,
MADRAS HIGH SCHOOL,OR,skirts,shorter than fingertips,
MADRAS HIGH SCHOOL,OR,shorts,shorter than fingertips,
CHRISTIANSBURG HIGH,VA,dresses,shorter than fingertips,
CHRISTIANSBURG HIGH,VA,skirts,shorter than fingertips,
CHRISTIANSBURG HIGH,VA,shorts,shorter than fingertips,
MILLER PLACE HIGH SCHOOL,NY,skirts,shorter than x inches from knee,width of dollar bill
MILLER PLACE HIGH SCHOOL,NY,shorts,shorter than x inches from knee,width of dollar bill
LEHIGH SENIOR HIGH SCHOOL,FL,skirts,shorter than the knee,
LEHIGH SENIOR HIGH SCHOOL,FL,shorts,shorter than the knee,
SPAULDING UHSD #41,VT,dresses,shorter than fingertips,
SPAULDING UHSD #41,VT,skirts,shorter than fingertips,
TIPTON HIGH SCHOOL,IA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
BIG PINEY HIGH SCHOOL,WY,dresses,shorter than mid-thigh,
BIG PINEY HIGH SCHOOL,WY,skirts,shorter than mid-thigh,
BIG PINEY HIGH SCHOOL,WY,shorts,shorter than mid-thigh,
CLEARWATER HIGH,MO,skirts,shorter than the knee,
CLEARWATER HIGH,MO,shorts,shorter than the knee,
HILLDALE HS,OK,skirts,shorter than x inches from knee,5
HILLDALE HS,OK,shorts,shorter than x inches from knee,5
ALVARADO H S,TX,dresses,shorter than x inches from knee,2
ALVARADO H S,TX,skirts,shorter than x inches from knee,2
ALVARADO H S,TX,shorts,shorter than x inches from knee,2
SAYRE HS,OK,skirts,shorter than fingertips,
SAYRE HS,OK,shorts,shorter than fingertips,
CHASE HIGH,KS,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
CHASE HIGH,KS,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
PLAINWELL HIGH SCHOOL,MI,skirts,shorter than mid-thigh,
PLAINWELL HIGH SCHOOL,MI,shorts,shorter than mid-thigh,
CIMARRON HS,OK,skirts,shorter than fingertips,
CIMARRON HS,OK,shorts,shorter than fingertips,
CIMARRON HS,OK,skorts,shorter than fingertips,
CENTRALIA HIGH,MO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
GUYMON HS,OK,dresses,shorter than x inches from knee,3
GUYMON HS,OK,shorts,shorter than x inches from knee,3
PALACIOS H S,TX,dresses,shorter than fingertips,
PALACIOS H S,TX,skirts,shorter than fingertips,
PALACIOS H S,TX,shorts,shorter than fingertips,
PENTUCKET REGIONAL SR HIGH,MA,skirts,shorter than fingertips,
PENTUCKET REGIONAL SR HIGH,MA,shorts,shorter than fingertips,
GRANTSBURG HIGH,WI,skirts,shorter than x inches from knee,6
GRANTSBURG HIGH,WI,shorts,shorter than x inch inseam,4
UNIONVILLE-SEBEWAING HIGH SCHOOL,MI,shorts,shorter than x inches from knee,4
DANVERS HIGH,MA,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
DANVERS HIGH,MA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
DANVERS HIGH,MA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
IGNACIO HIGH SCHOOL,CO,dresses,shorter than fingertips,
IGNACIO HIGH SCHOOL,CO,skirts,shorter than fingertips,
IGNACIO HIGH SCHOOL,CO,shorts,shorter than fingertips,
OMRO HIGH,WI,dresses,shorter than mid-thigh,
OMRO HIGH,WI,skirts,shorter than mid-thigh,
OMRO HIGH,WI,shorts,shorter than mid-thigh,
PIERCE COUNTY HIGH SCHOOL,GA,dresses,shorter than x inches from knee,2
PIERCE COUNTY HIGH SCHOOL,GA,skirts,shorter than x inches from knee,2
PIERCE COUNTY HIGH SCHOOL,GA,shorts,shorter than x inches from knee,2
SOUTH ALBANY HIGH SCHOOL,OR,shorts,shorter than mid-thigh,
CONNALLY HIGH SCHOOL,TX,dresses,shorter than fingertips,
CONNALLY HIGH SCHOOL,TX,skirts,shorter than fingertips,
CONNALLY HIGH SCHOOL,TX,shorts,shorter than fingertips,
MIDDLE CREEK HIGH,NC,dresses,shorter than fingertips,
MIDDLE CREEK HIGH,NC,skirts,shorter than fingertips,
MIDDLE CREEK HIGH,NC,shorts,shorter than fingertips,
MOUNTAIN VIEW HIGH SCHOOL,WY,shorts,shorter than mid-thigh,
TEXAS H S,TX,dresses,shorter than fingertips,
TEXAS H S,TX,skirts,shorter than fingertips,
TEXAS H S,TX,shorts,shorter than fingertips,
MOORE HS,OK,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
MOORE HS,OK,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
CLEAR BROOK H S,TX,dresses,shorter than mid-thigh,
CLEAR BROOK H S,TX,pants,shorter than mid-thigh,
CLEAR BROOK H S,TX,skirts,shorter than mid-thigh,
CLEAR BROOK H S,TX,shorts,shorter than mid-thigh,
MEMORIAL HS,OK,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
MEMORIAL HS,OK,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
EAST HAMPTON HIGH SCHOOL,NY,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
EAST HAMPTON HIGH SCHOOL,NY,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
WARRENTON HIGH SCHOOL,OR,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
IRVINE HIGH,CA,dresses,shorter than fingertips,
IRVINE HIGH,CA,skirts,shorter than fingertips,
IRVINE HIGH,CA,shorts,shorter than fingertips,
HILLIARD BRADLEY HIGH SCHOOL,OH,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
HILLIARD BRADLEY HIGH SCHOOL,OH,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
MEDFORD HIGH,MA,shirts,reach top of pants,
SENIOR HS,OK,skirts,"shorter than mid-thigh, ""short""/""inappropriate length"" (no exact measurement given)",
SENIOR HS,OK,shorts,"shorter than mid-thigh, ""short""/""inappropriate length"" (no exact measurement given)",
MONROE CITY R-I HIGH,MO,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
MONROE CITY R-I HIGH,MO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
TEMPLE H S,TX,dresses,"shorter than fingertips, shorter than the knee",
TEMPLE H S,TX,shorts,"shorter than fingertips, shorter than the knee",
RIPLEY HIGH SCHOOL,MS,dresses,shorter than x inches from knee,2
RIPLEY HIGH SCHOOL,MS,pants,shorter than x inches from knee,2
RIPLEY HIGH SCHOOL,MS,skirts,shorter than x inches from knee,2
RIPLEY HIGH SCHOOL,MS,shorts,shorter than x inches from knee,2
HAVERLING SENIOR HIGH SCHOOL,NY,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
HAVERLING SENIOR HIGH SCHOOL,NY,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
WHITE RIVER HIGH SCHOOL,WA,dresses,shorter than mid-thigh,
WHITE RIVER HIGH SCHOOL,WA,skirts,shorter than mid-thigh,
WHITE RIVER HIGH SCHOOL,WA,shorts,shorter than mid-thigh,
NEWTON SENIOR HIGH SCHOOL,IA,shorts,shorter than mid-thigh,
CARTER COUNTY HIGH SCHOOL,MT ,skirts,"shorter than 1"" below fingertips",
CARTER COUNTY HIGH SCHOOL,MT ,shorts,"shorter than 1"" below fingertips",
HOBBS HIGH,NM,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
HIAWATHA SR HIGH,KS,dresses,shorter than fingertips,
HIAWATHA SR HIGH,KS,skirts,shorter than fingertips,
HIAWATHA SR HIGH,KS,shorts,shorter than fingertips,
PITTSFIELD HIGH,MA,skirts,shorter than fingertips,
PITTSFIELD HIGH,MA,shorts,shorter than fingertips,
SOCIAL CIRCLE HIGH SCHOOL,GA,shorts,shorter than mid-thigh,
LOMIRA HIGH,WI,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
LOMIRA HIGH,WI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SARATOGA SPRINGS HIGH SCHOOL,NY,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
SARATOGA SPRINGS HIGH SCHOOL,NY,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SKYVIEW HIGH SCHOOL,WA,skirts,shorter than fingertips,
SKYVIEW HIGH SCHOOL,WA,shorts,shorter than fingertips,
KELSO HIGH SCHOOL,WA,dresses,shorter than x inches from knee,5
KELSO HIGH SCHOOL,WA,skirts,shorter than x inches from knee,5
KELSO HIGH SCHOOL,WA,shorts,shorter than x inches from knee,5
CHIRENO H S,TX,skirts,shorter than x inches from knee,3
CHIRENO H S,TX,shorts,shorter than x inches from knee,3
RUSSELL HIGH,KS,shorts,shorter than fingertips,
NETTLETON HIGH SCHOOL,MS,dresses,shorter than the knee,
NETTLETON HIGH SCHOOL,MS,skirts,shorter than the knee,
NETTLETON HIGH SCHOOL,MS,shorts,shorter than the knee,
SALLISAW HS,OK,skirts,shorter than fingertips,
SALLISAW HS,OK,shorts,shorter than fingertips,
LAKER HIGH SCHOOL,MI,skirts,shorter than the knee,
LAKER HIGH SCHOOL,MI,shorts,shorter than the knee,
GRAND RAPIDS SENIOR HIGH,Mn,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
ASHER HS,OK,skirts,shorter than mid-thigh,
ASHER HS,OK,shorts,shorter than mid-thigh,
LODI HIGH,WI,skirts,shorter than fingertips,
LODI HIGH,WI,shorts,shorter than fingertips,
MORRISON HS,OK,skirts,shorter than fingertips,
MORRISON HS,OK,shorts,shorter than fingertips,
OKAY HS,OK,dresses,shorter than 2 inches from fingertips,
OKAY HS,OK,skirts,shorter than 2 inches from fingertips,
OKAY HS,OK,shorts,shorter than 2 inches from fingertips,
ASSETS,TX,dresses,shorter than the knee,
ASSETS,TX,skirts,shorter than the knee,
ASSETS,TX,shorts,shorter than the knee,
ASSETS,TX,skorts,shorter than the knee,
ASSETS,TX,jumpers,shorter than the knee,
ASSETS,TX,culottes,shorter than the knee,
CLEAR CREEK HIGH SCHOOL,CO,dresses,shorter than mid-thigh,
CLEAR CREEK HIGH SCHOOL,CO,skirts,shorter than mid-thigh,
CLEAR CREEK HIGH SCHOOL,CO,shorts,shorter than mid-thigh,
BURKBURNETT H S,TX,dresses,shorter than fingertips,
BURKBURNETT H S,TX,skirts,shorter than fingertips,
BURKBURNETT H S,TX,shorts,shorter than fingertips,
RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS,CA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
EDISON ACADEMY,MA,skirts,shorter than mid-thigh,
EDISON ACADEMY,MA,shorts,shorter than mid-thigh,
MASHPEE HIGH,MA,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
MASHPEE HIGH,MA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
MASHPEE HIGH,MA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SILVER VALLEY HIGH,CA,skirts,shorter than mid-thigh,
SILVER VALLEY HIGH,CA,shorts,shorter than mid-thigh,
CALIFORNIA HIGH,MO,dresses,shorter than fingertips,
CALIFORNIA HIGH,MO,skirts,shorter than fingertips,
CALIFORNIA HIGH,MO,shorts,shorter than fingertips,
ANDREWS H S,TX,skirts,shorter than x inches from knee,4
ANDREWS H S,TX,shorts,shorter than x inches from knee,4
BUFFALO HIGH SCHOOL,WY,shorts,shorter than x inch inseam,3
TAFT UNION HIGH,CA,dresses,shorter than mid-thigh,
TAFT UNION HIGH,CA,shorts,shorter than x inch inseam,4
GRAHAM HS,OK,dresses,shorter than x inches from knee,4
GRAHAM HS,OK,skirts,shorter than x inches from knee,
GRAHAM HS,OK,shorts,shorter than x inches from knee,
CALIFORNIA HIGH,MO,dresses,shorter than mid-thigh,
CALIFORNIA HIGH,MO,skirts,shorter than mid-thigh,
CALIFORNIA HIGH,MO,shorts,shorter than mid-thigh,
SWEETWATER H S,TX,dresses,shorter than x inches from knee,3.5
SWEETWATER H S,TX,skirts,shorter than x inches from knee,3.5
SWEETWATER H S,TX,shorts,shorter than x inches from knee,3.5
GLEN ULLIN HIGH SCHOOL,ND,skirts,shorter than mid-thigh,
GLEN ULLIN HIGH SCHOOL,ND,shorts,shorter than mid-thigh,
QUARTZ HILL HIGH,CA,dresses,shorter than mid-thigh,
QUARTZ HILL HIGH,CA,skirts,shorter than mid-thigh,
QUARTZ HILL HIGH,CA,shorts,shorter than mid-thigh,
QUARTZ HILL HIGH,CA,slits,shorter than mid-thigh,
WRAY HIGH SCHOOL,CO,dresses,shorter than mid-thigh,
WRAY HIGH SCHOOL,CO,skirts,shorter than mid-thigh,
WRAY HIGH SCHOOL,CO,shorts,shorter than mid-thigh,
PONCA CITY HS,OK,dresses,shorter than mid-thigh,
PONCA CITY HS,OK,skirts,shorter than mid-thigh,
PONCA CITY HS,OK,shorts,shorter than mid-thigh,
HILTON HIGH SCHOOL,NY,skirts,NA,
HILTON HIGH SCHOOL,NY,shorts,NA,
HILTON HIGH SCHOOL,NY,skirts and shorts prohibited,NA,
NORTH DOUGLAS HIGH SCHOOL,OR,shorts,shorter than x inch inseam,6
COLBY SENIOR HIGH,KS,dresses,shorter than fingertips,
COLBY SENIOR HIGH,KS,skirts,shorter than fingertips,
COLBY SENIOR HIGH,KS,shorts,shorter than fingertips,
SCOTTS VALLEY HIGH,CA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
SCOTTS VALLEY HIGH,CA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
AUBURN SENIOR HIGH,MA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
AUBURN SENIOR HIGH,MA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
AUBURN HIGH,VA,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
AUBURN HIGH,VA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
HICKORY RIDGE HIGH,NC,dresses,shorter than x inches from knee,3
HICKORY RIDGE HIGH,NC,skirts,shorter than x inches from knee,3
HICKORY RIDGE HIGH,NC,shorts,shorter than x inches from knee,3
DEWITT HIGH SCHOOL,AR,dresses,shorter than the knee,
DEWITT HIGH SCHOOL,AR,skirts,shorter than the knee,
DEWITT HIGH SCHOOL,AR,shorts,shorter than the knee,
MARION L STEELE HIGH SCHOOL,OH,dresses,shorter than mid-thigh,
MARION L STEELE HIGH SCHOOL,OH,skirts,shorter than mid-thigh,
MARION L STEELE HIGH SCHOOL,OH,shorts,shorter than mid-thigh,
BAY SHORE SENIOR HIGH SCHOOL,NY,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
BAY SHORE SENIOR HIGH SCHOOL,NY,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
SAINT HELENA HIGH,CA,skirts,shorter than mid-thigh,
SAINT HELENA HIGH,CA,shorts,shorter than mid-thigh,
REEDS SPRING HIGH,MO,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
REEDS SPRING HIGH,MO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
CONNETQUOT HIGH SCHOOL,NY,dresses,shorter than fingertips,
CONNETQUOT HIGH SCHOOL,NY,skirts,shorter than fingertips,
CONNETQUOT HIGH SCHOOL,NY,shorts,shorter than fingertips,
PORUM HS,OK,dresses,shorter than fingertips,
PORUM HS,OK,skirts,shorter than fingertips,
PORUM HS,OK,shorts,shorter than fingertips,
MOUNT PLEASANT HIGH,NC,dresses,shorter than x inches from knee,3
MOUNT PLEASANT HIGH,NC,skirts,shorter than x inches from knee,3
MOUNT PLEASANT HIGH,NC,shorts,shorter than x inches from knee,3
POTTSTOWN SHS,PA,dresses,shorter than fingertips,
POTTSTOWN SHS,PA,skirts,shorter than fingertips,
MENCHVILLE HIGH,VA,dresses,shorter than mid-thigh,
MENCHVILLE HIGH,VA,skirts,shorter than mid-thigh,
MENCHVILLE HIGH,VA,shorts,shorter than mid-thigh,
WHEELER HIGH SCHOOL,CT,dresses,reasonable coverage,
WHEELER HIGH SCHOOL,CT,skirts,reasonable coverage,
WHEELER HIGH SCHOOL,CT,shorts,reasonable coverage,
MARSHALLTOWN HIGH SCHOOL,IA,dresses,shorter than mid-thigh,
MARSHALLTOWN HIGH SCHOOL,IA,skirts,shorter than mid-thigh,
MARSHALLTOWN HIGH SCHOOL,IA,shorts,shorter than mid-thigh,
NORTHWEST CABARRUS HIGH,NC,skirts,shorter than x inches from knee,3
NORTHWEST CABARRUS HIGH,NC,shorts,shorter than x inches from knee,3
ELKHORN AREA HIGH,WI,dresses,"""short""/""inappropriate length"" (no exact measurement given)",
ELKHORN AREA HIGH,WI,pants,"""short""/""inappropriate length"" (no exact measurement given)",
ELKHORN AREA HIGH,WI,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
ELKHORN AREA HIGH,WI,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
ALMONT HIGH SCHOOL,MI,dresses,shorter than fingertips,
ALMONT HIGH SCHOOL,MI,skirts,shorter than fingertips,
ALMONT HIGH SCHOOL,MI,shorts,shorter than fingertips,
EASTERN YORK HS,PA,skirts,shorter than x inch inseam,4
EASTERN YORK HS,PA,shorts,shorter than x inch inseam,4
WASHINGTON HS,OK,skirts,shorter than fingertips,
WASHINGTON HS,OK,shorts,shorter than fingertips,
TALIHINA HS,OK,apparel,shorter than x inches from knee,2
LAMPHERE HIGH SCHOOL,MI,dresses,shorter than fingertips,
LAMPHERE HIGH SCHOOL,MI,skirts,shorter than fingertips,
LAMPHERE HIGH SCHOOL,MI,shorts,shorter than fingertips,
NEWBERG SENIOR HIGH SCHOOL,OR,dresses,shorter than fingertips,
NEWBERG SENIOR HIGH SCHOOL,OR,skirts,shorter than fingertips,
NEWBERG SENIOR HIGH SCHOOL,OR,shorts,shorter than x inch inseam,4
EDGEWOOD H S,TX,dresses,shorter than x inches from knee,2
EDGEWOOD H S,TX,skirts,shorter than x inches from knee,
EDGEWOOD H S,TX,shorts,shorter than x inches from knee,
BLAIR OAKS HIGH,MO,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
VINTON-SHELLSBURG HIGH SCHOOL,IA,skirts,shorter than fingertips,
VINTON-SHELLSBURG HIGH SCHOOL,IA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
ATLANTA H S,TX,skirts,shorter than fingertips,
ATLANTA H S,TX,shorts,shorter than fingertips,
STRAFFORD HIGH,MO,shorts,shorter than fingertips,
QUINCY HIGH SCHOOL,WA,dresses,shorter than x inches from knee,3
QUINCY HIGH SCHOOL,WA,shorts,shorter than x inches from knee,3
POTOSI HIGH,WI,dresses,shorter than mid-thigh,
POTOSI HIGH,WI,skirts,shorter than mid-thigh,
POTOSI HIGH,WI,shorts,shorter than mid-thigh,
BETHEL PARK HS,PA,skirts,shorter than fingertips,
BETHEL PARK HS,PA,shorts,shorter than fingertips,
CLINTON HIGH,WI,skirts,shorter than mid-thigh,
CLINTON HIGH,WI,shorts,shorter than mid-thigh,
CONCORD HIGH,NC,pants,"""short""/""inappropriate length"" (no exact measurement given)",
CONCORD HIGH,NC,skirts,shorter than x inches from knee,3
CONCORD HIGH,NC,shorts,shorter than x inches from knee,3
JENKS HS,OK,dresses,shorter than fingertips,
JENKS HS,OK,skirts,shorter than fingertips,
JENKS HS,OK,shorts,shorter than fingertips,
MOUNTAIN RANGE HIGH SCHOOL,CO,skirts,shorter than fingertips,
MOUNTAIN RANGE HIGH SCHOOL,CO,shorts,shorter than fingertips,
CHARLESTON HIGH,MO,skirts,shorter than x inches from knee,5
CHARLESTON HIGH,MO,shorts,shorter than x inches from knee,5
PRENTICE HIGH,WI,dresses,shorter than x inch inseam,6
PRENTICE HIGH,WI,skirts,shorter than x inch inseam,6
PRENTICE HIGH,WI,shorts,shorter than x inch inseam,4
MOUNT UNION AREA SHS,PA,dresses,shorter than fingertips,
MOUNT UNION AREA SHS,PA,skirts,shorter than fingertips,
MOUNT UNION AREA SHS,PA,shorts,shorter than fingertips,
JOHN STARK REGIONAL HIGH SCHOOL,NH,skirts,"""short""/""inappropriate length"" (no exact measurement given)",
JOHN STARK REGIONAL HIGH SCHOOL,NH,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
BROOKFIELD HIGH SCHOOL,CT,dresses,long enough to move without exposing private parts,
BROOKFIELD HIGH SCHOOL,CT,skirts,long enough to move without exposing private parts,
BROOKFIELD HIGH SCHOOL,CT,shorts,long enough to move without exposing private parts,
CRESTON HIGH SCHOOL,IA,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
THORP HIGH,WI,dresses,shorter than fingertips,
THORP HIGH,WI,skirts,shorter than fingertips,
THORP HIGH,WI,shorts,shorter than fingertips,
NORTH FAYETTE HIGH SCHOOL,IA,skirts,shorter than fingertips,
NORTH FAYETTE HIGH SCHOOL,IA,shorts,shorter than fingertips,
HORNELL SENIOR HIGH SCHOOL,NY,shorts,"""short""/""inappropriate length"" (no exact measurement given)",
CROSWELL-LEXINGTON HIGH SCHOOL,MI,dresses,shorter than mid-thigh,
CROSWELL-LEXINGTON HIGH SCHOOL,MI,skirts,shorter than mid-thigh,
CROSWELL-LEXINGTON HIGH SCHOOL,MI,shorts,shorter than mid-thigh,
DANIEL HAND HIGH SCHOOL,CT,dresses,shorter than fingertips,
DANIEL HAND HIGH SCHOOL,CT,skirts,shorter than fingertips,
DANIEL HAND HIGH SCHOOL,CT,shorts,shorter than x inch inseam,2.5
HOUSATONIC VALLEY REGIONAL HIGH SCHOOL,CT,dresses,shorter than fingertips,
HOUSATONIC VALLEY REGIONAL HIGH SCHOOL,CT,skirts,shorter than fingertips,
HOUSATONIC VALLEY REGIONAL HIGH SCHOOL,CT,shorts,to end of thumb (shorts),
