gameid,quarter,clock,season,season.type,description
21600453,1,11:46,2016-17,Regular Season,[PHX] Chandler Foul: Defense 3 Second (0 PF) (M Ayotte)
21600458,2,7:10,2016-17,Regular Season,[CHI] Felicio Foul: Defense 3 Second (1 PF) (S Foster)
21600459,2,7:44,2016-17,Regular Season,[MIN] Bjelica Foul: Defense 3 Second (1 PF) (N Buchert)
21600466,3,4:40,2016-17,Regular Season,[NOP] Davis Foul: Defense 3 Second (3 PF) (T Ford)
21600472,1,11:12,2016-17,Regular Season,[BOS] Johnson Foul: Defense 3 Second (0 PF) (E Lewis)
21600473,1,8:03,2016-17,Regular Season,[MIA] Whiteside Foul: Defense 3 Second (0 PF) (K Fitzgerald)
21600478,3,3:48,2016-17,Regular Season,[NYK] Noah Foul: Defense 3 Second (2 PF) (J Williams)
21600478,3,11:44,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (2 PF) (M McCutchen)
21600481,2,9:56,2016-17,Regular Season,[NOP] Moore Foul: Defense 3 Second (0 PF) (B Forte)
21600481,2,9:30,2016-17,Regular Season,[LAC] Speights Foul: Defense 3 Second (0 PF) (B Forte)
21600484,4,11:52,2016-17,Regular Season,[POR] Vonleh Foul: Defense 3 Second (0 PF) (R Garretson)
21600491,2,6:06,2016-17,Regular Season,[LAL] Randle Foul: Defense 3 Second (2 PF) (M Boland)
21600491,1,1:35,2016-17,Regular Season,[LAL] Robinson Foul: Defense 3 Second (1 PF) (N Buchert)
21600493,4,5:48,2016-17,Regular Season,[BKN] Lopez Foul: Defense 3 Second (1 PF) (R Mott)
21600493,4,8:26,2016-17,Regular Season,[BKN] LeVert Foul: Defense 3 Second (3 PF) (D Richardson)
21600494,3,11:50,2016-17,Regular Season,[BOS] Smart Foul: Defense 3 Second (0 PF) (P Fraher)
21600501,2,5:30,2016-17,Regular Season,[GSW] West Foul: Defense 3 Second (1 PF) (M Davis)
21600502,3,4:17,2016-17,Regular Season,[MEM] Ennis III Foul: Defense 3 Second (1 PF) (S Corbin)
21600502,2,3:08,2016-17,Regular Season,[MEM] Allen Foul: Defense 3 Second (0 PF) (S Corbin)
21600503,1,1:44,2016-17,Regular Season,[MIL] Monroe Foul: Defense 3 Second (0 PF) (T Maddox)
21600507,1,10:04,2016-17,Regular Season,[OKC] Adams Foul: Defense 3 Second (0 PF) (B Kennedy)
21600511,2,6:52,2016-17,Regular Season,[POR] Plumlee Foul: Defense 3 Second (0 PF) (C Kirkland)
21600511,1,9:41,2016-17,Regular Season,[POR] Crabbe Foul: Defense 3 Second (0 PF) (J VanDuyne)
21600515,3,11:49,2016-17,Regular Season,[BKN] Lopez Foul: Defense 3 Second (0 PF) (Z Zarba)
21600516,3,1:39,2016-17,Regular Season,[ORL] Green Foul: Defense 3 Second (1 PF) (B Forte)
21600517,3,11:29,2016-17,Regular Season,[CHA] Hibbert Foul: Defense 3 Second (1 PF) (M Kogut)
21600521,2,6:07,2016-17,Regular Season,[PHI] Okafor Foul: Defense 3 Second (1 PF) (R Mott)
21600522,3,3:14,2016-17,Regular Season,[BOS] Olynyk Foul: Defense 3 Second (1 PF) (C Blair)
21600540,4,9:36,2016-17,Regular Season,[HOU] Beverley Foul: Defense 3 Second (3 PF) (E Malloy)
21600540,1,1:13,2016-17,Regular Season,[OKC] Oladipo Foul: Defense 3 Second (0 PF) (C Kirkland)
21600542,4,6:14,2016-17,Regular Season,[POR] Plumlee Foul: Defense 3 Second (4 PF) (B Adams)
21600547,2,4:34,2016-17,Regular Season,[BKN] Lopez Foul: Defense 3 Second (0 PF) (S Corbin)
21600551,3,5:21,2016-17,Regular Season,[LAC] Mbah a Moute Foul: Defense 3 Second (0 PF) (D Taylor)
21600554,3,9:34,2016-17,Regular Season,[TOR] Valanciunas Foul: Defense 3 Second (2 PF) (M Ervin)
21600554,2,1:22,2016-17,Regular Season,[CHI] Lopez Foul: Defense 3 Second (1 PF) (D Collins)
21600554,2,6:40,2016-17,Regular Season,[TOR] Valanciunas Foul: Defense 3 Second (1 PF) (B Adams)
21600555,3,6:01,2016-17,Regular Season,[DEN] Nurkic Foul: Defense 3 Second (2 PF) (T Washington)
21600557,3,6:13,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (0 PF) (K Fitzgerald)
21600559,1,4:20,2016-17,Regular Season,[DET] Harris Foul: Defense 3 Second (0 PF) (B Forte)
21600560,2,8:09,2016-17,Regular Season,[BKN] LeVert Foul: Defense 3 Second (0 PF) (R Garretson)
21600561,3,9:01,2016-17,Regular Season,[LAC] Mbah a Moute Foul: Defense 3 Second (0 PF) (J Capers)
21600562,1,4:43,2016-17,Regular Season,[WAS] Mark Morris Foul: Defense 3 Second (1 PF) (C Blair)
21600563,4,7:47,2016-17,Regular Season,[HOU] Ariza Foul: Defense 3 Second (1 PF) (S Corbin)
21600563,1,2:54,2016-17,Regular Season,[HOU] Harden Foul: Defense 3 Second (0 PF) (S Corbin)
21600567,2,1:32,2016-17,Regular Season,[LAL] Mozgov Foul: Defense 3 Second (2 PF) (D Taylor)
21600575,2,3:59,2016-17,Regular Season,[MIL] Henson Foul: Defense 3 Second (0 PF) (S Twardoski)
21600577,1,2:57,2016-17,Regular Season,[POR] Davis Foul: Defense 3 Second (0 PF) (L Richardson)
21600578,1,7:22,2016-17,Regular Season,[MIA] Whiteside Foul: Defense 3 Second (0 PF) (K Lane)
21600581,2,8:51,2016-17,Regular Season,[OKC] Payne Foul: Defense 3 Second (2 PF) (R Mott)
21600583,2,3:17,2016-17,Regular Season,[BOS] Olynyk Foul: Defense 3 Second (1 PF) (T Brothers)
21600583,1,7:33,2016-17,Regular Season,[BOS] Crowder Foul: Defense 3 Second (0 PF) (L Wood)
21600584,1,7:37,2016-17,Regular Season,[LAC] Mbah a Moute Foul: Defense 3 Second (1 PF) (D Richardson)
21600588,1,7:51,2016-17,Regular Season,[LAL] Mozgov Foul: Defense 3 Second (1 PF) (J Williams)
21600591,2,3:15,2016-17,Regular Season,[DAL] Nowitzki Foul: Defense 3 Second (1 PF) (J VanDuyne)
21600591,2,6:52,2016-17,Regular Season,[PHX] Tucker Foul: Defense 3 Second (0 PF) (M Davis)
21600592,3,4:59,2016-17,Regular Season,[BKN] Hollis-Jefferson Foul: Defense 3 Second (1 PF) (L Wood)
21600595,2,8:52,2016-17,Regular Season,[HOU] Dekker Foul: Defense 3 Second (1 PF) (T Washington)
21600601,2,2:14,2016-17,Regular Season,[LAC] Jordan Foul: Defense 3 Second (0 PF) (B Barnaky)
21600603,2,7:26,2016-17,Regular Season,[PHI] Okafor Foul: Defense 3 Second (1 PF) (K Cutler)
21600603,1,3:31,2016-17,Regular Season,[PHI] Henderson Foul: Defense 3 Second (0 PF) (S Wright)
21600611,2,7:56,2016-17,Regular Season,[MEM] Randolph Foul: Defense 3 Second (0 PF) (T Brown)
21600612,2,11:50,2016-17,Regular Season,[DET] Marc Morris Foul: Defense 3 Second (1 PF) (M Davis)
21600612,1,7:26,2016-17,Regular Season,[LAL] Mozgov Foul: Defense 3 Second (0 PF) (D Collins)
21600615,1,5:56,2016-17,Regular Season,[MIL] Beasley Foul: Defense 3 Second (0 PF) (J Goble)
21600616,4,10:02,2016-17,Regular Season,[NOP] Evans Foul: Defense 3 Second (0 PF) (T Brothers)
21600619,2,6:46,2016-17,Regular Season,[GSW] West Foul: Defense 3 Second (1 PF) (E Malloy)
21600620,4,8:22,2016-17,Regular Season,[PHX] Bender Foul: Defense 3 Second (2 PF) (R Mott)
21600620,4,10:46,2016-17,Regular Season,[PHX] Bender Foul: Defense 3 Second (2 PF) (D Collins)
21600621,3,2:33,2016-17,Regular Season,[LAC] Jordan Foul: Defense 3 Second (1 PF) (M Davis)
21600623,1,3:26,2016-17,Regular Season,[MIA] Whiteside Foul: Defense 3 Second (1 PF) (S Twardoski)
21600628,2,1:53,2016-17,Regular Season,[WAS] Mark Morris Foul: Defense 3 Second (1 PF) (B Forte)
21600628,2,8:43,2016-17,Regular Season,[WAS] Mark Morris Foul: Defense 3 Second (1 PF) (M McCutchen)
21600634,3,4:58,2016-17,Regular Season,[GSW] Durant Foul: Defense 3 Second (2 PF) (R Mott)
21600636,1,5:50,2016-17,Regular Season,[PHX] Chandler Foul: Defense 3 Second (0 PF) (D Guthrie)
21600638,3,2:13,2016-17,Regular Season,[WAS] Gortat Foul: Defense 3 Second (2 PF) (B Kennedy)
21600644,1,4:50,2016-17,Regular Season,[MEM] Ennis Foul: Defense 3 Second (0 PF) (K Lane)
21600647,1,2:41,2016-17,Regular Season,[ATL] Delaney Foul: Defense 3 Second (0 PF) (J VanDuyne)
21600648,3,3:46,2016-17,Regular Season,[DAL] Mejri Foul: Defense 3 Second (2 PF) (K Fitzgerald)
21600650,2,6:57,2016-17,Regular Season,[BOS] Olynyk Foul: Defense 3 Second (1 PF) (E Dalen)
21600650,1,00:34.1,2016-17,Regular Season,[BOS] Mickey Foul: Defense 3 Second (0 PF) (B Kennedy)
21600651,2,8:02,2016-17,Regular Season,[DET] Leuer Foul: Defense 3 Second (1 PF) (S Corbin)
21600653,3,5:26,2016-17,Regular Season,[ATL] Bazemore Foul: Defense 3 Second (2 PF) (P Fraher)
21600654,3,8:00,2016-17,Regular Season,[NYK] Porzingis Foul: Defense 3 Second (2 PF) (B Forte)
21600654,1,1:31,2016-17,Regular Season,[NYK] O'Quinn Foul: Defense 3 Second (0 PF) (M Lindsay)
21600654,1,5:06,2016-17,Regular Season,[PHX] Chandler Foul: Defense 3 Second (0 PF) (M Lindsay)
21600668,1,4:48,2016-17,Regular Season,[GSW] McGee Foul: Defense 3 Second (0 PF) (J Orr)
21600671,1,8:23,2016-17,Regular Season,[NOP] Hield Foul: Defense 3 Second (0 PF) (S Foster)
21600673,4,6:03,2016-17,Regular Season,[UTA] Gobert Foul: Defense 3 Second (3 PF) (M McCutchen)
21600673,3,4:50,2016-17,Regular Season,[OKC] Kanter Foul: Defense 3 Second (1 PF) (M McCutchen)
21600674,1,8:31,2016-17,Regular Season,[SAS] Aldridge Foul: Defense 3 Second (0 PF) (B Taylor)
21600676,2,7:50,2016-17,Regular Season,[WAS] Satoransky Foul: Defense 3 Second (0 PF) (R Garretson)
21600677,1,7:29,2016-17,Regular Season,[CHI] Gibson Foul: Defense 3 Second (0 PF) (J Tiven)
21600678,2,11:26,2016-17,Regular Season,[DEN] Arthur Foul: Defense 3 Second (0 PF) (T Maddox)
21600683,1,7:29,2016-17,Regular Season,[CHI] Gibson Foul: Defense 3 Second (0 PF) (Z Zarba)
21600686,1,3:18,2016-17,Regular Season,[NOP] Asik Foul: Defense 3 Second (1 PF) (L Wood)
21600688,2,7:29,2016-17,Regular Season,[DAL] Nowitzki Foul: Defense 3 Second (1 PF) (J Tiven)
21600688,2,8:00,2016-17,Regular Season,[NYK] O'Quinn Foul: Defense 3 Second (0 PF) (K Cutler)
21600690,3,3:22,2016-17,Regular Season,[DAL] Mejri Foul: Defense 3 Second (4 PF) (Z Zarba)
21600691,2,5:45,2016-17,Regular Season,[IND] Turner Foul: Defense 3 Second (1 PF) (R Garretson)
21600693,2,7:08,2016-17,Regular Season,[LAL] Zubac Foul: Defense 3 Second (0 PF) (J Williams)
21600696,1,3:07,2016-17,Regular Season,[IND] Turner Foul: Defense 3 Second (0 PF) (D Guthrie)
21600698,2,7:19,2016-17,Regular Season,[MIL] Teletovic Foul: Defense 3 Second (0 PF) (D Richardson)
21600705,1,8:41,2016-17,Regular Season,[DET] Marc Morris Foul: Defense 3 Second (1 PF) (M Lindsay)
21600706,1,9:05,2016-17,Regular Season,[BOS] Johnson Foul: Defense 3 Second (0 PF) (M Boland)
21600709,2,1:24,2016-17,Regular Season,[PHX] Chandler Foul: Defense 3 Second (2 PF) (J Goble)
21600709,1,4:28,2016-17,Regular Season,[PHX] Booker Foul: Defense 3 Second (0 PF) (M Ayotte)
21600710,2,8:21,2016-17,Regular Season,[BKN] Lopez Foul: Defense 3 Second (1 PF) (B Forte)
21600712,2,9:26,2016-17,Regular Season,[CLE] Frye Foul: Defense 3 Second (0 PF) (M Callahan)
21600713,3,6:45,2016-17,Regular Season,[HOU] Harden Foul: Defense 3 Second (2 PF) (B Nansel)
21600714,4,1:47,2016-17,Regular Season,[NOP] Motiejunas Foul: Defense 3 Second (2 PF) (K Fitzgerald)
21600715,3,9:24,2016-17,Regular Season,[TOR] DeRozan Foul: Defense 3 Second (1 PF) (B Forte)
21600717,1,9:07,2016-17,Regular Season,[SAS] Bertans Foul: Defense 3 Second (1 PF) (E Lewis)
21600722,1,4:21,2016-17,Regular Season,[CLE] Frye Foul: Defense 3 Second (0 PF) (M McCutchen)
21600723,2,1:51,2016-17,Regular Season,[PHX] Chriss Foul: Defense 3 Second (2 PF) (R Garretson)
21600727,1,00:38.9,2016-17,Regular Season,[OKC] Morrow Foul: Defense 3 Second (0 PF) (G Zielinski)
21600737,2,10:19,2016-17,Regular Season,[MEM] Randolph Foul: Defense 3 Second (1 PF) (S Corbin)
21600739,1,11:48,2016-17,Regular Season,[PHX] Chandler Foul: Defense 3 Second (0 PF) (B Barnaky)
21600740,4,10:35,2016-17,Regular Season,[CHI] Zipser Foul: Defense 3 Second (2 PF) (R Garretson)
21600741,3,11:50,2016-17,Regular Season,[GSW] McGee Foul: Defense 3 Second (1 PF) (E Lewis)
21600741,2,5:47,2016-17,Regular Season,[GSW] McGee Foul: Defense 3 Second (1 PF) (B Kennedy)
21600743,3,9:47,2016-17,Regular Season,[HOU] Capela Foul: Defense 3 Second (0 PF) (J Goble)
21600743,2,8:53,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (1 PF) (J Goble)
21600745,1,3:27,2016-17,Regular Season,[GSW] McGee Foul: Defense 3 Second (2 PF) (K Mauer)
21600746,3,4:15,2016-17,Regular Season,[ORL] Ibaka Foul: Defense 3 Second (2 PF) (M McCutchen)
21600746,1,2:15,2016-17,Regular Season,[TOR] Siakam Foul: Defense 3 Second (0 PF) (M McCutchen)
21600747,3,6:21,2016-17,Regular Season,[IND] Turner Foul: Defense 3 Second (2 PF) (A Smith)
21600748,1,10:48,2016-17,Regular Season,[DET] Drummond Foul: Defense 3 Second (1 PF) (J Williams)
21600748,1,11:44,2016-17,Regular Season,[MIN] Towns Foul: Defense 3 Second (0 PF) (B Forte)
21600751,2,9:56,2016-17,Regular Season,[LAL] Ingram Foul: Defense 3 Second (0 PF) (J Orr)
21600752,3,4:18,2016-17,Regular Season,[MIL] Parker Foul: Defense 3 Second (1 PF) (K Lane)
21600752,3,10:22,2016-17,Regular Season,[DEN] Jokic Foul: Defense 3 Second (0 PF) (L Holtkamp)
21600753,4,11:20,2016-17,Regular Season,[PHX] Len Foul: Defense 3 Second (3 PF) (E Lewis)
21600755,2,5:57,2016-17,Regular Season,[WAS] Mark Morris Foul: Defense 3 Second (1 PF) (C Washington)
21600757,3,2:34,2016-17,Regular Season,[IND] Jefferson Foul: Defense 3 Second (3 PF) (D Taylor)
21600765,3,1:14,2016-17,Regular Season,[TOR] Nogueira Foul: Defense 3 Second (2 PF) (J Williams)
21600767,1,1:10,2016-17,Regular Season,[POR] Crabbe Foul: Defense 3 Second (0 PF) (T Brown)
21600769,1,2:44,2016-17,Regular Season,[WAS] Beal Foul: Defense 3 Second (0 PF) (J VanDuyne)
21600769,1,6:39,2016-17,Regular Season,[CLE] Thompson Foul: Defense 3 Second (0 PF) (J VanDuyne)
21600771,2,11:43,2016-17,Regular Season,[LAC] Bass Foul: Defense 3 Second (0 PF) (K Fitzgerald)
21600772,2,00:50.7,2016-17,Regular Season,[UTA] Gobert Foul: Defense 3 Second (1 PF) (E Lewis)
21600778,3,10:30,2016-17,Regular Season,[CHI] Lopez Foul: Defense 3 Second (0 PF) (K Mauer)
21600781,3,1:28,2016-17,Regular Season,[DAL] Mejri Foul: Defense 3 Second (1 PF) (E Lewis)
21600781,2,7:49,2016-17,Regular Season,[POR] Davis Foul: Defense 3 Second (0 PF) (M Ervin)
21600783,2,1:27,2016-17,Regular Season,[IND] Allen Foul: Defense 3 Second (1 PF) (S Anderson)
21600783,1,1:11,2016-17,Regular Season,[IND] Jefferson Foul: Defense 3 Second (0 PF) (M McCutchen)
21600785,2,5:07,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (1 PF) (M Ayotte)
21600786,2,1:37,2016-17,Regular Season,[DET] Leuer Foul: Defense 3 Second (1 PF) (M Davis)
21600787,1,8:35,2016-17,Regular Season,[MIL] Henson Foul: Defense 3 Second (0 PF) (J Williams)
21600789,4,8:15,2016-17,Regular Season,[NOP] Davis Foul: Defense 3 Second (1 PF) (P Fraher)
21600794,3,8:49,2016-17,Regular Season,[HOU] Capela Foul: Defense 3 Second (3 PF) (B Forte)
21600794,2,4:06,2016-17,Regular Season,[CHA] Zeller Foul: Defense 3 Second (1 PF) (C Blair)
21600795,1,00:59.8,2016-17,Regular Season,[ORL] Biyombo Foul: Defense 3 Second (0 PF) (D Taylor)
21600806,3,4:21,2016-17,Regular Season,[ATL] Humphries Foul: Defense 3 Second (0 PF) (J VanDuyne)
21600806,2,10:52,2016-17,Regular Season,[ATL] Muscala Foul: Defense 3 Second (0 PF) (T Brothers)
21600807,3,8:58,2016-17,Regular Season,[PHX] Williams Foul: Defense 3 Second (0 PF) (E Malloy)
21600809,3,9:27,2016-17,Regular Season,[MIL] Maker Foul: Defense 3 Second (2 PF) (C Blair)
21600812,3,10:05,2016-17,Regular Season,[HOU] Harden Foul: Defense 3 Second (2 PF) (J Williams)
21600813,2,11:45,2016-17,Regular Season,[OKC] Collison Foul: Defense 3 Second (0 PF) (E Dalen)
21600815,1,5:11,2016-17,Regular Season,[UTA] Ingles Foul: Defense 3 Second (0 PF) (T Brown)
21600815,1,10:55,2016-17,Regular Season,[BOS] Horford Foul: Defense 3 Second (0 PF) (M McCutchen)
21600817,2,10:22,2016-17,Regular Season,[SAS] Dedmon Foul: Defense 3 Second (0 PF) (M Lindsay)
21600819,1,6:05,2016-17,Regular Season,[NOP] Davis Foul: Defense 3 Second (0 PF) (K Lane)
21600831,1,3:42,2016-17,Regular Season,[CHI] Lopez Foul: Defense 3 Second (0 PF) (B Barnaky)
21600832,3,5:15,2016-17,Regular Season,[MIN] Dieng Foul: Defense 3 Second (3 PF) (M Callahan)
21600839,2,3:21,2016-17,Regular Season,[DET] Baynes Foul: Defense 3 Second (0 PF) (Z Zarba)
21600843,2,8:39,2016-17,Regular Season,[POR] Nurkic Foul: Defense 3 Second (1 PF) (G Zielinski)
21600847,2,10:06,2016-17,Regular Season,[GSW] McAdoo Foul: Defense 3 Second (0 PF) (M McCutchen)
21600849,1,8:39,2016-17,Regular Season,[BOS] Horford Foul: Defense 3 Second (0 PF) (Z Zarba)
21600850,1,3:55,2016-17,Regular Season,[POR] Crabbe Foul: Defense 3 Second (0 PF) (B Kennedy)
21600852,2,9:12,2016-17,Regular Season,[HOU] Gordon Foul: Defense 3 Second (1 PF) (D Guthrie)
21600855,1,3:17,2016-17,Regular Season,[DEN] Plumlee Foul: Defense 3 Second (0 PF) (R Mott)
21600856,1,1:08,2016-17,Regular Season,[PHI] Holmes Foul: Defense 3 Second (1 PF) (C Washington)
21600860,1,6:10,2016-17,Regular Season,[UTA] Gobert Foul: Defense 3 Second (0 PF) (M Ervin)
21600865,2,1:16,2016-17,Regular Season,[LAC] Griffin Foul: Defense 3 Second (1 PF) (M Kogut)
21600868,2,5:17,2016-17,Regular Season,[PHI] Saric Foul: Defense 3 Second (1 PF) (M McCutchen)
21600869,2,11:53,2016-17,Regular Season,[IND] Robinson Foul: Defense 3 Second (0 PF) (G Zielinski)
21600875,3,5:54,2016-17,Regular Season,[PHX] Len Foul: Defense 3 Second (1 PF) (K Fitzgerald)
21600879,3,2:25,2016-17,Regular Season,[DET] Harris Foul: Defense 3 Second (1 PF) (D Stafford)
21600881,2,2:09,2016-17,Regular Season,[LAC] Jordan Foul: Defense 3 Second (0 PF) (P Fraher)
21600884,1,1:51,2016-17,Regular Season,[MIL] Antetokounmpo Foul: Defense 3 Second (0 PF) (S Anderson)
21600887,2,7:54,2016-17,Regular Season,[DAL] Nowitzki Foul: Defense 3 Second (0 PF) (A Smith)
21600887,2,9:41,2016-17,Regular Season,[MIA] White Foul: Defense 3 Second (1 PF) (T Washington)
21600888,3,1:22,2016-17,Regular Season,[SAC] Evans Foul: Defense 3 Second (2 PF) (R Garretson)
21600890,2,2:26,2016-17,Regular Season,[DET] Harris Foul: Defense 3 Second (1 PF) (J Orr)
21600891,2,9:19,2016-17,Regular Season,[DEN] Murray Foul: Defense 3 Second (1 PF) (J Capers)
21600892,4,6:23,2016-17,Regular Season,[MEM] Gasol Foul: Defense 3 Second (1 PF) (M McCutchen)
21600895,2,9:05,2016-17,Regular Season,[NYK] Porzingis Foul: Defense 3 Second (1 PF) (S Corbin)
21600896,3,2:12,2016-17,Regular Season,[WAS] Mahinmi Foul: Defense 3 Second (1 PF) (D Richardson)
21600897,1,5:52,2016-17,Regular Season,[ATL] Howard Foul: Defense 3 Second (1 PF) (M McCutchen)
21600906,1,6:29,2016-17,Regular Season,[CHI] Lopez Foul: Defense 3 Second (0 PF) (K Fitzgerald)
21600908,1,4:21,2016-17,Regular Season,[POR] Crabbe Foul: Defense 3 Second (0 PF) (J Goble)
21600910,4,5:46,2016-17,Regular Season,[WAS] Mark Morris Foul: Defense 3 Second (2 PF) (J VanDuyne)
21600910,1,9:09,2016-17,Regular Season,[TOR] Valanciunas Foul: Defense 3 Second (0 PF) (M Davis)
21600912,3,11:25,2016-17,Regular Season,[MIL] Middleton Foul: Defense 3 Second (2 PF) (D Richardson)
21600914,2,5:24,2016-17,Regular Season,[MEM] Allen Foul: Defense 3 Second (0 PF) (S Corbin)
21600917,2,11:38,2016-17,Regular Season,[SAS] Lee Foul: Defense 3 Second (0 PF) (M Lindsay)
21600920,2,11:12,2016-17,Regular Season,[TOR] Patterson Foul: Defense 3 Second (1 PF) (J Capers)
21600923,2,3:33,2016-17,Regular Season,[DEN] Chandler Foul: Defense 3 Second (2 PF) (J Goble)
21600930,4,11:04,2016-17,Regular Season,[WAS] Mahinmi Foul: Defense 3 Second (0 PF) (R Mott)
21600930,1,1:34,2016-17,Regular Season,[ORL] Augustin Foul: Defense 3 Second (0 PF) (P Fraher)
21600931,1,00:43.0,2016-17,Regular Season,[UTA] Burks Foul: Defense 3 Second (0 PF) (S Twardoski)
21600933,3,9:34,2016-17,Regular Season,[NOP] Davis Foul: Defense 3 Second (0 PF) (J Williams)
21600939,3,10:16,2016-17,Regular Season,[BKN] Hollis-Jefferson Foul: Defense 3 Second (1 PF) (K Lane)
21600940,3,5:53,2016-17,Regular Season,[POR] Lillard Foul: Defense 3 Second (1 PF) (Z Zarba)
21600941,1,5:34,2016-17,Regular Season,[IND] Young Foul: Defense 3 Second (0 PF) (E Dalen)
21600947,1,6:52,2016-17,Regular Season,[LAL] Ingram Foul: Defense 3 Second (0 PF) (C Blair)
21600948,2,11:04,2016-17,Regular Season,[PHX] Williams Foul: Defense 3 Second (2 PF) (D Collins)
21600948,1,7:18,2016-17,Regular Season,[PHX] Len Foul: Defense 3 Second (0 PF) (D Collins)
21600949,3,8:08,2016-17,Regular Season,[ORL] Biyombo Foul: Defense 3 Second (2 PF) (T Brothers)
21600952,1,5:52,2016-17,Regular Season,[MIL] Maker Foul: Defense 3 Second (0 PF) (H Workman)
21600953,1,1:43,2016-17,Regular Season,[TOR] Poeltl Foul: Defense 3 Second (0 PF) (B Barnaky)
21600953,1,9:39,2016-17,Regular Season,[TOR] Valanciunas Foul: Defense 3 Second (0 PF) (C Washington)
21600955,4,4:06,2016-17,Regular Season,[LAC] Griffin Foul: Defense 3 Second (3 PF) (M McCutchen)
21600955,1,3:31,2016-17,Regular Season,[MIN] Bjelica Foul: Defense 3 Second (0 PF) (M McCutchen)
21600956,2,2:47,2016-17,Regular Season,[IND] Turner Foul: Defense 3 Second (2 PF) (G Petraitis)
21600960,2,2:59,2016-17,Regular Season,[DET] Drummond Foul: Defense 3 Second (1 PF) (B Kennedy)
21600960,2,9:30,2016-17,Regular Season,[DET] Leuer Foul: Defense 3 Second (0 PF) (J VanDuyne)
21600963,2,9:07,2016-17,Regular Season,[POR] Leonard Foul: Defense 3 Second (1 PF) (E Lewis)
21600965,2,6:53,2016-17,Regular Season,[ORL] Biyombo Foul: Defense 3 Second (1 PF) (B Barnaky)
21600972,1,6:56,2016-17,Regular Season,[WAS] Gortat Foul: Defense 3 Second (0 PF) (M Callahan)
21600974,1,6:00,2016-17,Regular Season,[PHI] Holmes Foul: Defense 3 Second (0 PF) (M Boland)
21600976,2,11:27,2016-17,Regular Season,[CHA] Kidd-Gilchrist Foul: Defense 3 Second (0 PF) (B Spooner)
21600976,1,8:45,2016-17,Regular Season,[NOP] Thompson Foul: Defense 3 Second (0 PF) (D Richardson)
21600982,1,3:38,2016-17,Regular Season,[PHX] Chriss Foul: Defense 3 Second (1 PF) (M Ervin)
21600983,4,1:00,2016-17,Regular Season,[WAS] Mark Morris Foul: Defense 3 Second (3 PF) (B Forte)
21600984,3,4:54,2016-17,Regular Season,[DEN] Plumlee Foul: Defense 3 Second (1 PF) (K Lane)
21600986,1,9:40,2016-17,Regular Season,[BKN] Lopez Foul: Defense 3 Second (0 PF) (M Lindsay)
21600986,1,11:14,2016-17,Regular Season,[NYK] Porzingis Foul: Defense 3 Second (1 PF) (M Lindsay)
21600988,1,3:14,2016-17,Regular Season,[POR] Nurkic Foul: Defense 3 Second (1 PF) (M McCutchen)
21600988,1,5:33,2016-17,Regular Season,[POR] Nurkic Foul: Defense 3 Second (1 PF) (T Maddox)
21600991,2,10:41,2016-17,Regular Season,[CHI] Felicio Foul: Defense 3 Second (1 PF) (B Adams)
21600993,2,1:37,2016-17,Regular Season,[MIL] Brogdon Foul: Defense 3 Second (1 PF) (D Richardson)
21600997,2,2:22,2016-17,Regular Season,[ORL] Vucevic Foul: Defense 3 Second (1 PF) (B Forte)
21600998,4,8:54,2016-17,Regular Season,[DEN] Plumlee Foul: Defense 3 Second (3 PF) (M Kogut)
21601001,4,8:50,2016-17,Regular Season,[NYK] Anthony Foul: Defense 3 Second (0 PF) (M Davis)
21601002,3,8:28,2016-17,Regular Season,[NOP] Cousins Foul: Defense 3 Second (0 PF) (N Buchert)
21601004,1,7:38,2016-17,Regular Season,[WAS] Mark Morris Foul: Defense 3 Second (0 PF) (D Richardson)
21601013,3,4:48,2016-17,Regular Season,[LAC] Griffin Foul: Defense 3 Second (0 PF) (B Forte)
21601013,3,11:46,2016-17,Regular Season,[LAC] Jordan Foul: Defense 3 Second (1 PF) (B Forte)
21601013,2,2:35,2016-17,Regular Season,[MIL] Monroe Foul: Defense 3 Second (1 PF) (T Ford)
21601016,2,6:52,2016-17,Regular Season,[NYK] O'Quinn Foul: Defense 3 Second (1 PF) (K Lane)
21601017,1,10:49,2016-17,Regular Season,[ATL] Bazemore Foul: Defense 3 Second (0 PF) (D Crawford)
21601019,1,5:11,2016-17,Regular Season,[GSW] Thompson Foul: Defense 3 Second (0 PF) (M Kogut)
21601022,1,1:47,2016-17,Regular Season,[BKN] Nicholson Foul: Defense 3 Second (0 PF) (J Goble)
21601024,1,3:54,2016-17,Regular Season,[HOU] Capela Foul: Defense 3 Second (0 PF) (D Collins)
21601025,1,9:31,2016-17,Regular Season,[MIA] Whiteside Foul: Defense 3 Second (0 PF) (T Brown)
21601028,2,6:05,2016-17,Regular Season,[OKC] Adams Foul: Defense 3 Second (1 PF) (M McCutchen)
21601028,1,8:47,2016-17,Regular Season,[OKC] Adams Foul: Defense 3 Second (0 PF) (M McCutchen)
21601034,1,4:22,2016-17,Regular Season,[DEN] Jokic Foul: Defense 3 Second (1 PF) (G Zielinski)
