id,city,station,average,latitude,longitude,state,total19
USS0020K27S,Tahoe City,Tahoe City Cross,40.9,39.17,-120.15,CA,53.9
USW00014605,Augusta,AUGUSTA STATE AP,40.9,44.3206,-69.7972,ME,42.9
USC00474937,Eastman,LYNXVILLE DAM 9,40.8,43.2117,-91.0986,WI,54.8
USC00476718,Portage,PORTAGE,40.7,43.5278,-89.4342,WI,47.3
US1VASH0002,Strasburg,STRASBURG 3.7 N,40.7,39.0422,-78.3506,VA,40.5
USW00024232,Salem,SALEM MCNARY FLD,40.7,44.905,-123.0011,OR,30.9
USC00114710,Kewanee,KEWANEE 1 E,40.6,41.2428,-89.8997,IL,50.9
USW00093822,Springfield,SPRINGFIELD CAPITAL AP,40.5,39.8447,-89.6839,IL,49.4
USC00478540,Beaver Dam,TOWN OF WESTFORD,40.5,43.4719,-88.8825,WI,48.3
USW00013972,Tyler,TYLER POUNDS FLD,40.4,32.3542,-95.4025,TX,42.6
US1OHDR0001,Bradford,BRADFORD 2.3 NW,40.4,40.1526,-84.4613,OH,42.2
USC00436995,Rutland,RUTLAND,40.4,43.6253,-72.9781,VT,45.7
USC00208774,Wellston,WELLSTON 1N,40.3,44.2294,-85.9572,MI,51.8
US1OHSM0005,Cuyahoga Falls,CUYAHOGA FALLS 1.1 ESE,40.3,41.1623,-81.5037,OH,44.8
USC00231580,Chillicothe,CHILLICOTHE 2S,40.2,39.775,-93.5358,MO,55.4
USC00336405,Pandora,PANDORA,40.2,40.9461,-83.9614,OH,44.3
USS0007M33S,Silverton,Red Mountain Pass,40.2,37.89,-107.71,CO,46.7
USW00013870,Alma,ALMA BACON CO AP,39.9,31.5358,-82.5067,GA,34.2
USS0007K06S,Cedaredge,Park Reservoir,39.9,39.05,-107.87,CO,48.3
USW00094290,Seattle,SEATTLE SAND PT WSFO,39.8,47.6872,-122.2553,WA,31.3
US1INEL0008,Goshen,WAKARUSA 2.4 NNE,39.8,41.5655,-85.9933,IN,42.9
USW00014923,Moline,MOLINE QUAD CITY INTL AP,39.8,41.4653,-90.5233,IL,49.6
USW00014742,South Burlington,BURLINGTON INTL AP,39.8,44.4683,-73.15,VT,43.5
USW00012836,Key West,KEY WEST INTL AP,39.7,24.555,-81.7522,FL,35.4
USC00470124,Alma,ALMA DAM 4,39.7,44.3272,-91.9194,WI,52.8
USW00014837,Madison,MADISON DANE RGNL AP,39.6,43.1406,-89.3453,WI,46.4
USC00471078,Brodhead,BRODHEAD,39.6,42.6333,-89.3867,WI,50.1
USC00200230,Ann Arbor,ANN ARBOR U OF MICH,39.6,42.2981,-83.6639,MI,45.5
